county,ward,office,district,totalvotes,party,candidate,votes
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Tulsi Gabbard,0
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Amy Klobuchar,1
Adams,Town Of Adams Wards 1-3,President,,153,DEM,John Delaney,0
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Deval Patrick,0
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Bernie Sanders,32
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Andrew Yang,1
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Pete Buttigieg,0
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Tom Steyer,1
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Elizabeth Warren,1
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Michael Bennet,0
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Michael R. Bloomberg,3
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Joe Biden,107
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Uninstructed Delegate,3
Adams,Town Of Adams Wards 1-3,President,,153,DEM,Scattering,4
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Tulsi Gabbard,0
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Amy Klobuchar,0
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,John Delaney,0
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Deval Patrick,0
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Bernie Sanders,21
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Andrew Yang,1
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Pete Buttigieg,0
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Tom Steyer,0
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Elizabeth Warren,1
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Michael Bennet,0
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Michael R. Bloomberg,1
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Joe Biden,81
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Uninstructed Delegate,0
Adams,Town Of Big Flats Wards 1-2,President,,106,DEM,Scattering,1
Adams,Town Of Colburn Ward 1,President,,29,DEM,Tulsi Gabbard,0
Adams,Town Of Colburn Ward 1,President,,29,DEM,Amy Klobuchar,1
Adams,Town Of Colburn Ward 1,President,,29,DEM,John Delaney,0
Adams,Town Of Colburn Ward 1,President,,29,DEM,Deval Patrick,0
Adams,Town Of Colburn Ward 1,President,,29,DEM,Bernie Sanders,6
Adams,Town Of Colburn Ward 1,President,,29,DEM,Andrew Yang,0
Adams,Town Of Colburn Ward 1,President,,29,DEM,Pete Buttigieg,0
Adams,Town Of Colburn Ward 1,President,,29,DEM,Tom Steyer,0
Adams,Town Of Colburn Ward 1,President,,29,DEM,Elizabeth Warren,0
Adams,Town Of Colburn Ward 1,President,,29,DEM,Michael Bennet,0
Adams,Town Of Colburn Ward 1,President,,29,DEM,Michael R. Bloomberg,1
Adams,Town Of Colburn Ward 1,President,,29,DEM,Joe Biden,21
Adams,Town Of Colburn Ward 1,President,,29,DEM,Uninstructed Delegate,0
Adams,Town Of Colburn Ward 1,President,,29,DEM,Scattering,0
Adams,Town Of Dell Prairie Wards 1-3,President,,197,DEM,Tulsi Gabbard,0
Adams,Town Of Dell Prairie Wards 1-3,President,,197,DEM,Amy Klobuchar,2
Adams,Town Of Dell Prairie Wards 1-3,President,,197,DEM,John Delaney,1
Adams,Town Of Dell Prairie Wards 1-3,President,,197,DEM,Deval Patrick,0
Adams,Town Of Dell Prairie Wards 1-3,President,,197,DEM,Bernie Sanders,62
Adams,Town Of Dell Prairie Wards 1-3,President,,197,DEM,Andrew Yang,0
Adams,Town Of Dell Prairie Wards 1-3,President,,197,DEM,Pete Buttigieg,1
