county,ward,office,district,total votes,party,candidate,votes
Ashland,Town Of Agenda Ward 1,House,7,143,DEM,Tricia Zunker,50
Ashland,Town Of Agenda Ward 1,House,7,143,REP,Tom Tiffany,93
Ashland,Town Of Agenda Ward 1,House,7,143,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of Agenda Ward 1,House,7,143,REP,Michael Opela (Write-In),0
Ashland,Town Of Agenda Ward 1,House,7,143,,Scattering,0
Ashland,Town Of Ashland Ward 1,House,7,149,DEM,Tricia Zunker,95
Ashland,Town Of Ashland Ward 1,House,7,149,REP,Tom Tiffany,54
Ashland,Town Of Ashland Ward 1,House,7,149,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of Ashland Ward 1,House,7,149,REP,Michael Opela (Write-In),0
Ashland,Town Of Ashland Ward 1,House,7,149,,Scattering,0
Ashland,Town Of Chippewa Ward 1,House,7,109,DEM,Tricia Zunker,44
Ashland,Town Of Chippewa Ward 1,House,7,109,REP,Tom Tiffany,65
Ashland,Town Of Chippewa Ward 1,House,7,109,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of Chippewa Ward 1,House,7,109,REP,Michael Opela (Write-In),0
Ashland,Town Of Chippewa Ward 1,House,7,109,,Scattering,0
Ashland,Town Of Gingles Ward 1,House,7,225,DEM,Tricia Zunker,126
Ashland,Town Of Gingles Ward 1,House,7,225,REP,Tom Tiffany,99
Ashland,Town Of Gingles Ward 1,House,7,225,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of Gingles Ward 1,House,7,225,REP,Michael Opela (Write-In),0
Ashland,Town Of Gingles Ward 1,House,7,225,,Scattering,0
Ashland,Town Of Gordon Wards 1-2,House,7,94,DEM,Tricia Zunker,40
Ashland,Town Of Gordon Wards 1-2,House,7,94,REP,Tom Tiffany,54
Ashland,Town Of Gordon Wards 1-2,House,7,94,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of Gordon Wards 1-2,House,7,94,REP,Michael Opela (Write-In),0
Ashland,Town Of Gordon Wards 1-2,House,7,94,,Scattering,0
Ashland,Town Of Jacobs Ward 1,House,7,188,DEM,Tricia Zunker,65
Ashland,Town Of Jacobs Ward 1,House,7,188,REP,Tom Tiffany,123
Ashland,Town Of Jacobs Ward 1,House,7,188,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of Jacobs Ward 1,House,7,188,REP,Michael Opela (Write-In),0
Ashland,Town Of Jacobs Ward 1,House,7,188,,Scattering,0
Ashland,Town Of La Pointe Ward 1,House,7,188,DEM,Tricia Zunker,154
Ashland,Town Of La Pointe Ward 1,House,7,188,REP,Tom Tiffany,34
Ashland,Town Of La Pointe Ward 1,House,7,188,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of La Pointe Ward 1,House,7,188,REP,Michael Opela (Write-In),0
Ashland,Town Of La Pointe Ward 1,House,7,188,,Scattering,0
Ashland,Town Of Marengo Wards 1-2,House,7,117,DEM,Tricia Zunker,76
Ashland,Town Of Marengo Wards 1-2,House,7,117,REP,Tom Tiffany,41
Ashland,Town Of Marengo Wards 1-2,House,7,117,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of Marengo Wards 1-2,House,7,117,REP,Michael Opela (Write-In),0
Ashland,Town Of Marengo Wards 1-2,House,7,117,,Scattering,0
Ashland,Town Of Morse Wards 1-3,House,7,141,DEM,Tricia Zunker,81
Ashland,Town Of Morse Wards 1-3,House,7,141,REP,Tom Tiffany,60
Ashland,Town Of Morse Wards 1-3,House,7,141,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of Morse Wards 1-3,House,7,141,REP,Michael Opela (Write-In),0
Ashland,Town Of Morse Wards 1-3,House,7,141,,Scattering,0
Ashland,Town Of Peeksville Wards 1-2,House,7,53,DEM,Tricia Zunker,19
Ashland,Town Of Peeksville Wards 1-2,House,7,53,REP,Tom Tiffany,34
Ashland,Town Of Peeksville Wards 1-2,House,7,53,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of Peeksville Wards 1-2,House,7,53,REP,Michael Opela (Write-In),0
Ashland,Town Of Peeksville Wards 1-2,House,7,53,,Scattering,0
Ashland,Town Of Sanborn Wards 1-2,House,7,196,DEM,Tricia Zunker,164
Ashland,Town Of Sanborn Wards 1-2,House,7,196,REP,Tom Tiffany,32
Ashland,Town Of Sanborn Wards 1-2,House,7,196,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of Sanborn Wards 1-2,House,7,196,REP,Michael Opela (Write-In),0
Ashland,Town Of Sanborn Wards 1-2,House,7,196,,Scattering,0
Ashland,Town Of Shanagolden Ward 1,House,7,50,DEM,Tricia Zunker,26
Ashland,Town Of Shanagolden Ward 1,House,7,50,REP,Tom Tiffany,24
Ashland,Town Of Shanagolden Ward 1,House,7,50,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of Shanagolden Ward 1,House,7,50,REP,Michael Opela (Write-In),0
Ashland,Town Of Shanagolden Ward 1,House,7,50,,Scattering,0
Ashland,Town Of White River Wards 1-2,House,7,242,DEM,Tricia Zunker,79
Ashland,Town Of White River Wards 1-2,House,7,242,REP,Tom Tiffany,163
Ashland,Town Of White River Wards 1-2,House,7,242,IND,Dennis Paulaha (Write-In),0
Ashland,Town Of White River Wards 1-2,House,7,242,REP,Michael Opela (Write-In),0
Ashland,Town Of White River Wards 1-2,House,7,242,,Scattering,0
Ashland,Village Of Butternut Wards 1-2,House,7,80,DEM,Tricia Zunker,51
Ashland,Village Of Butternut Wards 1-2,House,7,80,REP,Tom Tiffany,29
Ashland,Village Of Butternut Wards 1-2,House,7,80,IND,Dennis Paulaha (Write-In),0
Ashland,Village Of Butternut Wards 1-2,House,7,80,REP,Michael Opela (Write-In),0
Ashland,Village Of Butternut Wards 1-2,House,7,80,,Scattering,0
Ashland,City Of Ashland Wards 1-11,House,7,1874,DEM,Tricia Zunker,1316
Ashland,City Of Ashland Wards 1-11,House,7,1874,REP,Tom Tiffany,555
Ashland,City Of Ashland Wards 1-11,House,7,1874,IND,Dennis Paulaha (Write-In),0
Ashland,City Of Ashland Wards 1-11,House,7,1874,REP,Michael Opela (Write-In),0
Ashland,City Of Ashland Wards 1-11,House,7,1874,,Scattering,3
Ashland,City Of Mellen Ward 1,House,7,130,DEM,Tricia Zunker,87
Ashland,City Of Mellen Ward 1,House,7,130,REP,Tom Tiffany,43
Ashland,City Of Mellen Ward 1,House,7,130,IND,Dennis Paulaha (Write-In),0
Ashland,City Of Mellen Ward 1,House,7,130,REP,Michael Opela (Write-In),0
Ashland,City Of Mellen Ward 1,House,7,130,,Scattering,0
Barron,Town Of Almena Ward 1-2,House,7,257,DEM,Tricia Zunker,73
Barron,Town Of Almena Ward 1-2,House,7,257,REP,Tom Tiffany,183
Barron,Town Of Almena Ward 1-2,House,7,257,IND,Dennis Paulaha (Write-In),0
Barron,Town Of Almena Ward 1-2,House,7,257,REP,Michael Opela (Write-In),0
Barron,Town Of Almena Ward 1-2,House,7,257,,Scattering,1
Barron,Town Of Arland Ward 1,House,7,136,DEM,Tricia Zunker,69
Barron,Town Of Arland Ward 1,House,7,136,REP,Tom Tiffany,67
Barron,Town Of Arland Ward 1,House,7,136,IND,Dennis Paulaha (Write-In),0
Barron,Town Of Arland Ward 1,House,7,136,REP,Michael Opela (Write-In),0
Barron,Town Of Arland Ward 1,House,7,136,,Scattering,0
Barron,Town Of Barron Ward 1-2,House,7,208,DEM,Tricia Zunker,61
Barron,Town Of Barron Ward 1-2,House,7,208,REP,Tom Tiffany,147
Barron,Town Of Barron Ward 1-2,House,7,208,IND,Dennis Paulaha (Write-In),0
Barron,Town Of Barron Ward 1-2,House,7,208,REP,Michael Opela (Write-In),0
Barron,Town Of Barron Ward 1-2,House,7,208,,Scattering,0
Barron,Town Of Bear Lake Ward 1,House,7,184,DEM,Tricia Zunker,86
Barron,Town Of Bear Lake Ward 1,House,7,184,REP,Tom Tiffany,98
Barron,Town Of Bear Lake Ward 1,House,7,184,IND,Dennis Paulaha (Write-In),0
