county,ward,office,district,total votes,party,candidate,votes
Ozaukee,"Town Of Cedarburg Ward 1, 2 & 10",Assembly,60,327,REP,Duey Stroebel,265
Ozaukee,"Town Of Cedarburg Ward 1, 2 & 10",Assembly,60,327,DEM,Rick Aaron,61
Ozaukee,"Town Of Cedarburg Ward 1, 2 & 10",Assembly,60,327,,Scattering,1
Ozaukee,Town Of Cedarburg Wards 3 & 4,Assembly,60,347,REP,Duey Stroebel,292
Ozaukee,Town Of Cedarburg Wards 3 & 4,Assembly,60,347,DEM,Rick Aaron,55
Ozaukee,Town Of Cedarburg Wards 3 & 4,Assembly,60,347,,Scattering,0
Ozaukee,Town Of Cedarburg Wards 5 & 6,Assembly,60,442,REP,Duey Stroebel,360
Ozaukee,Town Of Cedarburg Wards 5 & 6,Assembly,60,442,DEM,Rick Aaron,82
Ozaukee,Town Of Cedarburg Wards 5 & 6,Assembly,60,442,,Scattering,0
Ozaukee,Town Of Cedarburg Wards 7 - 9,Assembly,60,396,REP,Duey Stroebel,310
Ozaukee,Town Of Cedarburg Wards 7 - 9,Assembly,60,396,DEM,Rick Aaron,81
Ozaukee,Town Of Cedarburg Wards 7 - 9,Assembly,60,396,,Scattering,5
Ozaukee,"Town Of Grafton Wards 1 2, & 6",Assembly,60,422,REP,Duey Stroebel,353
Ozaukee,"Town Of Grafton Wards 1 2, & 6",Assembly,60,422,DEM,Rick Aaron,69
Ozaukee,"Town Of Grafton Wards 1 2, & 6",Assembly,60,422,,Scattering,0
Ozaukee,Town Of Grafton Wards 3 - 5 & 7,Assembly,60,396,REP,Duey Stroebel,304
Ozaukee,Town Of Grafton Wards 3 - 5 & 7,Assembly,60,396,DEM,Rick Aaron,92
Ozaukee,Town Of Grafton Wards 3 - 5 & 7,Assembly,60,396,,Scattering,0
Ozaukee,Town Of Port Washington Wards 1 & 2,Assembly,60,261,REP,Duey Stroebel,218
Ozaukee,Town Of Port Washington Wards 1 & 2,Assembly,60,261,DEM,Rick Aaron,42
Ozaukee,Town Of Port Washington Wards 1 & 2,Assembly,60,261,,Scattering,1
Ozaukee,Town Of Saukville Wards 2-5,Assembly,60,262,REP,Duey Stroebel,224
Ozaukee,Town Of Saukville Wards 2-5,Assembly,60,262,DEM,Rick Aaron,38
Ozaukee,Town Of Saukville Wards 2-5,Assembly,60,262,,Scattering,0
Ozaukee,Village Of Grafton Wards 1 & 2 & 16,Assembly,60,266,REP,Duey Stroebel,191
Ozaukee,Village Of Grafton Wards 1 & 2 & 16,Assembly,60,266,DEM,Rick Aaron,75
Ozaukee,Village Of Grafton Wards 1 & 2 & 16,Assembly,60,266,,Scattering,0
Ozaukee,Village Of Grafton Wards 3 & 4,Assembly,60,276,REP,Duey Stroebel,188
Ozaukee,Village Of Grafton Wards 3 & 4,Assembly,60,276,DEM,Rick Aaron,87
Ozaukee,Village Of Grafton Wards 3 & 4,Assembly,60,276,,Scattering,1
Ozaukee,Village Of Grafton Wards 5 & 6,Assembly,60,418,REP,Duey Stroebel,315
Ozaukee,Village Of Grafton Wards 5 & 6,Assembly,60,418,DEM,Rick Aaron,102
Ozaukee,Village Of Grafton Wards 5 & 6,Assembly,60,418,,Scattering,1
Ozaukee,Village Of Grafton Wards 7 & 8,Assembly,60,274,REP,Duey Stroebel,199
Ozaukee,Village Of Grafton Wards 7 & 8,Assembly,60,274,DEM,Rick Aaron,75
Ozaukee,Village Of Grafton Wards 7 & 8,Assembly,60,274,,Scattering,0
Ozaukee,Village Of Grafton Wards 9 - 11 & 14 - 15,Assembly,60,326,REP,Duey Stroebel,226
Ozaukee,Village Of Grafton Wards 9 - 11 & 14 - 15,Assembly,60,326,DEM,Rick Aaron,100
Ozaukee,Village Of Grafton Wards 9 - 11 & 14 - 15,Assembly,60,326,,Scattering,0
Ozaukee,Village Of Grafton Wards 12 & 13,Assembly,60,348,REP,Duey Stroebel,255
Ozaukee,Village Of Grafton Wards 12 & 13,Assembly,60,348,DEM,Rick Aaron,93
Ozaukee,Village Of Grafton Wards 12 & 13,Assembly,60,348,,Scattering,0
Ozaukee,Village Of Newburg Ward 3,Assembly,60,8,REP,Duey Stroebel,8
Ozaukee,Village Of Newburg Ward 3,Assembly,60,8,DEM,Rick Aaron,0
Ozaukee,Village Of Newburg Ward 3,Assembly,60,8,,Scattering,0
Ozaukee,"Village Of Saukville Wards 1, 6 & 7",Assembly,60,255,REP,Duey Stroebel,189
Ozaukee,"Village Of Saukville Wards 1, 6 & 7",Assembly,60,255,DEM,Rick Aaron,66
Ozaukee,"Village Of Saukville Wards 1, 6 & 7",Assembly,60,255,,Scattering,0
Ozaukee,Village Of Saukville Wards 2 - 5 & 8,Assembly,60,228,REP,Duey Stroebel,173
Ozaukee,Village Of Saukville Wards 2 - 5 & 8,Assembly,60,228,DEM,Rick Aaron,55
Ozaukee,Village Of Saukville Wards 2 - 5 & 8,Assembly,60,228,,Scattering,0
Ozaukee,City Of Cedarburg Wards 1 & 2 & 15,Assembly,60,355,REP,Duey Stroebel,291
Ozaukee,City Of Cedarburg Wards 1 & 2 & 15,Assembly,60,355,DEM,Rick Aaron,62
Ozaukee,City Of Cedarburg Wards 1 & 2 & 15,Assembly,60,355,,Scattering,2
Ozaukee,City Of Cedarburg Wards 3 & 4 & 16,Assembly,60,349,REP,Duey Stroebel,269
Ozaukee,City Of Cedarburg Wards 3 & 4 & 16,Assembly,60,349,DEM,Rick Aaron,80
Ozaukee,City Of Cedarburg Wards 3 & 4 & 16,Assembly,60,349,,Scattering,0
Ozaukee,City Of Cedarburg Wards 5 & 6,Assembly,60,308,REP,Duey Stroebel,200
Ozaukee,City Of Cedarburg Wards 5 & 6,Assembly,60,308,DEM,Rick Aaron,108
Ozaukee,City Of Cedarburg Wards 5 & 6,Assembly,60,308,,Scattering,0
Ozaukee,City Of Cedarburg Wards 7 & 8 & 17 & 22,Assembly,60,177,REP,Duey Stroebel,130
Ozaukee,City Of Cedarburg Wards 7 & 8 & 17 & 22,Assembly,60,177,DEM,Rick Aaron,47
Ozaukee,City Of Cedarburg Wards 7 & 8 & 17 & 22,Assembly,60,177,,Scattering,0
Ozaukee,City Of Cedarburg Wards 9 & 10,Assembly,60,308,REP,Duey Stroebel,205
Ozaukee,City Of Cedarburg Wards 9 & 10,Assembly,60,308,DEM,Rick Aaron,103
Ozaukee,City Of Cedarburg Wards 9 & 10,Assembly,60,308,,Scattering,0
Ozaukee,City Of Cedarburg Wards 11 & 12 & 18,Assembly,60,395,REP,Duey Stroebel,297
Ozaukee,City Of Cedarburg Wards 11 & 12 & 18,Assembly,60,395,DEM,Rick Aaron,98
Ozaukee,City Of Cedarburg Wards 11 & 12 & 18,Assembly,60,395,,Scattering,0
Ozaukee,City Of Cedarburg Wards 13 & 14 & 19 & 20 & 21,Assembly,60,409,REP,Duey Stroebel,307
Ozaukee,City Of Cedarburg Wards 13 & 14 & 19 & 20 & 21,Assembly,60,409,DEM,Rick Aaron,102
Ozaukee,City Of Cedarburg Wards 13 & 14 & 19 & 20 & 21,Assembly,60,409,,Scattering,0
Ozaukee,City Of Mequon Ward 2,Assembly,60,166,REP,Duey Stroebel,149
Ozaukee,City Of Mequon Ward 2,Assembly,60,166,DEM,Rick Aaron,17
Ozaukee,City Of Mequon Ward 2,Assembly,60,166,,Scattering,0
Ozaukee,City Of Port Washington Ward 1,Assembly,60,236,REP,Duey Stroebel,171
Ozaukee,City Of Port Washington Ward 1,Assembly,60,236,DEM,Rick Aaron,65
Ozaukee,City Of Port Washington Ward 1,Assembly,60,236,,Scattering,0
Ozaukee,City Of Port Washington Wards 2 & 3,Assembly,60,212,REP,Duey Stroebel,137
Ozaukee,City Of Port Washington Wards 2 & 3,Assembly,60,212,DEM,Rick Aaron,75
Ozaukee,City Of Port Washington Wards 2 & 3,Assembly,60,212,,Scattering,0
Ozaukee,City Of Port Washington Wards 4 & 5,Assembly,60,173,REP,Duey Stroebel,124
Ozaukee,City Of Port Washington Wards 4 & 5,Assembly,60,173,DEM,Rick Aaron,48
Ozaukee,City Of Port Washington Wards 4 & 5,Assembly,60,173,,Scattering,1
Ozaukee,City Of Port Washington Ward 6,Assembly,60,144,REP,Duey Stroebel,99
Ozaukee,City Of Port Washington Ward 6,Assembly,60,144,DEM,Rick Aaron,43
