county,ward,office,district,total votes,party,candidate,votes
Brown,Town Of Pittsfield Wards 1 - 4,State Senate,30,648,REP,David Vanderleest,281
Brown,Town Of Pittsfield Wards 1 - 4,State Senate,30,648,DEM,Dave Hansen,360
Brown,Town Of Pittsfield Wards 1 - 4,State Senate,30,648,,Scattering,7
Brown,Town Of Scott Ward 5,State Senate,30,29,REP,David Vanderleest,8
Brown,Town Of Scott Ward 5,State Senate,30,29,DEM,Dave Hansen,21
Brown,Town Of Scott Ward 5,State Senate,30,29,,Scattering,0
Brown,"Village Of Howard Wards 1 - 4, 11 & 12",State Senate,30,1016,REP,David Vanderleest,385
Brown,"Village Of Howard Wards 1 - 4, 11 & 12",State Senate,30,1016,DEM,Dave Hansen,622
Brown,"Village Of Howard Wards 1 - 4, 11 & 12",State Senate,30,1016,,Scattering,9
Brown,Village Of Howard Wards 5 - 10,State Senate,30,1408,REP,David Vanderleest,557
Brown,Village Of Howard Wards 5 - 10,State Senate,30,1408,DEM,Dave Hansen,842
Brown,Village Of Howard Wards 5 - 10,State Senate,30,1408,,Scattering,9
Brown,Village Of Howard Wards 13 - 16,State Senate,30,1364,REP,David Vanderleest,532
Brown,Village Of Howard Wards 13 - 16,State Senate,30,1364,DEM,Dave Hansen,824
Brown,Village Of Howard Wards 13 - 16,State Senate,30,1364,,Scattering,8
Brown,Village Of Pulaski Wards 1 - 3 & 6,State Senate,30,546,REP,David Vanderleest,199
Brown,Village Of Pulaski Wards 1 - 3 & 6,State Senate,30,546,DEM,Dave Hansen,342
Brown,Village Of Pulaski Wards 1 - 3 & 6,State Senate,30,546,,Scattering,5
Brown,"Village Of Suamico Wards 1 - 3, 7 & 10",State Senate,30,1331,REP,David Vanderleest,669
Brown,"Village Of Suamico Wards 1 - 3, 7 & 10",State Senate,30,1331,DEM,Dave Hansen,657
Brown,"Village Of Suamico Wards 1 - 3, 7 & 10",State Senate,30,1331,,Scattering,5
Brown,"Village Of Suamico Wards 4 - 6, 8 & 9",State Senate,30,1443,REP,David Vanderleest,577
Brown,"Village Of Suamico Wards 4 - 6, 8 & 9",State Senate,30,1443,DEM,Dave Hansen,847
Brown,"Village Of Suamico Wards 4 - 6, 8 & 9",State Senate,30,1443,,Scattering,19
Brown,City Of Green Bay Ward 1,State Senate,30,620,REP,David Vanderleest,206
Brown,City Of Green Bay Ward 1,State Senate,30,620,DEM,Dave Hansen,411
Brown,City Of Green Bay Ward 1,State Senate,30,620,,Scattering,3
Brown,City Of Green Bay Ward 2,State Senate,30,28,REP,David Vanderleest,2
Brown,City Of Green Bay Ward 2,State Senate,30,28,DEM,Dave Hansen,26
Brown,City Of Green Bay Ward 2,State Senate,30,28,,Scattering,0
Brown,City Of Green Bay Ward 3,State Senate,30,571,REP,David Vanderleest,243
Brown,City Of Green Bay Ward 3,State Senate,30,571,DEM,Dave Hansen,324
