county,ward,office,district,total votes,party,candidate,votes
Dane,Town Of Blooming Grove Wards 1 - 3,State Assembly,48,136,DEM,Chris Taylor,127
Dane,Town Of Blooming Grove Wards 1 - 3,State Assembly,48,136,,Scattering,9
Dane,Town Of Dunn Wards 2-6,State Assembly,48,194,DEM,Chris Taylor,176
Dane,Town Of Dunn Wards 2-6,State Assembly,48,194,,Scattering,18
Dane,Village Of Mcfarland Wards1-7,State Assembly,48,589,DEM,Chris Taylor,486
Dane,Village Of Mcfarland Wards1-7,State Assembly,48,589,,Scattering,103
Dane,City Of Madison Ward 1,State Assembly,48,312,DEM,Chris Taylor,301
Dane,City Of Madison Ward 1,State Assembly,48,312,,Scattering,11
Dane,City Of Madison Ward 2,State Assembly,48,390,DEM,Chris Taylor,360
Dane,City Of Madison Ward 2,State Assembly,48,390,,Scattering,30
Dane,City Of Madison Ward 3,State Assembly,48,222,DEM,Chris Taylor,206
Dane,City Of Madison Ward 3,State Assembly,48,222,,Scattering,16
Dane,City Of Madison Ward 4,State Assembly,48,187,DEM,Chris Taylor,169
Dane,City Of Madison Ward 4,State Assembly,48,187,,Scattering,18
Dane,City Of Madison Ward 5,State Assembly,48,304,DEM,Chris Taylor,281
Dane,City Of Madison Ward 5,State Assembly,48,304,,Scattering,23
Dane,City Of Madison Ward 6,State Assembly,48,229,DEM,Chris Taylor,219
Dane,City Of Madison Ward 6,State Assembly,48,229,,Scattering,10
Dane,City Of Madison Ward 7,State Assembly,48,262,DEM,Chris Taylor,253
Dane,City Of Madison Ward 7,State Assembly,48,262,,Scattering,9
Dane,City Of Madison Ward 8,State Assembly,48,161,DEM,Chris Taylor,152
Dane,City Of Madison Ward 8,State Assembly,48,161,,Scattering,9
Dane,City Of Madison Ward 10,State Assembly,48,270,DEM,Chris Taylor,256
Dane,City Of Madison Ward 10,State Assembly,48,270,,Scattering,14
Dane,City Of Madison Ward 11,State Assembly,48,421,DEM,Chris Taylor,405
Dane,City Of Madison Ward 11,State Assembly,48,421,,Scattering,16
Dane,City Of Madison Ward 12,State Assembly,48,168,DEM,Chris Taylor,160
Dane,City Of Madison Ward 12,State Assembly,48,168,,Scattering,8
Dane,City Of Madison Ward 13,State Assembly,48,80,DEM,Chris Taylor,77
Dane,City Of Madison Ward 13,State Assembly,48,80,,Scattering,3
Dane,City Of Madison Ward 33,State Assembly,48,804,DEM,Chris Taylor,794
Dane,City Of Madison Ward 33,State Assembly,48,804,,Scattering,10
Dane,City Of Madison Ward 55,State Assembly,48,4,DEM,Chris Taylor,4
Dane,City Of Madison Ward 55,State Assembly,48,4,,Scattering,0
Dane,City Of Madison Ward 56,State Assembly,48,103,DEM,Chris Taylor,99
Dane,City Of Madison Ward 56,State Assembly,48,103,,Scattering,4
Dane,City Of Madison Ward 131,State Assembly,48,0,DEM,Chris Taylor,0
Dane,City Of Madison Ward 131,State Assembly,48,0,,Scattering,0
Dane,City Of Monona Wards 1 - 5,State Assembly,48,558,DEM,Chris Taylor,521
Dane,City Of Monona Wards 1 - 5,State Assembly,48,558,,Scattering,37
Dane,City Of Monona Wards 6 - 10,State Assembly,48,438,DEM,Chris Taylor,407
Dane,City Of Monona Wards 6 - 10,State Assembly,48,438,,Scattering,31
