county,ward,office,district,totalvotes,party,candidate,votes
Adams,Town Of Adams Wards 1-3,Adams County District Attorney,,0,REP,Scattering,0
Adams,Town Of Big Flats Ward 1-2,Adams County District Attorney,,2,REP,Scattering,2
Adams,Town Of Colburn Ward 1,Adams County District Attorney,,0,REP,Scattering,0
Adams,Town Of Dell Prairie Ward 1-3,Adams County District Attorney,,0,REP,Scattering,0
Adams,Town Of Easton Wards 1-2,Adams County District Attorney,,2,REP,Scattering,2
Adams,Town Of Jackson Ward 1-2,Adams County District Attorney,,0,REP,Scattering,0
Adams,Town Of Leola Ward 1,Adams County District Attorney,,0,REP,Scattering,0
Adams,Town Of Lincoln Ward 1,Adams County District Attorney,,1,REP,Scattering,1
Adams,Town Of Monroe Ward 1,Adams County District Attorney,,0,REP,Scattering,0
Adams,Town Of New Chester Wards 1-3,Adams County District Attorney,,1,REP,Scattering,1
Adams,Town Of New Haven Ward 1,Adams County District Attorney,,0,REP,Scattering,0
Adams,Town Of Preston Ward 1-2,Adams County District Attorney,,0,REP,Scattering,0
Adams,Town Of Quincy Ward 1-3,Adams County District Attorney,,0,REP,Scattering,0
Adams,Town Of Richfield Ward 1,Adams County District Attorney,,0,REP,Scattering,0
Adams,Town Of Rome Ward 1-5,Adams County District Attorney,,3,REP,Scattering,3
Adams,Town Of Springville Ward 1-2,Adams County District Attorney,,0,REP,Scattering,0
Adams,Town Of Strongs Prairie Wards 1-3,Adams County District Attorney,,0,REP,Scattering,0
Adams,Village Of Friendship Ward 1,Adams County District Attorney,,2,REP,Scattering,2
Adams,City Of Adams Ward 1-4,Adams County District Attorney,,0,REP,Scattering,0
Adams,"City Of Wisconsin Dells Wards 5,9",Adams County District Attorney,,0,REP,Scattering,0
Ashland,Town Of Agenda Ward 1,Ashland County District Attorney,,0,REP,Scattering,0
Ashland,Town Of Ashland Ward 1,Ashland County District Attorney,,1,REP,Scattering,1
Ashland,Town Of Chippewa Ward 1,Ashland County District Attorney,,0,REP,Scattering,0
Ashland,Town Of Gingles Ward 1,Ashland County District Attorney,,0,REP,Scattering,0
Ashland,Town Of Gordon Wards 1-2,Ashland County District Attorney,,0,REP,Scattering,0
Ashland,Town Of Jacobs Ward 1,Ashland County District Attorney,,0,REP,Scattering,0
Ashland,Town Of La Pointe Ward 1,Ashland County District Attorney,,1,REP,Scattering,1
Ashland,Town Of Marengo Wards 1-2,Ashland County District Attorney,,0,REP,Scattering,0
Ashland,Town Of Morse Wards 1-3,Ashland County District Attorney,,1,REP,Scattering,1
Ashland,Town Of Peeksville Wards 1-2,Ashland County District Attorney,,0,REP,Scattering,0
Ashland,Town Of Sanborn Wards 1-2,Ashland County District Attorney,,0,REP,Scattering,0
Ashland,Town Of Shanagolden Ward 1,Ashland County District Attorney,,0,REP,Scattering,0
Ashland,Town Of White River Wards 1-2,Ashland County District Attorney,,0,REP,Scattering,0
Ashland,Village Of Butternut Wards 1-2,Ashland County District Attorney,,0,REP,Scattering,0
Ashland,"City Of Ashland Ward 1,4-5",Ashland County District Attorney,,0,REP,Scattering,0
Ashland,"City Of Ashland Ward 2-3,6-7",Ashland County District Attorney,,0,REP,Scattering,0
Ashland,City Of Ashland Ward 8-11,Ashland County District Attorney,,1,REP,Scattering,1
Ashland,City Of Mellen Ward 1,Ashland County District Attorney,,0,REP,Scattering,0
Barron,Town Of Almena Ward 1-2,Barron County District Attorney,,2,REP,Scattering,2
Barron,Town Of Arland Ward 1,Barron County District Attorney,,0,REP,Scattering,0
Barron,Town Of Barron Ward 1-2,Barron County District Attorney,,0,REP,Scattering,0
Barron,Town Of Bear Lake Ward 1,Barron County District Attorney,,0,REP,Scattering,0
Barron,Town Of Cedar Lake Ward 1,Barron County District Attorney,,0,REP,Scattering,0
Barron,Town Of Chetek Wards 1-2,Barron County District Attorney,,0,REP,Scattering,0
