county,ward,office,district,total votes,party,candidate,votes
Adams,Town Of Adams Ward 1-2,Supreme Court,,98,NP,Rebecca G. Bradley,45
Adams,Town Of Adams Ward 1-2,Supreme Court,,98,NP,Joanne F. Kloppenburg,48
Adams,Town Of Adams Ward 1-2,Supreme Court,,98,NP,Joe Donald,5
Adams,Town Of Adams Ward 1-2,Supreme Court,,98,,Scattering,0
Adams,Town Of Adams Ward 3,Supreme Court,,5,NP,Rebecca G. Bradley,1
Adams,Town Of Adams Ward 3,Supreme Court,,5,NP,Joanne F. Kloppenburg,3
Adams,Town Of Adams Ward 3,Supreme Court,,5,NP,Joe Donald,1
Adams,Town Of Adams Ward 3,Supreme Court,,5,,Scattering,0
Adams,Town Of Big Flats Ward 1-2,Supreme Court,,77,NP,Rebecca G. Bradley,38
Adams,Town Of Big Flats Ward 1-2,Supreme Court,,77,NP,Joanne F. Kloppenburg,35
Adams,Town Of Big Flats Ward 1-2,Supreme Court,,77,NP,Joe Donald,4
Adams,Town Of Big Flats Ward 1-2,Supreme Court,,77,,Scattering,0
Adams,Town Of Colburn Ward 1,Supreme Court,,34,NP,Rebecca G. Bradley,11
Adams,Town Of Colburn Ward 1,Supreme Court,,34,NP,Joanne F. Kloppenburg,21
Adams,Town Of Colburn Ward 1,Supreme Court,,34,NP,Joe Donald,2
Adams,Town Of Colburn Ward 1,Supreme Court,,34,,Scattering,0
Adams,Town Of Dell Prairie Ward 1-3,Supreme Court,,113,NP,Rebecca G. Bradley,66
Adams,Town Of Dell Prairie Ward 1-3,Supreme Court,,113,NP,Joanne F. Kloppenburg,40
Adams,Town Of Dell Prairie Ward 1-3,Supreme Court,,113,NP,Joe Donald,7
Adams,Town Of Dell Prairie Ward 1-3,Supreme Court,,113,,Scattering,0
Adams,Town Of Easton Ward 1-2,Supreme Court,,75,NP,Rebecca G. Bradley,38
Adams,Town Of Easton Ward 1-2,Supreme Court,,75,NP,Joanne F. Kloppenburg,34
Adams,Town Of Easton Ward 1-2,Supreme Court,,75,NP,Joe Donald,3
Adams,Town Of Easton Ward 1-2,Supreme Court,,75,,Scattering,0
Adams,Town Of Jackson Ward 1-2,Supreme Court,,111,NP,Rebecca G. Bradley,58
Adams,Town Of Jackson Ward 1-2,Supreme Court,,111,NP,Joanne F. Kloppenburg,50
Adams,Town Of Jackson Ward 1-2,Supreme Court,,111,NP,Joe Donald,3
Adams,Town Of Jackson Ward 1-2,Supreme Court,,111,,Scattering,0
Adams,Town Of Leola Ward 1,Supreme Court,,20,NP,Rebecca G. Bradley,13
Adams,Town Of Leola Ward 1,Supreme Court,,20,NP,Joanne F. Kloppenburg,7
Adams,Town Of Leola Ward 1,Supreme Court,,20,NP,Joe Donald,0
Adams,Town Of Leola Ward 1,Supreme Court,,20,,Scattering,0
Adams,Town Of Lincoln Ward 1,Supreme Court,,41,NP,Rebecca G. Bradley,24
Adams,Town Of Lincoln Ward 1,Supreme Court,,41,NP,Joanne F. Kloppenburg,14
Adams,Town Of Lincoln Ward 1,Supreme Court,,41,NP,Joe Donald,3
Adams,Town Of Lincoln Ward 1,Supreme Court,,41,,Scattering,0
Adams,Town Of Monroe Ward 1,Supreme Court,,34,NP,Rebecca G. Bradley,16
Adams,Town Of Monroe Ward 1,Supreme Court,,34,NP,Joanne F. Kloppenburg,17
Adams,Town Of Monroe Ward 1,Supreme Court,,34,NP,Joe Donald,1
Adams,Town Of Monroe Ward 1,Supreme Court,,34,,Scattering,0
Adams,Town Of New Chester Ward 1-3,Supreme Court,,66,NP,Rebecca G. Bradley,21
Adams,Town Of New Chester Ward 1-3,Supreme Court,,66,NP,Joanne F. Kloppenburg,32
Adams,Town Of New Chester Ward 1-3,Supreme Court,,66,NP,Joe Donald,13
Adams,Town Of New Chester Ward 1-3,Supreme Court,,66,,Scattering,0
Adams,Town Of New Haven Ward 1,Supreme Court,,74,NP,Rebecca G. Bradley,36
Adams,Town Of New Haven Ward 1,Supreme Court,,74,NP,Joanne F. Kloppenburg,35
Adams,Town Of New Haven Ward 1,Supreme Court,,74,NP,Joe Donald,3
Adams,Town Of New Haven Ward 1,Supreme Court,,74,,Scattering,0
Adams,Town Of Preston Ward 1-2,Supreme Court,,116,NP,Rebecca G. Bradley,43
Adams,Town Of Preston Ward 1-2,Supreme Court,,116,NP,Joanne F. Kloppenburg,64
Adams,Town Of Preston Ward 1-2,Supreme Court,,116,NP,Joe Donald,9
Adams,Town Of Preston Ward 1-2,Supreme Court,,116,,Scattering,0
Adams,Town Of Quincy Ward 1-3,Supreme Court,,75,NP,Rebecca G. Bradley,25
Adams,Town Of Quincy Ward 1-3,Supreme Court,,75,NP,Joanne F. Kloppenburg,46
Adams,Town Of Quincy Ward 1-3,Supreme Court,,75,NP,Joe Donald,4
Adams,Town Of Quincy Ward 1-3,Supreme Court,,75,,Scattering,0
Adams,Town Of Richfield Ward 1,Supreme Court,,16,NP,Rebecca G. Bradley,4
Adams,Town Of Richfield Ward 1,Supreme Court,,16,NP,Joanne F. Kloppenburg,7
Adams,Town Of Richfield Ward 1,Supreme Court,,16,NP,Joe Donald,5
Adams,Town Of Richfield Ward 1,Supreme Court,,16,,Scattering,0
Adams,Town Of Rome Ward 1-5,Supreme Court,,324,NP,Rebecca G. Bradley,143
Adams,Town Of Rome Ward 1-5,Supreme Court,,324,NP,Joanne F. Kloppenburg,168
Adams,Town Of Rome Ward 1-5,Supreme Court,,324,NP,Joe Donald,11
Adams,Town Of Rome Ward 1-5,Supreme Court,,324,,Scattering,2
Adams,Town Of Springville Ward 1-2,Supreme Court,,78,NP,Rebecca G. Bradley,49
Adams,Town Of Springville Ward 1-2,Supreme Court,,78,NP,Joanne F. Kloppenburg,27
Adams,Town Of Springville Ward 1-2,Supreme Court,,78,NP,Joe Donald,2
Adams,Town Of Springville Ward 1-2,Supreme Court,,78,,Scattering,0
Adams,Town Of Strongs Prairie Ward 1-3,Supreme Court,,106,NP,Rebecca G. Bradley,45
Adams,Town Of Strongs Prairie Ward 1-3,Supreme Court,,106,NP,Joanne F. Kloppenburg,59
Adams,Town Of Strongs Prairie Ward 1-3,Supreme Court,,106,NP,Joe Donald,2
Adams,Town Of Strongs Prairie Ward 1-3,Supreme Court,,106,,Scattering,0
Adams,Village Of Friendship Ward 1,Supreme Court,,56,NP,Rebecca G. Bradley,21
Adams,Village Of Friendship Ward 1,Supreme Court,,56,NP,Joanne F. Kloppenburg,31
Adams,Village Of Friendship Ward 1,Supreme Court,,56,NP,Joe Donald,4
Adams,Village Of Friendship Ward 1,Supreme Court,,56,,Scattering,0
Adams,"City Of Adams Ward 1,4",Supreme Court,,47,NP,Rebecca G. Bradley,21
Adams,"City Of Adams Ward 1,4",Supreme Court,,47,NP,Joanne F. Kloppenburg,23
Adams,"City Of Adams Ward 1,4",Supreme Court,,47,NP,Joe Donald,3
Adams,"City Of Adams Ward 1,4",Supreme Court,,47,,Scattering,0
Adams,City Of Adams Ward 2-3,Supreme Court,,61,NP,Rebecca G. Bradley,20
Adams,City Of Adams Ward 2-3,Supreme Court,,61,NP,Joanne F. Kloppenburg,38
Adams,City Of Adams Ward 2-3,Supreme Court,,61,NP,Joe Donald,3
Adams,City Of Adams Ward 2-3,Supreme Court,,61,,Scattering,0
Adams,"City Of Wisconsin Dells Ward 5,9",Supreme Court,,1,NP,Rebecca G. Bradley,0
Adams,"City Of Wisconsin Dells Ward 5,9",Supreme Court,,1,NP,Joanne F. Kloppenburg,1
Adams,"City Of Wisconsin Dells Ward 5,9",Supreme Court,,1,NP,Joe Donald,0
Adams,"City Of Wisconsin Dells Ward 5,9",Supreme Court,,1,,Scattering,0
Ashland,Town Of Agenda Ward 1,Supreme Court,,38,NP,Rebecca G. Bradley,12
Ashland,Town Of Agenda Ward 1,Supreme Court,,38,NP,Joanne F. Kloppenburg,26
Ashland,Town Of Agenda Ward 1,Supreme Court,,38,NP,Joe Donald,0
Ashland,Town Of Agenda Ward 1,Supreme Court,,38,,Scattering,0
Ashland,Town Of Ashland Ward 1,Supreme Court,,83,NP,Rebecca G. Bradley,25
Ashland,Town Of Ashland Ward 1,Supreme Court,,83,NP,Joanne F. Kloppenburg,51
Ashland,Town Of Ashland Ward 1,Supreme Court,,83,NP,Joe Donald,7
Ashland,Town Of Ashland Ward 1,Supreme Court,,83,,Scattering,0
Ashland,Town Of Chippewa Ward 1,Supreme Court,,34,NP,Rebecca G. Bradley,20
Ashland,Town Of Chippewa Ward 1,Supreme Court,,34,NP,Joanne F. Kloppenburg,13
Ashland,Town Of Chippewa Ward 1,Supreme Court,,34,NP,Joe Donald,1
Ashland,Town Of Chippewa Ward 1,Supreme Court,,34,,Scattering,0
Ashland,Town Of Gingles Ward 1,Supreme Court,,48,NP,Rebecca G. Bradley,15
Ashland,Town Of Gingles Ward 1,Supreme Court,,48,NP,Joanne F. Kloppenburg,32
Ashland,Town Of Gingles Ward 1,Supreme Court,,48,NP,Joe Donald,1
Ashland,Town Of Gingles Ward 1,Supreme Court,,48,,Scattering,0
Ashland,Town Of Gordon Ward 1-2,Supreme Court,,21,NP,Rebecca G. Bradley,12
Ashland,Town Of Gordon Ward 1-2,Supreme Court,,21,NP,Joanne F. Kloppenburg,8
Ashland,Town Of Gordon Ward 1-2,Supreme Court,,21,NP,Joe Donald,1
Ashland,Town Of Gordon Ward 1-2,Supreme Court,,21,,Scattering,0
Ashland,Town Of Jacobs Ward 1,Supreme Court,,30,NP,Rebecca G. Bradley,14
Ashland,Town Of Jacobs Ward 1,Supreme Court,,30,NP,Joanne F. Kloppenburg,14
Ashland,Town Of Jacobs Ward 1,Supreme Court,,30,NP,Joe Donald,2
Ashland,Town Of Jacobs Ward 1,Supreme Court,,30,,Scattering,0
Ashland,Town Of La Pointe Ward 1,Supreme Court,,91,NP,Rebecca G. Bradley,14
Ashland,Town Of La Pointe Ward 1,Supreme Court,,91,NP,Joanne F. Kloppenburg,73
Ashland,Town Of La Pointe Ward 1,Supreme Court,,91,NP,Joe Donald,4
Ashland,Town Of La Pointe Ward 1,Supreme Court,,91,,Scattering,0
Ashland,Town Of Marengo Ward 1-2,Supreme Court,,53,NP,Rebecca G. Bradley,10
Ashland,Town Of Marengo Ward 1-2,Supreme Court,,53,NP,Joanne F. Kloppenburg,43
Ashland,Town Of Marengo Ward 1-2,Supreme Court,,53,NP,Joe Donald,0
Ashland,Town Of Marengo Ward 1-2,Supreme Court,,53,,Scattering,0
Ashland,"Town Of Morse Ward 1,3",Supreme Court,,45,NP,Rebecca G. Bradley,8
Ashland,"Town Of Morse Ward 1,3",Supreme Court,,45,NP,Joanne F. Kloppenburg,35
Ashland,"Town Of Morse Ward 1,3",Supreme Court,,45,NP,Joe Donald,2
Ashland,"Town Of Morse Ward 1,3",Supreme Court,,45,,Scattering,0
Ashland,Town Of Morse Ward 2,Supreme Court,,2,NP,Rebecca G. Bradley,0
Ashland,Town Of Morse Ward 2,Supreme Court,,2,NP,Joanne F. Kloppenburg,1
Ashland,Town Of Morse Ward 2,Supreme Court,,2,NP,Joe Donald,1
Ashland,Town Of Morse Ward 2,Supreme Court,,2,,Scattering,0
Ashland,Town Of Peeksville Ward 1-2,Supreme Court,,17,NP,Rebecca G. Bradley,6
Ashland,Town Of Peeksville Ward 1-2,Supreme Court,,17,NP,Joanne F. Kloppenburg,10
Ashland,Town Of Peeksville Ward 1-2,Supreme Court,,17,NP,Joe Donald,1
Ashland,Town Of Peeksville Ward 1-2,Supreme Court,,17,,Scattering,0
Ashland,Town Of Sanborn Ward 1-2,Supreme Court,,22,NP,Rebecca G. Bradley,4
Ashland,Town Of Sanborn Ward 1-2,Supreme Court,,22,NP,Joanne F. Kloppenburg,15
Ashland,Town Of Sanborn Ward 1-2,Supreme Court,,22,NP,Joe Donald,3
Ashland,Town Of Sanborn Ward 1-2,Supreme Court,,22,,Scattering,0
Ashland,Town Of Shanagolden Ward 1,Supreme Court,,16,NP,Rebecca G. Bradley,3
Ashland,Town Of Shanagolden Ward 1,Supreme Court,,16,NP,Joanne F. Kloppenburg,13
Ashland,Town Of Shanagolden Ward 1,Supreme Court,,16,NP,Joe Donald,0
Ashland,Town Of Shanagolden Ward 1,Supreme Court,,16,,Scattering,0
Ashland,Town Of White River Ward 1,Supreme Court,,60,NP,Rebecca G. Bradley,37
Ashland,Town Of White River Ward 1,Supreme Court,,60,NP,Joanne F. Kloppenburg,19
Ashland,Town Of White River Ward 1,Supreme Court,,60,NP,Joe Donald,4
Ashland,Town Of White River Ward 1,Supreme Court,,60,,Scattering,0
Ashland,Town Of White River Ward 2,Supreme Court,,8,NP,Rebecca G. Bradley,4
Ashland,Town Of White River Ward 2,Supreme Court,,8,NP,Joanne F. Kloppenburg,3
Ashland,Town Of White River Ward 2,Supreme Court,,8,NP,Joe Donald,1
Ashland,Town Of White River Ward 2,Supreme Court,,8,,Scattering,0
Ashland,Village Of Butternut Ward 1-2,Supreme Court,,35,NP,Rebecca G. Bradley,8
Ashland,Village Of Butternut Ward 1-2,Supreme Court,,35,NP,Joanne F. Kloppenburg,24
Ashland,Village Of Butternut Ward 1-2,Supreme Court,,35,NP,Joe Donald,3
Ashland,Village Of Butternut Ward 1-2,Supreme Court,,35,,Scattering,0
Ashland,"City Of Ashland Ward 1,4-5",Supreme Court,,255,NP,Rebecca G. Bradley,63
Ashland,"City Of Ashland Ward 1,4-5",Supreme Court,,255,NP,Joanne F. Kloppenburg,183
Ashland,"City Of Ashland Ward 1,4-5",Supreme Court,,255,NP,Joe Donald,9
Ashland,"City Of Ashland Ward 1,4-5",Supreme Court,,255,,Scattering,0
Ashland,"City Of Ashland Ward 2-3,6-7",Supreme Court,,213,NP,Rebecca G. Bradley,40
Ashland,"City Of Ashland Ward 2-3,6-7",Supreme Court,,213,NP,Joanne F. Kloppenburg,155
Ashland,"City Of Ashland Ward 2-3,6-7",Supreme Court,,213,NP,Joe Donald,18
Ashland,"City Of Ashland Ward 2-3,6-7",Supreme Court,,213,,Scattering,0
Ashland,City Of Ashland Ward 8-11,Supreme Court,,96,NP,Rebecca G. Bradley,44
Ashland,City Of Ashland Ward 8-11,Supreme Court,,96,NP,Joanne F. Kloppenburg,41
Ashland,City Of Ashland Ward 8-11,Supreme Court,,96,NP,Joe Donald,11
Ashland,City Of Ashland Ward 8-11,Supreme Court,,96,,Scattering,0
Ashland,City Of Mellen Ward 1,Supreme Court,,42,NP,Rebecca G. Bradley,12
Ashland,City Of Mellen Ward 1,Supreme Court,,42,NP,Joanne F. Kloppenburg,26
Ashland,City Of Mellen Ward 1,Supreme Court,,42,NP,Joe Donald,4
Ashland,City Of Mellen Ward 1,Supreme Court,,42,,Scattering,0
Barron,Town Of Almena Ward 1-2,Supreme Court,,47,NP,Rebecca G. Bradley,27
Barron,Town Of Almena Ward 1-2,Supreme Court,,47,NP,Joanne F. Kloppenburg,13
Barron,Town Of Almena Ward 1-2,Supreme Court,,47,NP,Joe Donald,7
Barron,Town Of Almena Ward 1-2,Supreme Court,,47,,Scattering,0
Barron,Town Of Arland Ward 1,Supreme Court,,26,NP,Rebecca G. Bradley,5
Barron,Town Of Arland Ward 1,Supreme Court,,26,NP,Joanne F. Kloppenburg,19
Barron,Town Of Arland Ward 1,Supreme Court,,26,NP,Joe Donald,2
Barron,Town Of Arland Ward 1,Supreme Court,,26,,Scattering,0
Barron,Town Of Barron Ward 1-2,Supreme Court,,56,NP,Rebecca G. Bradley,39
