county,ward,office,district,total votes,party,candidate,votes
Adams,Town Of Adams Wards 1 & 2,Supreme Court,,208,NP,Annette K. Ziegler,124
Adams,Town Of Adams Wards 1 & 2,Supreme Court,,208,NP,Linda M. Clifford,38
Adams,Town Of Adams Wards 1 & 2,Supreme Court,,208,NP,Joseph Sommers,46
Adams,Town Of Adams Wards 1 & 2,Supreme Court,,208,,Scattering,0
Adams,Town Of Big Flats,Supreme Court,,157,NP,Annette K. Ziegler,83
Adams,Town Of Big Flats,Supreme Court,,157,NP,Linda M. Clifford,35
Adams,Town Of Big Flats,Supreme Court,,157,NP,Joseph Sommers,38
Adams,Town Of Big Flats,Supreme Court,,157,,Scattering,1
Adams,Town Of Colburn,Supreme Court,,29,NP,Annette K. Ziegler,17
Adams,Town Of Colburn,Supreme Court,,29,NP,Linda M. Clifford,7
Adams,Town Of Colburn,Supreme Court,,29,NP,Joseph Sommers,5
Adams,Town Of Colburn,Supreme Court,,29,,Scattering,0
Adams,Town Of Dell Prairie Wards 1 & 2,Supreme Court,,75,NP,Annette K. Ziegler,45
Adams,Town Of Dell Prairie Wards 1 & 2,Supreme Court,,75,NP,Linda M. Clifford,21
Adams,Town Of Dell Prairie Wards 1 & 2,Supreme Court,,75,NP,Joseph Sommers,9
Adams,Town Of Dell Prairie Wards 1 & 2,Supreme Court,,75,,Scattering,0
Adams,Town Of Easton Wards 1 & 2,Supreme Court,,158,NP,Annette K. Ziegler,98
Adams,Town Of Easton Wards 1 & 2,Supreme Court,,158,NP,Linda M. Clifford,23
Adams,Town Of Easton Wards 1 & 2,Supreme Court,,158,NP,Joseph Sommers,37
Adams,Town Of Easton Wards 1 & 2,Supreme Court,,158,,Scattering,0
Adams,Town Of Jackson,Supreme Court,,88,NP,Annette K. Ziegler,60
Adams,Town Of Jackson,Supreme Court,,88,NP,Linda M. Clifford,10
Adams,Town Of Jackson,Supreme Court,,88,NP,Joseph Sommers,18
Adams,Town Of Jackson,Supreme Court,,88,,Scattering,0
Adams,Town Of Leola,Supreme Court,,19,NP,Annette K. Ziegler,15
Adams,Town Of Leola,Supreme Court,,19,NP,Linda M. Clifford,2
Adams,Town Of Leola,Supreme Court,,19,NP,Joseph Sommers,2
Adams,Town Of Leola,Supreme Court,,19,,Scattering,0
Adams,Town Of Lincoln,Supreme Court,,60,NP,Annette K. Ziegler,37
Adams,Town Of Lincoln,Supreme Court,,60,NP,Linda M. Clifford,12
Adams,Town Of Lincoln,Supreme Court,,60,NP,Joseph Sommers,11
Adams,Town Of Lincoln,Supreme Court,,60,,Scattering,0
Adams,Town Of Monroe,Supreme Court,,79,NP,Annette K. Ziegler,43
Adams,Town Of Monroe,Supreme Court,,79,NP,Linda M. Clifford,17
Adams,Town Of Monroe,Supreme Court,,79,NP,Joseph Sommers,19
Adams,Town Of Monroe,Supreme Court,,79,,Scattering,0
Adams,Town Of New Chester Wards 1 & 2,Supreme Court,,98,NP,Annette K. Ziegler,65
Adams,Town Of New Chester Wards 1 & 2,Supreme Court,,98,NP,Linda M. Clifford,13
Adams,Town Of New Chester Wards 1 & 2,Supreme Court,,98,NP,Joseph Sommers,20
Adams,Town Of New Chester Wards 1 & 2,Supreme Court,,98,,Scattering,0
Adams,Town Of New Haven,Supreme Court,,41,NP,Annette K. Ziegler,21
Adams,Town Of New Haven,Supreme Court,,41,NP,Linda M. Clifford,9
Adams,Town Of New Haven,Supreme Court,,41,NP,Joseph Sommers,11
Adams,Town Of New Haven,Supreme Court,,41,,Scattering,0
Adams,Town Of Preston Wards 1 - 3,Supreme Court,,250,NP,Annette K. Ziegler,164
Adams,Town Of Preston Wards 1 - 3,Supreme Court,,250,NP,Linda M. Clifford,46
Adams,Town Of Preston Wards 1 - 3,Supreme Court,,250,NP,Joseph Sommers,40
Adams,Town Of Preston Wards 1 - 3,Supreme Court,,250,,Scattering,0
Adams,Town Of Quincy Wards 1 & 2,Supreme Court,,187,NP,Annette K. Ziegler,104
Adams,Town Of Quincy Wards 1 & 2,Supreme Court,,187,NP,Linda M. Clifford,42
Adams,Town Of Quincy Wards 1 & 2,Supreme Court,,187,NP,Joseph Sommers,40
Adams,Town Of Quincy Wards 1 & 2,Supreme Court,,187,,Scattering,1
Adams,Town Of Richfield,Supreme Court,,24,NP,Annette K. Ziegler,13
Adams,Town Of Richfield,Supreme Court,,24,NP,Linda M. Clifford,4
Adams,Town Of Richfield,Supreme Court,,24,NP,Joseph Sommers,7
Adams,Town Of Richfield,Supreme Court,,24,,Scattering,0
Adams,Town Of Rome Wards 1 - 5,Supreme Court,,66,NP,Annette K. Ziegler,53
Adams,Town Of Rome Wards 1 - 5,Supreme Court,,66,NP,Linda M. Clifford,10
Adams,Town Of Rome Wards 1 - 5,Supreme Court,,66,NP,Joseph Sommers,3
