county,ward,office,district,total votes,party,candidate,votes
Adams,Town Of Adams Wards 1 & 2,Supreme Court,,131,NP,Linda M. Clifford,69
Adams,Town Of Adams Wards 1 & 2,Supreme Court,,131,NP,Annette K. Ziegler,61
Adams,Town Of Adams Wards 1 & 2,Supreme Court,,131,,Scattering,1
Adams,Town Of Big Flats,Supreme Court,,165,NP,Linda M. Clifford,64
Adams,Town Of Big Flats,Supreme Court,,165,NP,Annette K. Ziegler,100
Adams,Town Of Big Flats,Supreme Court,,165,,Scattering,1
Adams,Town Of Colburn,Supreme Court,,46,NP,Linda M. Clifford,19
Adams,Town Of Colburn,Supreme Court,,46,NP,Annette K. Ziegler,27
Adams,Town Of Colburn,Supreme Court,,46,,Scattering,0
Adams,Town Of Dell Prairie Wards 1 & 2,Supreme Court,,469,NP,Linda M. Clifford,203
Adams,Town Of Dell Prairie Wards 1 & 2,Supreme Court,,469,NP,Annette K. Ziegler,266
Adams,Town Of Dell Prairie Wards 1 & 2,Supreme Court,,469,,Scattering,0
Adams,Town Of Easton Wards 1 & 2,Supreme Court,,125,NP,Linda M. Clifford,53
Adams,Town Of Easton Wards 1 & 2,Supreme Court,,125,NP,Annette K. Ziegler,72
Adams,Town Of Easton Wards 1 & 2,Supreme Court,,125,,Scattering,0
Adams,Town Of Jackson,Supreme Court,,140,NP,Linda M. Clifford,48
Adams,Town Of Jackson,Supreme Court,,140,NP,Annette K. Ziegler,92
Adams,Town Of Jackson,Supreme Court,,140,,Scattering,0
Adams,Town Of Leola,Supreme Court,,66,NP,Linda M. Clifford,29
Adams,Town Of Leola,Supreme Court,,66,NP,Annette K. Ziegler,37
Adams,Town Of Leola,Supreme Court,,66,,Scattering,0
Adams,Town Of Lincoln,Supreme Court,,41,NP,Linda M. Clifford,13
Adams,Town Of Lincoln,Supreme Court,,41,NP,Annette K. Ziegler,28
Adams,Town Of Lincoln,Supreme Court,,41,,Scattering,0
Adams,Town Of Monroe,Supreme Court,,107,NP,Linda M. Clifford,41
Adams,Town Of Monroe,Supreme Court,,107,NP,Annette K. Ziegler,66
Adams,Town Of Monroe,Supreme Court,,107,,Scattering,0
Adams,Town Of New Chester Wards 1 & 2,Supreme Court,,143,NP,Linda M. Clifford,66
Adams,Town Of New Chester Wards 1 & 2,Supreme Court,,143,NP,Annette K. Ziegler,77
Adams,Town Of New Chester Wards 1 & 2,Supreme Court,,143,,Scattering,0
Adams,Town Of New Haven,Supreme Court,,240,NP,Linda M. Clifford,102
Adams,Town Of New Haven,Supreme Court,,240,NP,Annette K. Ziegler,138
Adams,Town Of New Haven,Supreme Court,,240,,Scattering,0
Adams,Town Of Preston Wards 1 - 3,Supreme Court,,138,NP,Linda M. Clifford,55
Adams,Town Of Preston Wards 1 - 3,Supreme Court,,138,NP,Annette K. Ziegler,82
Adams,Town Of Preston Wards 1 - 3,Supreme Court,,138,,Scattering,1
Adams,Town Of Quincy Wards 1 & 2,Supreme Court,,130,NP,Linda M. Clifford,69
Adams,Town Of Quincy Wards 1 & 2,Supreme Court,,130,NP,Annette K. Ziegler,61
Adams,Town Of Quincy Wards 1 & 2,Supreme Court,,130,,Scattering,0
Adams,Town Of Richfield,Supreme Court,,24,NP,Linda M. Clifford,10
Adams,Town Of Richfield,Supreme Court,,24,NP,Annette K. Ziegler,14
Adams,Town Of Richfield,Supreme Court,,24,,Scattering,0
Adams,Town Of Rome Wards 1 - 5,Supreme Court,,1053,NP,Linda M. Clifford,408
Adams,Town Of Rome Wards 1 - 5,Supreme Court,,1053,NP,Annette K. Ziegler,642
Adams,Town Of Rome Wards 1 - 5,Supreme Court,,1053,,Scattering,3
Adams,Town Of Springville Wards 1 & 2,Supreme Court,,126,NP,Linda M. Clifford,52
Adams,Town Of Springville Wards 1 & 2,Supreme Court,,126,NP,Annette K. Ziegler,74
Adams,Town Of Springville Wards 1 & 2,Supreme Court,,126,,Scattering,0
Adams,Town Of Strongs Prairie Wards 1 & 2,Supreme Court,,243,NP,Linda M. Clifford,94
Adams,Town Of Strongs Prairie Wards 1 & 2,Supreme Court,,243,NP,Annette K. Ziegler,149
Adams,Town Of Strongs Prairie Wards 1 & 2,Supreme Court,,243,,Scattering,0
Adams,Village Of Friendship,Supreme Court,,108,NP,Linda M. Clifford,49
Adams,Village Of Friendship,Supreme Court,,108,NP,Annette K. Ziegler,58
Adams,Village Of Friendship,Supreme Court,,108,,Scattering,1
Adams,City Of Adams Wards 1 - 5,Supreme Court,,309,NP,Linda M. Clifford,123
Adams,City Of Adams Wards 1 - 5,Supreme Court,,309,NP,Annette K. Ziegler,185
Adams,City Of Adams Wards 1 - 5,Supreme Court,,309,,Scattering,1
Adams,City Of Wisconsin Dells Ward 5,Supreme Court,,3,NP,Linda M. Clifford,0
Adams,City Of Wisconsin Dells Ward 5,Supreme Court,,3,NP,Annette K. Ziegler,3
Adams,City Of Wisconsin Dells Ward 5,Supreme Court,,3,,Scattering,0
Ashland,Town Of Agenda,Supreme Court,,68,NP,Linda M. Clifford,34
Ashland,Town Of Agenda,Supreme Court,,68,NP,Annette K. Ziegler,34
Ashland,Town Of Agenda,Supreme Court,,68,,Scattering,0
Ashland,Town Of Ashland,Supreme Court,,50,NP,Linda M. Clifford,31
Ashland,Town Of Ashland,Supreme Court,,50,NP,Annette K. Ziegler,19
Ashland,Town Of Ashland,Supreme Court,,50,,Scattering,0
Ashland,Town Of Chippewa,Supreme Court,,58,NP,Linda M. Clifford,27
Ashland,Town Of Chippewa,Supreme Court,,58,NP,Annette K. Ziegler,31
Ashland,Town Of Chippewa,Supreme Court,,58,,Scattering,0
Ashland,Town Of Gingles Wards 1 & 2,Supreme Court,,247,NP,Linda M. Clifford,127
Ashland,Town Of Gingles Wards 1 & 2,Supreme Court,,247,NP,Annette K. Ziegler,120
Ashland,Town Of Gingles Wards 1 & 2,Supreme Court,,247,,Scattering,0
Ashland,Town Of Gordon,Supreme Court,,132,NP,Linda M. Clifford,64
