county,ward,office,district,totalvotes,party,candidate,votes
Adams,Town Of Adams Wards 1 & 2,Governor,,190,DEM,Tim John,52
Adams,Town Of Adams Wards 1 & 2,Governor,,190,DEM,Tom Barrett,137
Adams,Town Of Adams Wards 1 & 2,Governor,,190,DEM,Scattering,1
Adams,Town Of Big Flats Ward 1,Governor,,150,DEM,Tim John,49
Adams,Town Of Big Flats Ward 1,Governor,,150,DEM,Tom Barrett,101
Adams,Town Of Big Flats Ward 1,Governor,,150,DEM,Scattering,0
Adams,Town Of Colburn Ward 1,Governor,,22,DEM,Tim John,5
Adams,Town Of Colburn Ward 1,Governor,,22,DEM,Tom Barrett,17
Adams,Town Of Colburn Ward 1,Governor,,22,DEM,Scattering,0
Adams,Town Of Dell Prairie Wards 1 & 2,Governor,,90,DEM,Tim John,9
Adams,Town Of Dell Prairie Wards 1 & 2,Governor,,90,DEM,Tom Barrett,81
Adams,Town Of Dell Prairie Wards 1 & 2,Governor,,90,DEM,Scattering,0
Adams,Town Of Easton Wards 1 & 2,Governor,,107,DEM,Tim John,26
Adams,Town Of Easton Wards 1 & 2,Governor,,107,DEM,Tom Barrett,81
Adams,Town Of Easton Wards 1 & 2,Governor,,107,DEM,Scattering,0
Adams,Town Of Jackson Ward 1,Governor,,66,DEM,Tim John,14
Adams,Town Of Jackson Ward 1,Governor,,66,DEM,Tom Barrett,52
Adams,Town Of Jackson Ward 1,Governor,,66,DEM,Scattering,0
Adams,Town Of Leola Ward 1,Governor,,12,DEM,Tim John,2
Adams,Town Of Leola Ward 1,Governor,,12,DEM,Tom Barrett,10
Adams,Town Of Leola Ward 1,Governor,,12,DEM,Scattering,0
Adams,Town Of Lincoln Ward 1,Governor,,47,DEM,Tim John,12
Adams,Town Of Lincoln Ward 1,Governor,,47,DEM,Tom Barrett,35
Adams,Town Of Lincoln Ward 1,Governor,,47,DEM,Scattering,0
Adams,Town Of Monroe Ward 1,Governor,,90,DEM,Tim John,28
Adams,Town Of Monroe Ward 1,Governor,,90,DEM,Tom Barrett,62
