county,ward,office,district,total votes,party,candidate,votes
Adams,,Governor - Democratic,,2222,DEM,Tim John,533
Adams,,Governor - Democratic,,2222,DEM,Tom Barrett,1688
Adams,,Governor - Democratic,,2222,,Scattering,1
Ashland,,Governor - Democratic,,1630,DEM,Tim John,185
Ashland,,Governor - Democratic,,1630,DEM,Tom Barrett,1442
Ashland,,Governor - Democratic,,1630,,Scattering,3
Barron,,Governor - Democratic,,1290,DEM,Tim John,172
Barron,,Governor - Democratic,,1290,DEM,Tom Barrett,1102
Barron,,Governor - Democratic,,1290,,Scattering,16
Bayfield,,Governor - Democratic,,1916,DEM,Tim John,246
Bayfield,,Governor - Democratic,,1916,DEM,Tom Barrett,1669
Bayfield,,Governor - Democratic,,1916,,Scattering,1
Brown,,Governor - Democratic,,7592,DEM,Tim John,778
Brown,,Governor - Democratic,,7592,DEM,Tom Barrett,6802
Brown,,Governor - Democratic,,7592,,Scattering,12
Buffalo,,Governor - Democratic,,436,DEM,Tim John,70
Buffalo,,Governor - Democratic,,436,DEM,Tom Barrett,366
Buffalo,,Governor - Democratic,,436,,Scattering,0
Burnett,,Governor - Democratic,,759,DEM,Tim John,160
Burnett,,Governor - Democratic,,759,DEM,Tom Barrett,598
Burnett,,Governor - Democratic,,759,,Scattering,1
Calumet,,Governor - Democratic,,1171,DEM,Tim John,127
Calumet,,Governor - Democratic,,1171,DEM,Tom Barrett,1044
Calumet,,Governor - Democratic,,1171,,Scattering,0
Chippewa,,Governor - Democratic,,2257,DEM,Tim John,313
Chippewa,,Governor - Democratic,,2257,DEM,Tom Barrett,1940
Chippewa,,Governor - Democratic,,2257,,Scattering,4
Clark,,Governor - Democratic,,1429,DEM,Tim John,274
Clark,,Governor - Democratic,,1429,DEM,Tom Barrett,1153
Clark,,Governor - Democratic,,1429,,Scattering,2
Columbia,,Governor - Democratic,,1740,DEM,Tim John,141
Columbia,,Governor - Democratic,,1740,DEM,Tom Barrett,1598
Columbia,,Governor - Democratic,,1740,,Scattering,1
Crawford,,Governor - Democratic,,705,DEM,Tim John,100
Crawford,,Governor - Democratic,,705,DEM,Tom Barrett,605
