county,ward,office,district,total votes,party,candidate,votes
Washington,Town Of Polk Ward 1-6,State Assembly,58,318,REP,Rick Gundrum,217
Washington,Town Of Polk Ward 1-6,State Assembly,58,318,DEM,Dennis D. Degenhardt,101
Washington,Town Of Polk Ward 1-6,State Assembly,58,318,,Scattering,0
Washington,"Town Of Trenton Wards 1-2,8",State Assembly,58,66,REP,Rick Gundrum,46
Washington,"Town Of Trenton Wards 1-2,8",State Assembly,58,66,DEM,Dennis D. Degenhardt,20
Washington,"Town Of Trenton Wards 1-2,8",State Assembly,58,66,,Scattering,0
Washington,Town Of West Bend Wards 1-8,State Assembly,58,444,REP,Rick Gundrum,260
Washington,Town Of West Bend Wards 1-8,State Assembly,58,444,DEM,Dennis D. Degenhardt,184
Washington,Town Of West Bend Wards 1-8,State Assembly,58,444,,Scattering,0
Washington,Village Of Jackson Wards 1-9,State Assembly,58,337,REP,Rick Gundrum,209
Washington,Village Of Jackson Wards 1-9,State Assembly,58,337,DEM,Dennis D. Degenhardt,128
Washington,Village Of Jackson Wards 1-9,State Assembly,58,337,,Scattering,0
Washington,Village Of Richfield Ward 4,State Assembly,58,111,REP,Rick Gundrum,84
Washington,Village Of Richfield Ward 4,State Assembly,58,111,DEM,Dennis D. Degenhardt,27
Washington,Village Of Richfield Ward 4,State Assembly,58,111,,Scattering,0
Washington,Village Of Richfield Wards 5-6,State Assembly,58,192,REP,Rick Gundrum,150
Washington,Village Of Richfield Wards 5-6,State Assembly,58,192,DEM,Dennis D. Degenhardt,42
Washington,Village Of Richfield Wards 5-6,State Assembly,58,192,,Scattering,0
Washington,Village Of Slinger Wards 1-9,State Assembly,58,314,REP,Rick Gundrum,217
Washington,Village Of Slinger Wards 1-9,State Assembly,58,314,DEM,Dennis D. Degenhardt,97
Washington,Village Of Slinger Wards 1-9,State Assembly,58,314,,Scattering,0
Washington,City Of West Bend Wards 1-3,State Assembly,58,310,REP,Rick Gundrum,155
Washington,City Of West Bend Wards 1-3,State Assembly,58,310,DEM,Dennis D. Degenhardt,155
Washington,City Of West Bend Wards 1-3,State Assembly,58,310,,Scattering,0
Washington,City Of West Bend Wards 4-6,State Assembly,58,409,REP,Rick Gundrum,167
Washington,City Of West Bend Wards 4-6,State Assembly,58,409,DEM,Dennis D. Degenhardt,242
Washington,City Of West Bend Wards 4-6,State Assembly,58,409,,Scattering,0
Washington,City Of West Bend Wards 7-8,State Assembly,58,439,REP,Rick Gundrum,256
Washington,City Of West Bend Wards 7-8,State Assembly,58,439,DEM,Dennis D. Degenhardt,183
Washington,City Of West Bend Wards 7-8,State Assembly,58,439,,Scattering,0
Washington,"City Of West Bend Wards 9-10,32",State Assembly,58,244,REP,Rick Gundrum,115
Washington,"City Of West Bend Wards 9-10,32",State Assembly,58,244,DEM,Dennis D. Degenhardt,129
Washington,"City Of West Bend Wards 9-10,32",State Assembly,58,244,,Scattering,0
Washington,"City Of West Bend Wards 11-14,28",State Assembly,58,250,REP,Rick Gundrum,111
Washington,"City Of West Bend Wards 11-14,28",State Assembly,58,250,DEM,Dennis D. Degenhardt,139
Washington,"City Of West Bend Wards 11-14,28",State Assembly,58,250,,Scattering,0
Washington,City Of West Bend Wards 15-19,State Assembly,58,273,REP,Rick Gundrum,118
Washington,City Of West Bend Wards 15-19,State Assembly,58,273,DEM,Dennis D. Degenhardt,155
Washington,City Of West Bend Wards 15-19,State Assembly,58,273,,Scattering,0
Washington,City Of West Bend Wards 20-22,State Assembly,58,191,REP,Rick Gundrum,95
Washington,City Of West Bend Wards 20-22,State Assembly,58,191,DEM,Dennis D. Degenhardt,96
Washington,City Of West Bend Wards 20-22,State Assembly,58,191,,Scattering,0
Washington,"City Of West Bend Wards 23-24,26",State Assembly,58,433,REP,Rick Gundrum,253
Washington,"City Of West Bend Wards 23-24,26",State Assembly,58,433,DEM,Dennis D. Degenhardt,180
Washington,"City Of West Bend Wards 23-24,26",State Assembly,58,433,,Scattering,0
Burnett,Town Of Anderson Ward 1,State Senate,10,57,REP,Adam Jarchow,35
Burnett,Town Of Anderson Ward 1,State Senate,10,57,DEM,Patty Schachtner,22
Burnett,Town Of Anderson Ward 1,State Senate,10,57,LIB,Brian J. Corriea,0
Burnett,Town Of Anderson Ward 1,State Senate,10,57,,Scattering,0
Burnett,Town Of Daniels Ward 1,State Senate,10,87,REP,Adam Jarchow,43
Burnett,Town Of Daniels Ward 1,State Senate,10,87,DEM,Patty Schachtner,39
Burnett,Town Of Daniels Ward 1,State Senate,10,87,LIB,Brian J. Corriea,5
Burnett,Town Of Daniels Ward 1,State Senate,10,87,,Scattering,0
Burnett,Town Of Grantsburg Wards 1-3,State Senate,10,151,REP,Adam Jarchow,88
Burnett,Town Of Grantsburg Wards 1-3,State Senate,10,151,DEM,Patty Schachtner,61
Burnett,Town Of Grantsburg Wards 1-3,State Senate,10,151,LIB,Brian J. Corriea,2
Burnett,Town Of Grantsburg Wards 1-3,State Senate,10,151,,Scattering,0
Burnett,Town Of Lincoln Ward 1,State Senate,10,38,REP,Adam Jarchow,20
Burnett,Town Of Lincoln Ward 1,State Senate,10,38,DEM,Patty Schachtner,17
Burnett,Town Of Lincoln Ward 1,State Senate,10,38,LIB,Brian J. Corriea,1
Burnett,Town Of Lincoln Ward 1,State Senate,10,38,,Scattering,0
Burnett,Town Of Meenon Wards 1-3,State Senate,10,91,REP,Adam Jarchow,48
Burnett,Town Of Meenon Wards 1-3,State Senate,10,91,DEM,Patty Schachtner,42
Burnett,Town Of Meenon Wards 1-3,State Senate,10,91,LIB,Brian J. Corriea,1
Burnett,Town Of Meenon Wards 1-3,State Senate,10,91,,Scattering,0
Burnett,Town Of Siren Wards 1-2,State Senate,10,147,REP,Adam Jarchow,87
Burnett,Town Of Siren Wards 1-2,State Senate,10,147,DEM,Patty Schachtner,60
Burnett,Town Of Siren Wards 1-2,State Senate,10,147,LIB,Brian J. Corriea,0
Burnett,Town Of Siren Wards 1-2,State Senate,10,147,,Scattering,0
Burnett,Town Of Trade Lake Wards 1-2,State Senate,10,134,REP,Adam Jarchow,79
