county,ward,office,district,total votes,party,candidate,votes
Columbia,Town Of Arlington Ward 1,State Assembly,42,27,REP,Jon Plumer,21
Columbia,Town Of Arlington Ward 1,State Assembly,42,27,REP,Darren W. Schroeder,3
Columbia,Town Of Arlington Ward 1,State Assembly,42,27,REP,Spencer Zimmerman,0
Columbia,Town Of Arlington Ward 1,State Assembly,42,27,REP,Colleen J. Locke-Murphy,3
Columbia,Town Of Arlington Ward 1,State Assembly,42,27,REP,Scattering,0
Columbia,Town Of Columbus Ward 1,State Assembly,42,73,REP,Jon Plumer,13
Columbia,Town Of Columbus Ward 1,State Assembly,42,73,REP,Darren W. Schroeder,58
Columbia,Town Of Columbus Ward 1,State Assembly,42,73,REP,Spencer Zimmerman,2
Columbia,Town Of Columbus Ward 1,State Assembly,42,73,REP,Colleen J. Locke-Murphy,0
Columbia,Town Of Columbus Ward 1,State Assembly,42,73,REP,Scattering,0
Columbia,Town Of Courtland Ward 1,State Assembly,42,33,REP,Jon Plumer,19
Columbia,Town Of Courtland Ward 1,State Assembly,42,33,REP,Darren W. Schroeder,10
Columbia,Town Of Courtland Ward 1,State Assembly,42,33,REP,Spencer Zimmerman,3
Columbia,Town Of Courtland Ward 1,State Assembly,42,33,REP,Colleen J. Locke-Murphy,1
Columbia,Town Of Courtland Ward 1,State Assembly,42,33,REP,Scattering,0
Columbia,Town Of Dekorra Wards 1-3,State Assembly,42,96,REP,Jon Plumer,66
Columbia,Town Of Dekorra Wards 1-3,State Assembly,42,96,REP,Darren W. Schroeder,7
Columbia,Town Of Dekorra Wards 1-3,State Assembly,42,96,REP,Spencer Zimmerman,6
Columbia,Town Of Dekorra Wards 1-3,State Assembly,42,96,REP,Colleen J. Locke-Murphy,17
Columbia,Town Of Dekorra Wards 1-3,State Assembly,42,96,REP,Scattering,0
Columbia,Town Of Fort Winnebago Ward 1,State Assembly,42,23,REP,Jon Plumer,14
Columbia,Town Of Fort Winnebago Ward 1,State Assembly,42,23,REP,Darren W. Schroeder,8
Columbia,Town Of Fort Winnebago Ward 1,State Assembly,42,23,REP,Spencer Zimmerman,0
Columbia,Town Of Fort Winnebago Ward 1,State Assembly,42,23,REP,Colleen J. Locke-Murphy,1
Columbia,Town Of Fort Winnebago Ward 1,State Assembly,42,23,REP,Scattering,0
Columbia,Town Of Fountain Prairie Wards 1-2,State Assembly,42,31,REP,Jon Plumer,10
Columbia,Town Of Fountain Prairie Wards 1-2,State Assembly,42,31,REP,Darren W. Schroeder,17
Columbia,Town Of Fountain Prairie Wards 1-2,State Assembly,42,31,REP,Spencer Zimmerman,0
Columbia,Town Of Fountain Prairie Wards 1-2,State Assembly,42,31,REP,Colleen J. Locke-Murphy,4
Columbia,Town Of Fountain Prairie Wards 1-2,State Assembly,42,31,REP,Scattering,0
Columbia,Town Of Hampden Ward 1,State Assembly,42,30,REP,Jon Plumer,14
Columbia,Town Of Hampden Ward 1,State Assembly,42,30,REP,Darren W. Schroeder,14
Columbia,Town Of Hampden Ward 1,State Assembly,42,30,REP,Spencer Zimmerman,1
Columbia,Town Of Hampden Ward 1,State Assembly,42,30,REP,Colleen J. Locke-Murphy,1
Columbia,Town Of Hampden Ward 1,State Assembly,42,30,REP,Scattering,0
Columbia,Town Of Leeds Wards 1-2,State Assembly,42,50,REP,Jon Plumer,32
Columbia,Town Of Leeds Wards 1-2,State Assembly,42,50,REP,Darren W. Schroeder,13
Columbia,Town Of Leeds Wards 1-2,State Assembly,42,50,REP,Spencer Zimmerman,3
Columbia,Town Of Leeds Wards 1-2,State Assembly,42,50,REP,Colleen J. Locke-Murphy,2
Columbia,Town Of Leeds Wards 1-2,State Assembly,42,50,REP,Scattering,0
Columbia,Town Of Lodi Wards 1-5,State Assembly,42,225,REP,Jon Plumer,183
Columbia,Town Of Lodi Wards 1-5,State Assembly,42,225,REP,Darren W. Schroeder,27
Columbia,Town Of Lodi Wards 1-5,State Assembly,42,225,REP,Spencer Zimmerman,5
Columbia,Town Of Lodi Wards 1-5,State Assembly,42,225,REP,Colleen J. Locke-Murphy,10
Columbia,Town Of Lodi Wards 1-5,State Assembly,42,225,REP,Scattering,0
Columbia,Town Of Lowville Wards 1-2,State Assembly,42,41,REP,Jon Plumer,26
Columbia,Town Of Lowville Wards 1-2,State Assembly,42,41,REP,Darren W. Schroeder,10
Columbia,Town Of Lowville Wards 1-2,State Assembly,42,41,REP,Spencer Zimmerman,3
Columbia,Town Of Lowville Wards 1-2,State Assembly,42,41,REP,Colleen J. Locke-Murphy,2
Columbia,Town Of Lowville Wards 1-2,State Assembly,42,41,REP,Scattering,0
Columbia,Town Of Marcellon Wards 1-2,State Assembly,42,42,REP,Jon Plumer,30
Columbia,Town Of Marcellon Wards 1-2,State Assembly,42,42,REP,Darren W. Schroeder,4
Columbia,Town Of Marcellon Wards 1-2,State Assembly,42,42,REP,Spencer Zimmerman,2
Columbia,Town Of Marcellon Wards 1-2,State Assembly,42,42,REP,Colleen J. Locke-Murphy,6
Columbia,Town Of Marcellon Wards 1-2,State Assembly,42,42,REP,Scattering,0
Columbia,Town Of Otsego Ward 1,State Assembly,42,24,REP,Jon Plumer,11
Columbia,Town Of Otsego Ward 1,State Assembly,42,24,REP,Darren W. Schroeder,12
Columbia,Town Of Otsego Ward 1,State Assembly,42,24,REP,Spencer Zimmerman,0
Columbia,Town Of Otsego Ward 1,State Assembly,42,24,REP,Colleen J. Locke-Murphy,1
Columbia,Town Of Otsego Ward 1,State Assembly,42,24,REP,Scattering,0
Columbia,Town Of Pacific Wards 1-4,State Assembly,42,99,REP,Jon Plumer,79
Columbia,Town Of Pacific Wards 1-4,State Assembly,42,99,REP,Darren W. Schroeder,2
Columbia,Town Of Pacific Wards 1-4,State Assembly,42,99,REP,Spencer Zimmerman,8
Columbia,Town Of Pacific Wards 1-4,State Assembly,42,99,REP,Colleen J. Locke-Murphy,10
Columbia,Town Of Pacific Wards 1-4,State Assembly,42,99,REP,Scattering,0
Columbia,Town Of Randolph Ward 1,State Assembly,42,25,REP,Jon Plumer,18
Columbia,Town Of Randolph Ward 1,State Assembly,42,25,REP,Darren W. Schroeder,4
Columbia,Town Of Randolph Ward 1,State Assembly,42,25,REP,Spencer Zimmerman,1
Columbia,Town Of Randolph Ward 1,State Assembly,42,25,REP,Colleen J. Locke-Murphy,2
Columbia,Town Of Randolph Ward 1,State Assembly,42,25,REP,Scattering,0
Columbia,Town Of Scott Ward 1,State Assembly,42,21,REP,Jon Plumer,18
Columbia,Town Of Scott Ward 1,State Assembly,42,21,REP,Darren W. Schroeder,3
Columbia,Town Of Scott Ward 1,State Assembly,42,21,REP,Spencer Zimmerman,0
Columbia,Town Of Scott Ward 1,State Assembly,42,21,REP,Colleen J. Locke-Murphy,0
Columbia,Town Of Scott Ward 1,State Assembly,42,21,REP,Scattering,0
Columbia,Town Of Springvale Wards 1-2,State Assembly,42,21,REP,Jon Plumer,11
Columbia,Town Of Springvale Wards 1-2,State Assembly,42,21,REP,Darren W. Schroeder,7
Columbia,Town Of Springvale Wards 1-2,State Assembly,42,21,REP,Spencer Zimmerman,2
Columbia,Town Of Springvale Wards 1-2,State Assembly,42,21,REP,Colleen J. Locke-Murphy,1
Columbia,Town Of Springvale Wards 1-2,State Assembly,42,21,REP,Scattering,0
Columbia,Town Of Wyocena Wards 1-2,State Assembly,42,57,REP,Jon Plumer,36
Columbia,Town Of Wyocena Wards 1-2,State Assembly,42,57,REP,Darren W. Schroeder,15
Columbia,Town Of Wyocena Wards 1-2,State Assembly,42,57,REP,Spencer Zimmerman,3
Columbia,Town Of Wyocena Wards 1-2,State Assembly,42,57,REP,Colleen J. Locke-Murphy,3
Columbia,Town Of Wyocena Wards 1-2,State Assembly,42,57,REP,Scattering,0
Columbia,Village Of Arlington Ward 1,State Assembly,42,41,REP,Jon Plumer,30
Columbia,Village Of Arlington Ward 1,State Assembly,42,41,REP,Darren W. Schroeder,4
Columbia,Village Of Arlington Ward 1,State Assembly,42,41,REP,Spencer Zimmerman,3
Columbia,Village Of Arlington Ward 1,State Assembly,42,41,REP,Colleen J. Locke-Murphy,4
Columbia,Village Of Arlington Ward 1,State Assembly,42,41,REP,Scattering,0
Columbia,Village Of Cambria Ward 1,State Assembly,42,26,REP,Jon Plumer,19
Columbia,Village Of Cambria Ward 1,State Assembly,42,26,REP,Darren W. Schroeder,4
Columbia,Village Of Cambria Ward 1,State Assembly,42,26,REP,Spencer Zimmerman,2
Columbia,Village Of Cambria Ward 1,State Assembly,42,26,REP,Colleen J. Locke-Murphy,1
Columbia,Village Of Cambria Ward 1,State Assembly,42,26,REP,Scattering,0
Columbia,Village Of Doylestown Ward 1,State Assembly,42,7,REP,Jon Plumer,3
Columbia,Village Of Doylestown Ward 1,State Assembly,42,7,REP,Darren W. Schroeder,2
Columbia,Village Of Doylestown Ward 1,State Assembly,42,7,REP,Spencer Zimmerman,0
Columbia,Village Of Doylestown Ward 1,State Assembly,42,7,REP,Colleen J. Locke-Murphy,2
Columbia,Village Of Doylestown Ward 1,State Assembly,42,7,REP,Scattering,0
Columbia,Village Of Fall River Wards 1-2,State Assembly,42,35,REP,Jon Plumer,20
Columbia,Village Of Fall River Wards 1-2,State Assembly,42,35,REP,Darren W. Schroeder,5
Columbia,Village Of Fall River Wards 1-2,State Assembly,42,35,REP,Spencer Zimmerman,4
Columbia,Village Of Fall River Wards 1-2,State Assembly,42,35,REP,Colleen J. Locke-Murphy,6
Columbia,Village Of Fall River Wards 1-2,State Assembly,42,35,REP,Scattering,0
Columbia,Village Of Friesland Ward 1,State Assembly,42,31,REP,Jon Plumer,28
Columbia,Village Of Friesland Ward 1,State Assembly,42,31,REP,Darren W. Schroeder,0
Columbia,Village Of Friesland Ward 1,State Assembly,42,31,REP,Spencer Zimmerman,2
Columbia,Village Of Friesland Ward 1,State Assembly,42,31,REP,Colleen J. Locke-Murphy,1
Columbia,Village Of Friesland Ward 1,State Assembly,42,31,REP,Scattering,0
Columbia,Village Of Pardeeville Ward 1-3,State Assembly,42,68,REP,Jon Plumer,55
Columbia,Village Of Pardeeville Ward 1-3,State Assembly,42,68,REP,Darren W. Schroeder,3
Columbia,Village Of Pardeeville Ward 1-3,State Assembly,42,68,REP,Spencer Zimmerman,3
Columbia,Village Of Pardeeville Ward 1-3,State Assembly,42,68,REP,Colleen J. Locke-Murphy,7
Columbia,Village Of Pardeeville Ward 1-3,State Assembly,42,68,REP,Scattering,0
Columbia,Village Of Poynette Ward 1-4,State Assembly,42,60,REP,Jon Plumer,44
Columbia,Village Of Poynette Ward 1-4,State Assembly,42,60,REP,Darren W. Schroeder,8
Columbia,Village Of Poynette Ward 1-4,State Assembly,42,60,REP,Spencer Zimmerman,4
Columbia,Village Of Poynette Ward 1-4,State Assembly,42,60,REP,Colleen J. Locke-Murphy,4
Columbia,Village Of Poynette Ward 1-4,State Assembly,42,60,REP,Scattering,0
Columbia,Village Of Randolph Ward 3,State Assembly,42,25,REP,Jon Plumer,17
Columbia,Village Of Randolph Ward 3,State Assembly,42,25,REP,Darren W. Schroeder,5
Columbia,Village Of Randolph Ward 3,State Assembly,42,25,REP,Spencer Zimmerman,3
Columbia,Village Of Randolph Ward 3,State Assembly,42,25,REP,Colleen J. Locke-Murphy,0
Columbia,Village Of Randolph Ward 3,State Assembly,42,25,REP,Scattering,0
Columbia,Village Of Rio Ward 1-2,State Assembly,42,24,REP,Jon Plumer,9
Columbia,Village Of Rio Ward 1-2,State Assembly,42,24,REP,Darren W. Schroeder,8
Columbia,Village Of Rio Ward 1-2,State Assembly,42,24,REP,Spencer Zimmerman,2
Columbia,Village Of Rio Ward 1-2,State Assembly,42,24,REP,Colleen J. Locke-Murphy,5
Columbia,Village Of Rio Ward 1-2,State Assembly,42,24,REP,Scattering,0
Columbia,Village Of Wyocena Ward 1,State Assembly,42,25,REP,Jon Plumer,17
Columbia,Village Of Wyocena Ward 1,State Assembly,42,25,REP,Darren W. Schroeder,4
Columbia,Village Of Wyocena Ward 1,State Assembly,42,25,REP,Spencer Zimmerman,2
Columbia,Village Of Wyocena Ward 1,State Assembly,42,25,REP,Colleen J. Locke-Murphy,2
Columbia,Village Of Wyocena Ward 1,State Assembly,42,25,REP,Scattering,0
Columbia,City Of Columbus Ward 10,State Assembly,42,0,REP,Jon Plumer,0
Columbia,City Of Columbus Ward 10,State Assembly,42,0,REP,Darren W. Schroeder,0
Columbia,City Of Columbus Ward 10,State Assembly,42,0,REP,Spencer Zimmerman,0
Columbia,City Of Columbus Ward 10,State Assembly,42,0,REP,Colleen J. Locke-Murphy,0
Columbia,City Of Columbus Ward 10,State Assembly,42,0,REP,Scattering,0
Columbia,City Of Lodi Wards 1-6,State Assembly,42,127,REP,Jon Plumer,94
Columbia,City Of Lodi Wards 1-6,State Assembly,42,127,REP,Darren W. Schroeder,11
Columbia,City Of Lodi Wards 1-6,State Assembly,42,127,REP,Spencer Zimmerman,10
Columbia,City Of Lodi Wards 1-6,State Assembly,42,127,REP,Colleen J. Locke-Murphy,12
Columbia,City Of Lodi Wards 1-6,State Assembly,42,127,REP,Scattering,0
Columbia,City Of Portage Ward 11,State Assembly,42,0,REP,Jon Plumer,0
Columbia,City Of Portage Ward 11,State Assembly,42,0,REP,Darren W. Schroeder,0
Columbia,City Of Portage Ward 11,State Assembly,42,0,REP,Spencer Zimmerman,0
Columbia,City Of Portage Ward 11,State Assembly,42,0,REP,Colleen J. Locke-Murphy,0
Columbia,City Of Portage Ward 11,State Assembly,42,0,REP,Scattering,0
Dane,Town Of Dane Ward 1,State Assembly,42,43,REP,Jon Plumer,38
Dane,Town Of Dane Ward 1,State Assembly,42,43,REP,Darren W. Schroeder,4
