county,ward,office,district,total votes,party,candidate,votes
Chippewa,Town Of Anson Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,167,NP,Robert A. Ferg,41
Chippewa,Town Of Anson Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,167,NP,Steve Gibbs,56
Chippewa,Town Of Anson Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,167,NP,James Isaacson,70
Chippewa,Town Of Anson Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,167,,Scattering,0
Chippewa,Town Of Arthur,"Chippewa County Circuit Court, Branch 2",,79,NP,Robert A. Ferg,15
Chippewa,Town Of Arthur,"Chippewa County Circuit Court, Branch 2",,79,NP,Steve Gibbs,20
Chippewa,Town Of Arthur,"Chippewa County Circuit Court, Branch 2",,79,NP,James Isaacson,44
Chippewa,Town Of Arthur,"Chippewa County Circuit Court, Branch 2",,79,,Scattering,0
Chippewa,Town Of Auburn,"Chippewa County Circuit Court, Branch 2",,34,NP,Robert A. Ferg,10
Chippewa,Town Of Auburn,"Chippewa County Circuit Court, Branch 2",,34,NP,Steve Gibbs,15
Chippewa,Town Of Auburn,"Chippewa County Circuit Court, Branch 2",,34,NP,James Isaacson,9
Chippewa,Town Of Auburn,"Chippewa County Circuit Court, Branch 2",,34,,Scattering,0
Chippewa,Town Of Birch Creek,"Chippewa County Circuit Court, Branch 2",,74,NP,Robert A. Ferg,13
Chippewa,Town Of Birch Creek,"Chippewa County Circuit Court, Branch 2",,74,NP,Steve Gibbs,27
Chippewa,Town Of Birch Creek,"Chippewa County Circuit Court, Branch 2",,74,NP,James Isaacson,34
Chippewa,Town Of Birch Creek,"Chippewa County Circuit Court, Branch 2",,74,,Scattering,0
Chippewa,Town Of Bloomer,"Chippewa County Circuit Court, Branch 2",,38,NP,Robert A. Ferg,9
Chippewa,Town Of Bloomer,"Chippewa County Circuit Court, Branch 2",,38,NP,Steve Gibbs,14
Chippewa,Town Of Bloomer,"Chippewa County Circuit Court, Branch 2",,38,NP,James Isaacson,15
Chippewa,Town Of Bloomer,"Chippewa County Circuit Court, Branch 2",,38,,Scattering,0
Chippewa,Town Of Cleveland,"Chippewa County Circuit Court, Branch 2",,32,NP,Robert A. Ferg,4
Chippewa,Town Of Cleveland,"Chippewa County Circuit Court, Branch 2",,32,NP,Steve Gibbs,9
Chippewa,Town Of Cleveland,"Chippewa County Circuit Court, Branch 2",,32,NP,James Isaacson,19
Chippewa,Town Of Cleveland,"Chippewa County Circuit Court, Branch 2",,32,,Scattering,0
Chippewa,Town Of Colburn,"Chippewa County Circuit Court, Branch 2",,49,NP,Robert A. Ferg,11
Chippewa,Town Of Colburn,"Chippewa County Circuit Court, Branch 2",,49,NP,Steve Gibbs,23
Chippewa,Town Of Colburn,"Chippewa County Circuit Court, Branch 2",,49,NP,James Isaacson,15
Chippewa,Town Of Colburn,"Chippewa County Circuit Court, Branch 2",,49,,Scattering,0
Chippewa,Town Of Cooks Valley,"Chippewa County Circuit Court, Branch 2",,40,NP,Robert A. Ferg,10
Chippewa,Town Of Cooks Valley,"Chippewa County Circuit Court, Branch 2",,40,NP,Steve Gibbs,7
Chippewa,Town Of Cooks Valley,"Chippewa County Circuit Court, Branch 2",,40,NP,James Isaacson,23
Chippewa,Town Of Cooks Valley,"Chippewa County Circuit Court, Branch 2",,40,,Scattering,0
Chippewa,Town Of Delmar,"Chippewa County Circuit Court, Branch 2",,58,NP,Robert A. Ferg,6
Chippewa,Town Of Delmar,"Chippewa County Circuit Court, Branch 2",,58,NP,Steve Gibbs,25
Chippewa,Town Of Delmar,"Chippewa County Circuit Court, Branch 2",,58,NP,James Isaacson,27
Chippewa,Town Of Delmar,"Chippewa County Circuit Court, Branch 2",,58,,Scattering,0
Chippewa,Town Of Eagle Point Wards 1 - 4,"Chippewa County Circuit Court, Branch 2",,245,NP,Robert A. Ferg,73
Chippewa,Town Of Eagle Point Wards 1 - 4,"Chippewa County Circuit Court, Branch 2",,245,NP,Steve Gibbs,85
Chippewa,Town Of Eagle Point Wards 1 - 4,"Chippewa County Circuit Court, Branch 2",,245,NP,James Isaacson,87
Chippewa,Town Of Eagle Point Wards 1 - 4,"Chippewa County Circuit Court, Branch 2",,245,,Scattering,0
Chippewa,Town Of Edson,"Chippewa County Circuit Court, Branch 2",,60,NP,Robert A. Ferg,12
Chippewa,Town Of Edson,"Chippewa County Circuit Court, Branch 2",,60,NP,Steve Gibbs,19
Chippewa,Town Of Edson,"Chippewa County Circuit Court, Branch 2",,60,NP,James Isaacson,29
Chippewa,Town Of Edson,"Chippewa County Circuit Court, Branch 2",,60,,Scattering,0
Chippewa,Town Of Estella,"Chippewa County Circuit Court, Branch 2",,38,NP,Robert A. Ferg,8
Chippewa,Town Of Estella,"Chippewa County Circuit Court, Branch 2",,38,NP,Steve Gibbs,13
Chippewa,Town Of Estella,"Chippewa County Circuit Court, Branch 2",,38,NP,James Isaacson,17
Chippewa,Town Of Estella,"Chippewa County Circuit Court, Branch 2",,38,,Scattering,0
Chippewa,Town Of Goetz Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,118,NP,Robert A. Ferg,6
Chippewa,Town Of Goetz Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,118,NP,Steve Gibbs,31
Chippewa,Town Of Goetz Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,118,NP,James Isaacson,81
Chippewa,Town Of Goetz Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,118,,Scattering,0
Chippewa,Town Of Hallie Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,31,NP,Robert A. Ferg,9
Chippewa,Town Of Hallie Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,31,NP,Steve Gibbs,11
Chippewa,Town Of Hallie Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,31,NP,James Isaacson,11
Chippewa,Town Of Hallie Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,31,,Scattering,0
Chippewa,Town Of Howard,"Chippewa County Circuit Court, Branch 2",,62,NP,Robert A. Ferg,11
Chippewa,Town Of Howard,"Chippewa County Circuit Court, Branch 2",,62,NP,Steve Gibbs,38
Chippewa,Town Of Howard,"Chippewa County Circuit Court, Branch 2",,62,NP,James Isaacson,13
Chippewa,Town Of Howard,"Chippewa County Circuit Court, Branch 2",,62,,Scattering,0
Chippewa,Town Of Lafayette Wards 1 - 7,"Chippewa County Circuit Court, Branch 2",,547,NP,Robert A. Ferg,130
Chippewa,Town Of Lafayette Wards 1 - 7,"Chippewa County Circuit Court, Branch 2",,547,NP,Steve Gibbs,208
Chippewa,Town Of Lafayette Wards 1 - 7,"Chippewa County Circuit Court, Branch 2",,547,NP,James Isaacson,209
Chippewa,Town Of Lafayette Wards 1 - 7,"Chippewa County Circuit Court, Branch 2",,547,,Scattering,0
Chippewa,Town Of Lake Holcombe Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,128,NP,Robert A. Ferg,30
Chippewa,Town Of Lake Holcombe Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,128,NP,Steve Gibbs,49
Chippewa,Town Of Lake Holcombe Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,128,NP,James Isaacson,49
Chippewa,Town Of Lake Holcombe Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,128,,Scattering,0
Chippewa,Town Of Ruby,"Chippewa County Circuit Court, Branch 2",,30,NP,Robert A. Ferg,6
Chippewa,Town Of Ruby,"Chippewa County Circuit Court, Branch 2",,30,NP,Steve Gibbs,14
Chippewa,Town Of Ruby,"Chippewa County Circuit Court, Branch 2",,30,NP,James Isaacson,10
Chippewa,Town Of Ruby,"Chippewa County Circuit Court, Branch 2",,30,,Scattering,0
Chippewa,Town Of Sampson,"Chippewa County Circuit Court, Branch 2",,42,NP,Robert A. Ferg,15
Chippewa,Town Of Sampson,"Chippewa County Circuit Court, Branch 2",,42,NP,Steve Gibbs,19
Chippewa,Town Of Sampson,"Chippewa County Circuit Court, Branch 2",,42,NP,James Isaacson,8
Chippewa,Town Of Sampson,"Chippewa County Circuit Court, Branch 2",,42,,Scattering,0
Chippewa,Town Of Sigel Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,120,NP,Robert A. Ferg,13
Chippewa,Town Of Sigel Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,120,NP,Steve Gibbs,48
Chippewa,Town Of Sigel Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,120,NP,James Isaacson,59
Chippewa,Town Of Sigel Wards 1 & 2,"Chippewa County Circuit Court, Branch 2",,120,,Scattering,0
Chippewa,Town Of Tilden Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,102,NP,Robert A. Ferg,32
Chippewa,Town Of Tilden Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,102,NP,Steve Gibbs,22
Chippewa,Town Of Tilden Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,102,NP,James Isaacson,48
Chippewa,Town Of Tilden Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,102,,Scattering,0
Chippewa,Town Of Wheaton Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,141,NP,Robert A. Ferg,20
Chippewa,Town Of Wheaton Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,141,NP,Steve Gibbs,75
Chippewa,Town Of Wheaton Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,141,NP,James Isaacson,46
Chippewa,Town Of Wheaton Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,141,,Scattering,0
Chippewa,Town Of Woodmohr Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,49,NP,Robert A. Ferg,12
Chippewa,Town Of Woodmohr Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,49,NP,Steve Gibbs,17
Chippewa,Town Of Woodmohr Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,49,NP,James Isaacson,20
Chippewa,Town Of Woodmohr Wards 1 - 3,"Chippewa County Circuit Court, Branch 2",,49,,Scattering,0
