county,ward,office,district,total votes,party,candidate,votes
Milwaukee,Village Of Bayside Wards 1 & 4,Court Of Appeals,1,148,NP,Kitty K. Brennan,147
Milwaukee,Village Of Bayside Wards 1 & 4,Court Of Appeals,1,148,,Scattering,1
Milwaukee,Village Of Bayside Wards 2 & 5,Court Of Appeals,1,230,NP,Kitty K. Brennan,229
Milwaukee,Village Of Bayside Wards 2 & 5,Court Of Appeals,1,230,,Scattering,1
Milwaukee,Village Of Bayside Wards 3 & 7,Court Of Appeals,1,188,NP,Kitty K. Brennan,188
Milwaukee,Village Of Bayside Wards 3 & 7,Court Of Appeals,1,188,,Scattering,0
Milwaukee,Village Of Brown Deer Wards 1 - 3,Court Of Appeals,1,418,NP,Kitty K. Brennan,418
Milwaukee,Village Of Brown Deer Wards 1 - 3,Court Of Appeals,1,418,,Scattering,0
Milwaukee,"Village Of Brown Deer Wards 4, 5 & 7",Court Of Appeals,1,334,NP,Kitty K. Brennan,329
Milwaukee,"Village Of Brown Deer Wards 4, 5 & 7",Court Of Appeals,1,334,,Scattering,5
Milwaukee,"Village Of Brown Deer Wards 6, 8 & 9",Court Of Appeals,1,287,NP,Kitty K. Brennan,287
Milwaukee,"Village Of Brown Deer Wards 6, 8 & 9",Court Of Appeals,1,287,,Scattering,0
Milwaukee,Village Of Fox Point Wards 1 - 4,Court Of Appeals,1,362,NP,Kitty K. Brennan,361
Milwaukee,Village Of Fox Point Wards 1 - 4,Court Of Appeals,1,362,,Scattering,1
Milwaukee,Village Of Fox Point Wards 5 - 9,Court Of Appeals,1,503,NP,Kitty K. Brennan,502
Milwaukee,Village Of Fox Point Wards 5 - 9,Court Of Appeals,1,503,,Scattering,1
Milwaukee,Village Of Greendale Wards 1 & 2,Court Of Appeals,1,327,NP,Kitty K. Brennan,326
Milwaukee,Village Of Greendale Wards 1 & 2,Court Of Appeals,1,327,,Scattering,1
Milwaukee,Village Of Greendale Wards 3 & 4,Court Of Appeals,1,343,NP,Kitty K. Brennan,341
Milwaukee,Village Of Greendale Wards 3 & 4,Court Of Appeals,1,343,,Scattering,2
Milwaukee,Village Of Greendale Wards 5 & 6,Court Of Appeals,1,309,NP,Kitty K. Brennan,307
Milwaukee,Village Of Greendale Wards 5 & 6,Court Of Appeals,1,309,,Scattering,2
Milwaukee,Village Of Greendale Wards 7 & 8,Court Of Appeals,1,332,NP,Kitty K. Brennan,330
Milwaukee,Village Of Greendale Wards 7 & 8,Court Of Appeals,1,332,,Scattering,2
Milwaukee,Village Of Greendale Wards 9 & 10,Court Of Appeals,1,380,NP,Kitty K. Brennan,378
Milwaukee,Village Of Greendale Wards 9 & 10,Court Of Appeals,1,380,,Scattering,2
Milwaukee,Village Of Hales Corners Wards 1 - 3,Court Of Appeals,1,237,NP,Kitty K. Brennan,236
Milwaukee,Village Of Hales Corners Wards 1 - 3,Court Of Appeals,1,237,,Scattering,1
Milwaukee,Village Of Hales Corners Wards 4 - 6,Court Of Appeals,1,193,NP,Kitty K. Brennan,190
Milwaukee,Village Of Hales Corners Wards 4 - 6,Court Of Appeals,1,193,,Scattering,3
Milwaukee,Village Of Hales Corners Wards 7 - 9,Court Of Appeals,1,236,NP,Kitty K. Brennan,235
Milwaukee,Village Of Hales Corners Wards 7 - 9,Court Of Appeals,1,236,,Scattering,1
Milwaukee,Village Of River Hills Ward 1,Court Of Appeals,1,39,NP,Kitty K. Brennan,39
Milwaukee,Village Of River Hills Ward 1,Court Of Appeals,1,39,,Scattering,0
Milwaukee,Village Of River Hills Wards 2 & 3,Court Of Appeals,1,304,NP,Kitty K. Brennan,303
Milwaukee,Village Of River Hills Wards 2 & 3,Court Of Appeals,1,304,,Scattering,1
Milwaukee,Village Of Shorewood Wards 1 - 4,Court Of Appeals,1,514,NP,Kitty K. Brennan,510
Milwaukee,Village Of Shorewood Wards 1 - 4,Court Of Appeals,1,514,,Scattering,4
Milwaukee,Village Of Shorewood Wards 5 - 8,Court Of Appeals,1,437,NP,Kitty K. Brennan,435
Milwaukee,Village Of Shorewood Wards 5 - 8,Court Of Appeals,1,437,,Scattering,2
Milwaukee,Village Of Shorewood Wards 9 - 12,Court Of Appeals,1,361,NP,Kitty K. Brennan,358
Milwaukee,Village Of Shorewood Wards 9 - 12,Court Of Appeals,1,361,,Scattering,3
Milwaukee,"Village Of West Milwaukee Wards 1, 2 & 5",Court Of Appeals,1,71,NP,Kitty K. Brennan,71
Milwaukee,"Village Of West Milwaukee Wards 1, 2 & 5",Court Of Appeals,1,71,,Scattering,0
Milwaukee,"Village Of West Milwaukee Wards 3, 4 & 6",Court Of Appeals,1,108,NP,Kitty K. Brennan,108
Milwaukee,"Village Of West Milwaukee Wards 3, 4 & 6",Court Of Appeals,1,108,,Scattering,0
Milwaukee,Village Of Whitefish Bay Wards 1 & 2,Court Of Appeals,1,301,NP,Kitty K. Brennan,297
Milwaukee,Village Of Whitefish Bay Wards 1 & 2,Court Of Appeals,1,301,,Scattering,4
Milwaukee,Village Of Whitefish Bay Wards 3 & 4,Court Of Appeals,1,255,NP,Kitty K. Brennan,251
Milwaukee,Village Of Whitefish Bay Wards 3 & 4,Court Of Appeals,1,255,,Scattering,4
Milwaukee,Village Of Whitefish Bay Wards 5 & 6,Court Of Appeals,1,269,NP,Kitty K. Brennan,268
Milwaukee,Village Of Whitefish Bay Wards 5 & 6,Court Of Appeals,1,269,,Scattering,1
Milwaukee,Village Of Whitefish Bay Wards 7 & 8,Court Of Appeals,1,271,NP,Kitty K. Brennan,269
Milwaukee,Village Of Whitefish Bay Wards 7 & 8,Court Of Appeals,1,271,,Scattering,2
Milwaukee,Village Of Whitefish Bay Ward 9,Court Of Appeals,1,123,NP,Kitty K. Brennan,123
Milwaukee,Village Of Whitefish Bay Ward 9,Court Of Appeals,1,123,,Scattering,0
Milwaukee,Village Of Whitefish Bay Ward 10,Court Of Appeals,1,185,NP,Kitty K. Brennan,184
Milwaukee,Village Of Whitefish Bay Ward 10,Court Of Appeals,1,185,,Scattering,1
Milwaukee,Village Of Whitefish Bay Wards 11 & 12,Court Of Appeals,1,343,NP,Kitty K. Brennan,338
Milwaukee,Village Of Whitefish Bay Wards 11 & 12,Court Of Appeals,1,343,,Scattering,5
Milwaukee,City Of Cudahy Wards 1 - 3,Court Of Appeals,1,306,NP,Kitty K. Brennan,301
Milwaukee,City Of Cudahy Wards 1 - 3,Court Of Appeals,1,306,,Scattering,5
Milwaukee,City Of Cudahy Wards 4 - 6,Court Of Appeals,1,237,NP,Kitty K. Brennan,233
Milwaukee,City Of Cudahy Wards 4 - 6,Court Of Appeals,1,237,,Scattering,4
Milwaukee,City Of Cudahy Wards 7 - 9,Court Of Appeals,1,110,NP,Kitty K. Brennan,109
Milwaukee,City Of Cudahy Wards 7 - 9,Court Of Appeals,1,110,,Scattering,1
Milwaukee,City Of Cudahy Ward 10,Court Of Appeals,1,148,NP,Kitty K. Brennan,148
Milwaukee,City Of Cudahy Ward 10,Court Of Appeals,1,148,,Scattering,0
