county,ward,office,district,total votes,party,candidate,votes
Milwaukee,Village Of Bayside Ward 1 & 3,Court Of Appeals,1,104,NP,Patricia S. Curley,102
Milwaukee,Village Of Bayside Ward 1 & 3,Court Of Appeals,1,104,,Scattering,2
Milwaukee,Village Of Bayside Ward 2 & 4,Court Of Appeals,1,171,NP,Patricia S. Curley,170
Milwaukee,Village Of Bayside Ward 2 & 4,Court Of Appeals,1,171,,Scattering,1
Milwaukee,Village Of Bayside Ward 5,Court Of Appeals,1,86,NP,Patricia S. Curley,86
Milwaukee,Village Of Bayside Ward 5,Court Of Appeals,1,86,,Scattering,0
Milwaukee,Village Of Brown Deer Wards 1 - 2,Court Of Appeals,1,359,NP,Patricia S. Curley,357
Milwaukee,Village Of Brown Deer Wards 1 - 2,Court Of Appeals,1,359,,Scattering,2
Milwaukee,Village Of Brown Deer Wards 3 - 4,Court Of Appeals,1,359,NP,Patricia S. Curley,355
Milwaukee,Village Of Brown Deer Wards 3 - 4,Court Of Appeals,1,359,,Scattering,4
Milwaukee,Village Of Brown Deer Wards 5 - 6,Court Of Appeals,1,281,NP,Patricia S. Curley,279
Milwaukee,Village Of Brown Deer Wards 5 - 6,Court Of Appeals,1,281,,Scattering,2
Milwaukee,Village Of Fox Point Wards 1-4,Court Of Appeals,1,328,NP,Patricia S. Curley,326
Milwaukee,Village Of Fox Point Wards 1-4,Court Of Appeals,1,328,,Scattering,2
Milwaukee,Village Of Fox Point Wards 5-9,Court Of Appeals,1,394,NP,Patricia S. Curley,391
Milwaukee,Village Of Fox Point Wards 5-9,Court Of Appeals,1,394,,Scattering,3
Milwaukee,Village Of Greendale Wards 1-2,Court Of Appeals,1,322,NP,Patricia S. Curley,320
Milwaukee,Village Of Greendale Wards 1-2,Court Of Appeals,1,322,,Scattering,2
Milwaukee,Village Of Greendale Wards 3-4,Court Of Appeals,1,300,NP,Patricia S. Curley,299
Milwaukee,Village Of Greendale Wards 3-4,Court Of Appeals,1,300,,Scattering,1
Milwaukee,Village Of Greendale Wards 5-6,Court Of Appeals,1,306,NP,Patricia S. Curley,305
Milwaukee,Village Of Greendale Wards 5-6,Court Of Appeals,1,306,,Scattering,1
Milwaukee,Village Of Greendale Wards 7-8,Court Of Appeals,1,291,NP,Patricia S. Curley,289
Milwaukee,Village Of Greendale Wards 7-8,Court Of Appeals,1,291,,Scattering,2
Milwaukee,Village Of Greendale Wards 9-10,Court Of Appeals,1,329,NP,Patricia S. Curley,329
Milwaukee,Village Of Greendale Wards 9-10,Court Of Appeals,1,329,,Scattering,0
Milwaukee,Village Of Hales Corners Ward 1-3,Court Of Appeals,1,190,NP,Patricia S. Curley,186
Milwaukee,Village Of Hales Corners Ward 1-3,Court Of Appeals,1,190,,Scattering,4
Milwaukee,Village Of Hales Corners Ward 4-6,Court Of Appeals,1,146,NP,Patricia S. Curley,144
Milwaukee,Village Of Hales Corners Ward 4-6,Court Of Appeals,1,146,,Scattering,2
Milwaukee,Village Of Hales Corners Ward 7-9,Court Of Appeals,1,152,NP,Patricia S. Curley,151
Milwaukee,Village Of Hales Corners Ward 7-9,Court Of Appeals,1,152,,Scattering,1
Milwaukee,Village Of River Hills Ward 1,Court Of Appeals,1,21,NP,Patricia S. Curley,21
Milwaukee,Village Of River Hills Ward 1,Court Of Appeals,1,21,,Scattering,0
Milwaukee,Village Of River Hills Wards 2 - 3,Court Of Appeals,1,99,NP,Patricia S. Curley,98
Milwaukee,Village Of River Hills Wards 2 - 3,Court Of Appeals,1,99,,Scattering,1
Milwaukee,Village Of Shorewood Wards 1 - 4,Court Of Appeals,1,455,NP,Patricia S. Curley,452
Milwaukee,Village Of Shorewood Wards 1 - 4,Court Of Appeals,1,455,,Scattering,3
Milwaukee,Village Of Shorewood Wards 5 - 8,Court Of Appeals,1,384,NP,Patricia S. Curley,379
Milwaukee,Village Of Shorewood Wards 5 - 8,Court Of Appeals,1,384,,Scattering,5
Milwaukee,Village Of Shorewood Wards 9 - 12,Court Of Appeals,1,336,NP,Patricia S. Curley,335
Milwaukee,Village Of Shorewood Wards 9 - 12,Court Of Appeals,1,336,,Scattering,1
Milwaukee,"Village Of West Milwaukee Wards - 1, 2 & 5",Court Of Appeals,1,73,NP,Patricia S. Curley,73
Milwaukee,"Village Of West Milwaukee Wards - 1, 2 & 5",Court Of Appeals,1,73,,Scattering,0
Milwaukee,"Village Of West Milwaukee Wards - 3, 4 & 6",Court Of Appeals,1,91,NP,Patricia S. Curley,91
Milwaukee,"Village Of West Milwaukee Wards - 3, 4 & 6",Court Of Appeals,1,91,,Scattering,0
Milwaukee,Village Of Whitefish Bay Wards 1 - 2,Court Of Appeals,1,315,NP,Patricia S. Curley,312
Milwaukee,Village Of Whitefish Bay Wards 1 - 2,Court Of Appeals,1,315,,Scattering,3
Milwaukee,Village Of Whitefish Bay Wards 3 - 4,Court Of Appeals,1,285,NP,Patricia S. Curley,283
Milwaukee,Village Of Whitefish Bay Wards 3 - 4,Court Of Appeals,1,285,,Scattering,2
Milwaukee,Village Of Whitefish Bay Wards 5 - 6,Court Of Appeals,1,320,NP,Patricia S. Curley,318
Milwaukee,Village Of Whitefish Bay Wards 5 - 6,Court Of Appeals,1,320,,Scattering,2
