BROWN,TOWN OF EATON Wards 1-2,ASSEMBLY,DEMOCRATIC,34,DEM,JOE MAJESKI,34.0
BROWN,TOWN OF EATON Wards 1-2,ASSEMBLY,DEMOCRATIC,34,,SCATTERING,0.0
TOWN OF GREEN BAY Wards 1 - 3,ASSEMBLY,DEMOCRATIC,60,DEM,JOE MAJESKI,60.0
TOWN OF GREEN BAY Wards 1 - 3,ASSEMBLY,DEMOCRATIC,60,,SCATTERING,0.0
TOWN OF HUMBOLDT Wards 1 - 2,ASSEMBLY,DEMOCRATIC,31,DEM,JOE MAJESKI,31.0
TOWN OF HUMBOLDT Wards 1 - 2,ASSEMBLY,DEMOCRATIC,31,,SCATTERING,0.0
TOWN OF SCOTT Wards 1-4,ASSEMBLY,DEMOCRATIC,120,DEM,JOE MAJESKI,120.0
TOWN OF SCOTT Wards 1-4,ASSEMBLY,DEMOCRATIC,120,,SCATTERING,0.0
CITY OF GREEN BAY WARD 1,ASSEMBLY,DEMOCRATIC,0.0,DEM,JOE MAJESKI,0.0
CITY OF GREEN BAY WARD 1,ASSEMBLY,DEMOCRATIC,0.0,,SCATTERING,0.0
DOOR,TOWN OF BAILEYS HARBOR WARDS 1 & 2,ASSEMBLY,DEMOCRATIC,72,DEM,JOE MAJESKI,72.0
DOOR,TOWN OF BAILEYS HARBOR WARDS 1 & 2,ASSEMBLY,DEMOCRATIC,72,,SCATTERING,0.0
TOWN OF BRUSSELS WARDS 1 & 2,ASSEMBLY,DEMOCRATIC,41,DEM,JOE MAJESKI,40.0
TOWN OF BRUSSELS WARDS 1 & 2,ASSEMBLY,DEMOCRATIC,41,,SCATTERING,1.0
TOWN OF CLAY BANKS WARD 1,ASSEMBLY,DEMOCRATIC,24,DEM,JOE MAJESKI,23.0
TOWN OF CLAY BANKS WARD 1,ASSEMBLY,DEMOCRATIC,24,,SCATTERING,1.0
"TOWN OF EGG HARBOR WARDS 1, 2 & 3",ASSEMBLY,DEMOCRATIC,61,DEM,JOE MAJESKI,61.0
"TOWN OF EGG HARBOR WARDS 1, 2 & 3",ASSEMBLY,DEMOCRATIC,61,,SCATTERING,0.0
TOWN OF FORESTVILLE WARDS 1 & 2,ASSEMBLY,DEMOCRATIC,33,DEM,JOE MAJESKI,33.0
TOWN OF FORESTVILLE WARDS 1 & 2,ASSEMBLY,DEMOCRATIC,33,,SCATTERING,0.0
TOWN OF GARDNER WARDS 1 & 2,ASSEMBLY,DEMOCRATIC,30,DEM,JOE MAJESKI,30.0
TOWN OF GARDNER WARDS 1 & 2,ASSEMBLY,DEMOCRATIC,30,,SCATTERING,0.0
TOWN OF GIBRALTAR WARD 1-2,ASSEMBLY,DEMOCRATIC,81,DEM,JOE MAJESKI,81.0
TOWN OF GIBRALTAR WARD 1-2,ASSEMBLY,DEMOCRATIC,81,,SCATTERING,0.0
TOWN OF JACKSONPORT WARDS 1 & 2,ASSEMBLY,DEMOCRATIC,44,DEM,JOE MAJESKI,44.0
TOWN OF JACKSONPORT WARDS 1 & 2,ASSEMBLY,DEMOCRATIC,44,,SCATTERING,0.0
"TOWN OF LIBERTY GROVE WARDS 1, 2 & 3",ASSEMBLY,DEMOCRATIC,112,DEM,JOE MAJESKI,112.0
"TOWN OF LIBERTY GROVE WARDS 1, 2 & 3",ASSEMBLY,DEMOCRATIC,112,,SCATTERING,0.0
"TOWN OF NASEWAUPEE WARDS 1, 2 & 3",ASSEMBLY,DEMOCRATIC,96,DEM,JOE MAJESKI,96.0
"TOWN OF NASEWAUPEE WARDS 1, 2 & 3",ASSEMBLY,DEMOCRATIC,96,,SCATTERING,0.0
"TOWN OF SEVASTOPOL WARDS 1, 2, 3, 4 & 5",ASSEMBLY,DEMOCRATIC,108,DEM,JOE MAJESKI,108.0
"TOWN OF SEVASTOPOL WARDS 1, 2, 3, 4 & 5",ASSEMBLY,DEMOCRATIC,108,,SCATTERING,0.0
TOWN OF STURGEON BAY WARDS 1 & 2,ASSEMBLY,DEMOCRATIC,44,DEM,JOE MAJESKI,43.0
TOWN OF STURGEON BAY WARDS 1 & 2,ASSEMBLY,DEMOCRATIC,44,,SCATTERING,1.0
TOWN OF UNION WARD 1,ASSEMBLY,DEMOCRATIC,27,DEM,JOE MAJESKI,27.0
TOWN OF UNION WARD 1,ASSEMBLY,DEMOCRATIC,27,,SCATTERING,0.0
TOWN OF WASHINGTON WARD 1,ASSEMBLY,DEMOCRATIC,40,DEM,JOE MAJESKI,40.0
TOWN OF WASHINGTON WARD 1,ASSEMBLY,DEMOCRATIC,40,,SCATTERING,0.0
VILLAGE OF EGG HARBOR WARD 1,ASSEMBLY,DEMOCRATIC,34,DEM,JOE MAJESKI,34.0
VILLAGE OF EGG HARBOR WARD 1,ASSEMBLY,DEMOCRATIC,34,,SCATTERING,0.0
VILLAGE OF EPHRAIM WARD 1,ASSEMBLY,DEMOCRATIC,21,DEM,JOE MAJESKI,21.0
VILLAGE OF EPHRAIM WARD 1,ASSEMBLY,DEMOCRATIC,21,,SCATTERING,0.0
VILLAGE OF FORESTVILLE WARD 1,ASSEMBLY,DEMOCRATIC,15,DEM,JOE MAJESKI,15.0
VILLAGE OF FORESTVILLE WARD 1,ASSEMBLY,DEMOCRATIC,15,,SCATTERING,0.0
VILLAGE OF SISTER BAY WARD 1,ASSEMBLY,DEMOCRATIC,55,DEM,JOE MAJESKI,55.0
VILLAGE OF SISTER BAY WARD 1,ASSEMBLY,DEMOCRATIC,55,,SCATTERING,0.0
