county,ward,office,district,totalvotes,party,candidate,votes
Adams,Town Of Adams Wards 1-3,Governor,,500,DEM,Mary Burke & John Lehman,233
Adams,Town Of Adams Wards 1-3,Governor,,500,REP,Scott Walker & Rebecca Kleefisch,258
Adams,Town Of Adams Wards 1-3,Governor,,500,IND,Dennis Fehr & No Candidate,1
Adams,Town Of Adams Wards 1-3,Governor,,500,IND,Robert Burke & Joseph M. Brost,8
Adams,Town Of Adams Wards 1-3,Governor,,500,IND,Mary Jo Walters (Write-In),0
Adams,Town Of Adams Wards 1-3,Governor,,500,REP,Steve R. Evans (Write-In),0
Adams,Town Of Adams Wards 1-3,Governor,,500,CON,Jumoka A. Johnson (Write-In),0
Adams,Town Of Adams Wards 1-3,Governor,,500,IND,Brett D Hulsey (Write-In),0
Adams,Town Of Adams Wards 1-3,Governor,,500,IND,Jessica Nicole Perry (Write-In),0
Adams,Town Of Adams Wards 1-3,Governor,,500,REP,Susan P. Resch (Write-In),0
Adams,Town Of Adams Wards 1-3,Governor,,500,,Scattering,0
Adams,Town Of Big Flats Wards 1 & 2,Governor,,402,DEM,Mary Burke & John Lehman,187
Adams,Town Of Big Flats Wards 1 & 2,Governor,,402,REP,Scott Walker & Rebecca Kleefisch,205
Adams,Town Of Big Flats Wards 1 & 2,Governor,,402,IND,Dennis Fehr & No Candidate,3
Adams,Town Of Big Flats Wards 1 & 2,Governor,,402,IND,Robert Burke & Joseph M. Brost,6
Adams,Town Of Big Flats Wards 1 & 2,Governor,,402,IND,Mary Jo Walters (Write-In),0
Adams,Town Of Big Flats Wards 1 & 2,Governor,,402,REP,Steve R. Evans (Write-In),0
Adams,Town Of Big Flats Wards 1 & 2,Governor,,402,CON,Jumoka A. Johnson (Write-In),0
Adams,Town Of Big Flats Wards 1 & 2,Governor,,402,IND,Brett D Hulsey (Write-In),0
Adams,Town Of Big Flats Wards 1 & 2,Governor,,402,IND,Jessica Nicole Perry (Write-In),0
Adams,Town Of Big Flats Wards 1 & 2,Governor,,402,REP,Susan P. Resch (Write-In),1
Adams,Town Of Big Flats Wards 1 & 2,Governor,,402,,Scattering,0
Adams,Town Of Colburn Ward 1,Governor,,104,DEM,Mary Burke & John Lehman,43
Adams,Town Of Colburn Ward 1,Governor,,104,REP,Scott Walker & Rebecca Kleefisch,59
Adams,Town Of Colburn Ward 1,Governor,,104,IND,Dennis Fehr & No Candidate,1
Adams,Town Of Colburn Ward 1,Governor,,104,IND,Robert Burke & Joseph M. Brost,0
Adams,Town Of Colburn Ward 1,Governor,,104,IND,Mary Jo Walters (Write-In),0
Adams,Town Of Colburn Ward 1,Governor,,104,REP,Steve R. Evans (Write-In),0
Adams,Town Of Colburn Ward 1,Governor,,104,CON,Jumoka A. Johnson (Write-In),0
Adams,Town Of Colburn Ward 1,Governor,,104,IND,Brett D Hulsey (Write-In),0
Adams,Town Of Colburn Ward 1,Governor,,104,IND,Jessica Nicole Perry (Write-In),0
Adams,Town Of Colburn Ward 1,Governor,,104,REP,Susan P. Resch (Write-In),0
Adams,Town Of Colburn Ward 1,Governor,,104,,Scattering,1
Adams,Town Of Dell Prairie Wards 1-3,Governor,,673,DEM,Mary Burke & John Lehman,310
Adams,Town Of Dell Prairie Wards 1-3,Governor,,673,REP,Scott Walker & Rebecca Kleefisch,359
Adams,Town Of Dell Prairie Wards 1-3,Governor,,673,IND,Dennis Fehr & No Candidate,3
Adams,Town Of Dell Prairie Wards 1-3,Governor,,673,IND,Robert Burke & Joseph M. Brost,1
Adams,Town Of Dell Prairie Wards 1-3,Governor,,673,IND,Mary Jo Walters (Write-In),0
Adams,Town Of Dell Prairie Wards 1-3,Governor,,673,REP,Steve R. Evans (Write-In),0
Adams,Town Of Dell Prairie Wards 1-3,Governor,,673,CON,Jumoka A. Johnson (Write-In),0
Adams,Town Of Dell Prairie Wards 1-3,Governor,,673,IND,Brett D Hulsey (Write-In),0
Adams,Town Of Dell Prairie Wards 1-3,Governor,,673,IND,Jessica Nicole Perry (Write-In),0
Adams,Town Of Dell Prairie Wards 1-3,Governor,,673,REP,Susan P. Resch (Write-In),0
Adams,Town Of Dell Prairie Wards 1-3,Governor,,673,,Scattering,0
Adams,Town Of Easton Wards 1 & 2,Governor,,389,DEM,Mary Burke & John Lehman,171
Adams,Town Of Easton Wards 1 & 2,Governor,,389,REP,Scott Walker & Rebecca Kleefisch,209
Adams,Town Of Easton Wards 1 & 2,Governor,,389,IND,Dennis Fehr & No Candidate,0
Adams,Town Of Easton Wards 1 & 2,Governor,,389,IND,Robert Burke & Joseph M. Brost,9
Adams,Town Of Easton Wards 1 & 2,Governor,,389,IND,Mary Jo Walters (Write-In),0
Adams,Town Of Easton Wards 1 & 2,Governor,,389,REP,Steve R. Evans (Write-In),0
Adams,Town Of Easton Wards 1 & 2,Governor,,389,CON,Jumoka A. Johnson (Write-In),0
Adams,Town Of Easton Wards 1 & 2,Governor,,389,IND,Brett D Hulsey (Write-In),0
Adams,Town Of Easton Wards 1 & 2,Governor,,389,IND,Jessica Nicole Perry (Write-In),0
Adams,Town Of Easton Wards 1 & 2,Governor,,389,REP,Susan P. Resch (Write-In),0
Adams,Town Of Easton Wards 1 & 2,Governor,,389,,Scattering,0
Adams,Town Of Jackson Wards 1 & 2,Governor,,462,DEM,Mary Burke & John Lehman,214
Adams,Town Of Jackson Wards 1 & 2,Governor,,462,REP,Scott Walker & Rebecca Kleefisch,241
Adams,Town Of Jackson Wards 1 & 2,Governor,,462,IND,Dennis Fehr & No Candidate,1
Adams,Town Of Jackson Wards 1 & 2,Governor,,462,IND,Robert Burke & Joseph M. Brost,6
Adams,Town Of Jackson Wards 1 & 2,Governor,,462,IND,Mary Jo Walters (Write-In),0
Adams,Town Of Jackson Wards 1 & 2,Governor,,462,REP,Steve R. Evans (Write-In),0
Adams,Town Of Jackson Wards 1 & 2,Governor,,462,CON,Jumoka A. Johnson (Write-In),0
Adams,Town Of Jackson Wards 1 & 2,Governor,,462,IND,Brett D Hulsey (Write-In),0
Adams,Town Of Jackson Wards 1 & 2,Governor,,462,IND,Jessica Nicole Perry (Write-In),0
Adams,Town Of Jackson Wards 1 & 2,Governor,,462,REP,Susan P. Resch (Write-In),0
Adams,Town Of Jackson Wards 1 & 2,Governor,,462,,Scattering,0
Adams,Town Of Leola Ward 1,Governor,,122,DEM,Mary Burke & John Lehman,33
Adams,Town Of Leola Ward 1,Governor,,122,REP,Scott Walker & Rebecca Kleefisch,88
Adams,Town Of Leola Ward 1,Governor,,122,IND,Dennis Fehr & No Candidate,1
Adams,Town Of Leola Ward 1,Governor,,122,IND,Robert Burke & Joseph M. Brost,0
Adams,Town Of Leola Ward 1,Governor,,122,IND,Mary Jo Walters (Write-In),0
Adams,Town Of Leola Ward 1,Governor,,122,REP,Steve R. Evans (Write-In),0
Adams,Town Of Leola Ward 1,Governor,,122,CON,Jumoka A. Johnson (Write-In),0
Adams,Town Of Leola Ward 1,Governor,,122,IND,Brett D Hulsey (Write-In),0
Adams,Town Of Leola Ward 1,Governor,,122,IND,Jessica Nicole Perry (Write-In),0
Adams,Town Of Leola Ward 1,Governor,,122,REP,Susan P. Resch (Write-In),0
Adams,Town Of Leola Ward 1,Governor,,122,,Scattering,0
Adams,Town Of Lincoln Ward 1,Governor,,143,DEM,Mary Burke & John Lehman,72
Adams,Town Of Lincoln Ward 1,Governor,,143,REP,Scott Walker & Rebecca Kleefisch,69
Adams,Town Of Lincoln Ward 1,Governor,,143,IND,Dennis Fehr & No Candidate,2
Adams,Town Of Lincoln Ward 1,Governor,,143,IND,Robert Burke & Joseph M. Brost,0
Adams,Town Of Lincoln Ward 1,Governor,,143,IND,Mary Jo Walters (Write-In),0
Adams,Town Of Lincoln Ward 1,Governor,,143,REP,Steve R. Evans (Write-In),0
Adams,Town Of Lincoln Ward 1,Governor,,143,CON,Jumoka A. Johnson (Write-In),0
Adams,Town Of Lincoln Ward 1,Governor,,143,IND,Brett D Hulsey (Write-In),0
Adams,Town Of Lincoln Ward 1,Governor,,143,IND,Jessica Nicole Perry (Write-In),0
Adams,Town Of Lincoln Ward 1,Governor,,143,REP,Susan P. Resch (Write-In),0
Adams,Town Of Lincoln Ward 1,Governor,,143,,Scattering,0
Adams,Town Of Monroe Ward 1,Governor,,216,DEM,Mary Burke & John Lehman,101
Adams,Town Of Monroe Ward 1,Governor,,216,REP,Scott Walker & Rebecca Kleefisch,114
Adams,Town Of Monroe Ward 1,Governor,,216,IND,Dennis Fehr & No Candidate,1
Adams,Town Of Monroe Ward 1,Governor,,216,IND,Robert Burke & Joseph M. Brost,0
Adams,Town Of Monroe Ward 1,Governor,,216,IND,Mary Jo Walters (Write-In),0
Adams,Town Of Monroe Ward 1,Governor,,216,REP,Steve R. Evans (Write-In),0
Adams,Town Of Monroe Ward 1,Governor,,216,CON,Jumoka A. Johnson (Write-In),0
Adams,Town Of Monroe Ward 1,Governor,,216,IND,Brett D Hulsey (Write-In),0
Adams,Town Of Monroe Ward 1,Governor,,216,IND,Jessica Nicole Perry (Write-In),0
Adams,Town Of Monroe Ward 1,Governor,,216,REP,Susan P. Resch (Write-In),0
Adams,Town Of Monroe Ward 1,Governor,,216,,Scattering,0
Adams,Town Of New Chester Ward 1-3,Governor,,304,DEM,Mary Burke & John Lehman,147
Adams,Town Of New Chester Ward 1-3,Governor,,304,REP,Scott Walker & Rebecca Kleefisch,153
Adams,Town Of New Chester Ward 1-3,Governor,,304,IND,Dennis Fehr & No Candidate,1
Adams,Town Of New Chester Ward 1-3,Governor,,304,IND,Robert Burke & Joseph M. Brost,3
Adams,Town Of New Chester Ward 1-3,Governor,,304,IND,Mary Jo Walters (Write-In),0
Adams,Town Of New Chester Ward 1-3,Governor,,304,REP,Steve R. Evans (Write-In),0
Adams,Town Of New Chester Ward 1-3,Governor,,304,CON,Jumoka A. Johnson (Write-In),0
Adams,Town Of New Chester Ward 1-3,Governor,,304,IND,Brett D Hulsey (Write-In),0
Adams,Town Of New Chester Ward 1-3,Governor,,304,IND,Jessica Nicole Perry (Write-In),0
Adams,Town Of New Chester Ward 1-3,Governor,,304,REP,Susan P. Resch (Write-In),0
Adams,Town Of New Chester Ward 1-3,Governor,,304,,Scattering,0
Adams,Town Of New Haven Ward 1,Governor,,297,DEM,Mary Burke & John Lehman,145
Adams,Town Of New Haven Ward 1,Governor,,297,REP,Scott Walker & Rebecca Kleefisch,143
