county,ward,office,district,total votes,party,candidate,votes
Kenosha,Town Of Somers Ward 2,State Assembly,64,145,DEM,Tip McGuire,64
Kenosha,Town Of Somers Ward 2,State Assembly,64,145,REP,Mark Stalker,81
Kenosha,Town Of Somers Ward 2,State Assembly,64,145,,Scattering,0
Kenosha,"Village Of Somers Wards 5-6,9-10",State Assembly,64,312,DEM,Tip McGuire,206
Kenosha,"Village Of Somers Wards 5-6,9-10",State Assembly,64,312,REP,Mark Stalker,106
Kenosha,"Village Of Somers Wards 5-6,9-10",State Assembly,64,312,,Scattering,0
Kenosha,Village Of Somers Wards 7-8,State Assembly,64,131,DEM,Tip McGuire,74
Kenosha,Village Of Somers Wards 7-8,State Assembly,64,131,REP,Mark Stalker,57
Kenosha,Village Of Somers Wards 7-8,State Assembly,64,131,,Scattering,0
Kenosha,Village Of Somers Ward 12,State Assembly,64,139,DEM,Tip McGuire,67
Kenosha,Village Of Somers Ward 12,State Assembly,64,139,REP,Mark Stalker,72
Kenosha,Village Of Somers Ward 12,State Assembly,64,139,,Scattering,0
Kenosha,City Of Kenosha Ward 1,State Assembly,64,116,DEM,Tip McGuire,84
Kenosha,City Of Kenosha Ward 1,State Assembly,64,116,REP,Mark Stalker,32
Kenosha,City Of Kenosha Ward 1,State Assembly,64,116,,Scattering,0
Kenosha,City Of Kenosha Ward 2,State Assembly,64,135,DEM,Tip McGuire,92
Kenosha,City Of Kenosha Ward 2,State Assembly,64,135,REP,Mark Stalker,42
Kenosha,City Of Kenosha Ward 2,State Assembly,64,135,,Scattering,1
Kenosha,City Of Kenosha Ward 3,State Assembly,64,5,DEM,Tip McGuire,4
Kenosha,City Of Kenosha Ward 3,State Assembly,64,5,REP,Mark Stalker,1
Kenosha,City Of Kenosha Ward 3,State Assembly,64,5,,Scattering,0
Kenosha,City Of Kenosha Ward 4,State Assembly,64,279,DEM,Tip McGuire,216
Kenosha,City Of Kenosha Ward 4,State Assembly,64,279,REP,Mark Stalker,61
Kenosha,City Of Kenosha Ward 4,State Assembly,64,279,,Scattering,2
Kenosha,City Of Kenosha Ward 13,State Assembly,64,273,DEM,Tip McGuire,169
