county,ward,office,district,total votes,party,candidate,votes
Ozaukee,Town Of Belgium Wards 1-3,"Ozaukee County Circuit Court, Branch 2",,84,NP,James Wawrzyn,9
Ozaukee,Town Of Belgium Wards 1-3,"Ozaukee County Circuit Court, Branch 2",,84,NP,Angela C. Foy,26
Ozaukee,Town Of Belgium Wards 1-3,"Ozaukee County Circuit Court, Branch 2",,84,NP,Mark E. Larson,18
Ozaukee,Town Of Belgium Wards 1-3,"Ozaukee County Circuit Court, Branch 2",,84,NP,Steve Cain,31
Ozaukee,Town Of Belgium Wards 1-3,"Ozaukee County Circuit Court, Branch 2",,84,,Scattering,0
Ozaukee,Town Of Cedarburg Wards 1-2,"Ozaukee County Circuit Court, Branch 2",,110,NP,James Wawrzyn,2
Ozaukee,Town Of Cedarburg Wards 1-2,"Ozaukee County Circuit Court, Branch 2",,110,NP,Angela C. Foy,30
Ozaukee,Town Of Cedarburg Wards 1-2,"Ozaukee County Circuit Court, Branch 2",,110,NP,Mark E. Larson,39
Ozaukee,Town Of Cedarburg Wards 1-2,"Ozaukee County Circuit Court, Branch 2",,110,NP,Steve Cain,39
Ozaukee,Town Of Cedarburg Wards 1-2,"Ozaukee County Circuit Court, Branch 2",,110,,Scattering,0
Ozaukee,Town Of Cedarburg Wards 3-4,"Ozaukee County Circuit Court, Branch 2",,169,NP,James Wawrzyn,6
Ozaukee,Town Of Cedarburg Wards 3-4,"Ozaukee County Circuit Court, Branch 2",,169,NP,Angela C. Foy,21
Ozaukee,Town Of Cedarburg Wards 3-4,"Ozaukee County Circuit Court, Branch 2",,169,NP,Mark E. Larson,66
Ozaukee,Town Of Cedarburg Wards 3-4,"Ozaukee County Circuit Court, Branch 2",,169,NP,Steve Cain,76
Ozaukee,Town Of Cedarburg Wards 3-4,"Ozaukee County Circuit Court, Branch 2",,169,,Scattering,0
Ozaukee,"Town Of Cedarburg Wards 5-6,10","Ozaukee County Circuit Court, Branch 2",,184,NP,James Wawrzyn,8
Ozaukee,"Town Of Cedarburg Wards 5-6,10","Ozaukee County Circuit Court, Branch 2",,184,NP,Angela C. Foy,57
Ozaukee,"Town Of Cedarburg Wards 5-6,10","Ozaukee County Circuit Court, Branch 2",,184,NP,Mark E. Larson,44
Ozaukee,"Town Of Cedarburg Wards 5-6,10","Ozaukee County Circuit Court, Branch 2",,184,NP,Steve Cain,74
Ozaukee,"Town Of Cedarburg Wards 5-6,10","Ozaukee County Circuit Court, Branch 2",,184,,Scattering,1
Ozaukee,Town Of Cedarburg Wards 7-9,"Ozaukee County Circuit Court, Branch 2",,183,NP,James Wawrzyn,14
Ozaukee,Town Of Cedarburg Wards 7-9,"Ozaukee County Circuit Court, Branch 2",,183,NP,Angela C. Foy,50
Ozaukee,Town Of Cedarburg Wards 7-9,"Ozaukee County Circuit Court, Branch 2",,183,NP,Mark E. Larson,69
Ozaukee,Town Of Cedarburg Wards 7-9,"Ozaukee County Circuit Court, Branch 2",,183,NP,Steve Cain,50
Ozaukee,Town Of Cedarburg Wards 7-9,"Ozaukee County Circuit Court, Branch 2",,183,,Scattering,0
Ozaukee,Town Of Fredonia Wards 1-4,"Ozaukee County Circuit Court, Branch 2",,150,NP,James Wawrzyn,22
Ozaukee,Town Of Fredonia Wards 1-4,"Ozaukee County Circuit Court, Branch 2",,150,NP,Angela C. Foy,27
Ozaukee,Town Of Fredonia Wards 1-4,"Ozaukee County Circuit Court, Branch 2",,150,NP,Mark E. Larson,54
Ozaukee,Town Of Fredonia Wards 1-4,"Ozaukee County Circuit Court, Branch 2",,150,NP,Steve Cain,47
Ozaukee,Town Of Fredonia Wards 1-4,"Ozaukee County Circuit Court, Branch 2",,150,,Scattering,0
Ozaukee,"Town Of Grafton Wards 1-2,5","Ozaukee County Circuit Court, Branch 2",,166,NP,James Wawrzyn,16
Ozaukee,"Town Of Grafton Wards 1-2,5","Ozaukee County Circuit Court, Branch 2",,166,NP,Angela C. Foy,41
Ozaukee,"Town Of Grafton Wards 1-2,5","Ozaukee County Circuit Court, Branch 2",,166,NP,Mark E. Larson,48
Ozaukee,"Town Of Grafton Wards 1-2,5","Ozaukee County Circuit Court, Branch 2",,166,NP,Steve Cain,59
Ozaukee,"Town Of Grafton Wards 1-2,5","Ozaukee County Circuit Court, Branch 2",,166,,Scattering,2
Ozaukee,Town Of Grafton Wards 3-4,"Ozaukee County Circuit Court, Branch 2",,194,NP,James Wawrzyn,14
Ozaukee,Town Of Grafton Wards 3-4,"Ozaukee County Circuit Court, Branch 2",,194,NP,Angela C. Foy,71
Ozaukee,Town Of Grafton Wards 3-4,"Ozaukee County Circuit Court, Branch 2",,194,NP,Mark E. Larson,35
Ozaukee,Town Of Grafton Wards 3-4,"Ozaukee County Circuit Court, Branch 2",,194,NP,Steve Cain,74
Ozaukee,Town Of Grafton Wards 3-4,"Ozaukee County Circuit Court, Branch 2",,194,,Scattering,0
Ozaukee,Town Of Port Washington Wards 1-2,"Ozaukee County Circuit Court, Branch 2",,159,NP,James Wawrzyn,5
Ozaukee,Town Of Port Washington Wards 1-2,"Ozaukee County Circuit Court, Branch 2",,159,NP,Angela C. Foy,45
Ozaukee,Town Of Port Washington Wards 1-2,"Ozaukee County Circuit Court, Branch 2",,159,NP,Mark E. Larson,25
Ozaukee,Town Of Port Washington Wards 1-2,"Ozaukee County Circuit Court, Branch 2",,159,NP,Steve Cain,84
Ozaukee,Town Of Port Washington Wards 1-2,"Ozaukee County Circuit Court, Branch 2",,159,,Scattering,0
Ozaukee,Town Of Saukville Wards 1-3,"Ozaukee County Circuit Court, Branch 2",,164,NP,James Wawrzyn,8
Ozaukee,Town Of Saukville Wards 1-3,"Ozaukee County Circuit Court, Branch 2",,164,NP,Angela C. Foy,50
Ozaukee,Town Of Saukville Wards 1-3,"Ozaukee County Circuit Court, Branch 2",,164,NP,Mark E. Larson,69
Ozaukee,Town Of Saukville Wards 1-3,"Ozaukee County Circuit Court, Branch 2",,164,NP,Steve Cain,37
