county,ward,office,district,total votes,party,candidate,votes
Waukesha,"Town Of Delafield Wards 1, 2, 5, 6",Representative To The Assembly,District 99,317,REP,Dave Westlake,77
Waukesha,"Town Of Delafield Wards 1, 2, 5, 6",Representative To The Assembly,District 99,317,REP,Spencer Zimmerman,10
Waukesha,"Town Of Delafield Wards 1, 2, 5, 6",Representative To The Assembly,District 99,317,REP,Scott Owens,34
Waukesha,"Town Of Delafield Wards 1, 2, 5, 6",Representative To The Assembly,District 99,317,REP,Cindi Duchow,193
Waukesha,"Town Of Delafield Wards 1, 2, 5, 6",Representative To The Assembly,District 99,317,,Scattering,3
Waukesha,"Town Of Delafield Wards 3, 4",Representative To The Assembly,District 99,171,REP,Dave Westlake,53
Waukesha,"Town Of Delafield Wards 3, 4",Representative To The Assembly,District 99,171,REP,Spencer Zimmerman,4
Waukesha,"Town Of Delafield Wards 3, 4",Representative To The Assembly,District 99,171,REP,Scott Owens,8
Waukesha,"Town Of Delafield Wards 3, 4",Representative To The Assembly,District 99,171,REP,Cindi Duchow,106
Waukesha,"Town Of Delafield Wards 3, 4",Representative To The Assembly,District 99,171,,Scattering,0
Waukesha,"Town Of Delafield Wards 7, 8",Representative To The Assembly,District 99,129,REP,Dave Westlake,46
Waukesha,"Town Of Delafield Wards 7, 8",Representative To The Assembly,District 99,129,REP,Spencer Zimmerman,5
Waukesha,"Town Of Delafield Wards 7, 8",Representative To The Assembly,District 99,129,REP,Scott Owens,29
Waukesha,"Town Of Delafield Wards 7, 8",Representative To The Assembly,District 99,129,REP,Cindi Duchow,49
Waukesha,"Town Of Delafield Wards 7, 8",Representative To The Assembly,District 99,129,,Scattering,0
Waukesha,"Town Of Delafield Wards 9, 10, 11",Representative To The Assembly,District 99,170,REP,Dave Westlake,46
Waukesha,"Town Of Delafield Wards 9, 10, 11",Representative To The Assembly,District 99,170,REP,Spencer Zimmerman,6
Waukesha,"Town Of Delafield Wards 9, 10, 11",Representative To The Assembly,District 99,170,REP,Scott Owens,32
Waukesha,"Town Of Delafield Wards 9, 10, 11",Representative To The Assembly,District 99,170,REP,Cindi Duchow,84
Waukesha,"Town Of Delafield Wards 9, 10, 11",Representative To The Assembly,District 99,170,,Scattering,2
Waukesha,"Town Of Genesee Wards 1-5, 9 10",Representative To The Assembly,District 99,278,REP,Dave Westlake,68
Waukesha,"Town Of Genesee Wards 1-5, 9 10",Representative To The Assembly,District 99,278,REP,Spencer Zimmerman,9
Waukesha,"Town Of Genesee Wards 1-5, 9 10",Representative To The Assembly,District 99,278,REP,Scott Owens,131
Waukesha,"Town Of Genesee Wards 1-5, 9 10",Representative To The Assembly,District 99,278,REP,Cindi Duchow,70
Waukesha,"Town Of Genesee Wards 1-5, 9 10",Representative To The Assembly,District 99,278,,Scattering,0
Waukesha,"Town Of Merton Wards 1, 2, 3, 7, 8, 9",Representative To The Assembly,District 99,254,REP,Dave Westlake,96
Waukesha,"Town Of Merton Wards 1, 2, 3, 7, 8, 9",Representative To The Assembly,District 99,254,REP,Spencer Zimmerman,12
Waukesha,"Town Of Merton Wards 1, 2, 3, 7, 8, 9",Representative To The Assembly,District 99,254,REP,Scott Owens,38
Waukesha,"Town Of Merton Wards 1, 2, 3, 7, 8, 9",Representative To The Assembly,District 99,254,REP,Cindi Duchow,106
Waukesha,"Town Of Merton Wards 1, 2, 3, 7, 8, 9",Representative To The Assembly,District 99,254,,Scattering,2
Waukesha,"Town Of Merton Wards 4, 5, 6, 10, 11",Representative To The Assembly,District 99,97,REP,Dave Westlake,21
Waukesha,"Town Of Merton Wards 4, 5, 6, 10, 11",Representative To The Assembly,District 99,97,REP,Spencer Zimmerman,5
Waukesha,"Town Of Merton Wards 4, 5, 6, 10, 11",Representative To The Assembly,District 99,97,REP,Scott Owens,24
Waukesha,"Town Of Merton Wards 4, 5, 6, 10, 11",Representative To The Assembly,District 99,97,REP,Cindi Duchow,47
Waukesha,"Town Of Merton Wards 4, 5, 6, 10, 11",Representative To The Assembly,District 99,97,,Scattering,0
Waukesha,Town Of Oconomowoc Ward 10,Representative To The Assembly,District 99,0,REP,Dave Westlake,0
Waukesha,Town Of Oconomowoc Ward 10,Representative To The Assembly,District 99,0,REP,Spencer Zimmerman,0
Waukesha,Town Of Oconomowoc Ward 10,Representative To The Assembly,District 99,0,REP,Scott Owens,0
Waukesha,Town Of Oconomowoc Ward 10,Representative To The Assembly,District 99,0,REP,Cindi Duchow,0
Waukesha,Town Of Oconomowoc Ward 10,Representative To The Assembly,District 99,0,,Scattering,0
Waukesha,Town Of Ottawa Wards 1-5,Representative To The Assembly,District 99,207,REP,Dave Westlake,51
Waukesha,Town Of Ottawa Wards 1-5,Representative To The Assembly,District 99,207,REP,Spencer Zimmerman,7
Waukesha,Town Of Ottawa Wards 1-5,Representative To The Assembly,District 99,207,REP,Scott Owens,77
Waukesha,Town Of Ottawa Wards 1-5,Representative To The Assembly,District 99,207,REP,Cindi Duchow,71
Waukesha,Town Of Ottawa Wards 1-5,Representative To The Assembly,District 99,207,,Scattering,1
Waukesha,Village Of Chenequa Ward 1,Representative To The Assembly,District 99,51,REP,Dave Westlake,15
Waukesha,Village Of Chenequa Ward 1,Representative To The Assembly,District 99,51,REP,Spencer Zimmerman,0
Waukesha,Village Of Chenequa Ward 1,Representative To The Assembly,District 99,51,REP,Scott Owens,6
Waukesha,Village Of Chenequa Ward 1,Representative To The Assembly,District 99,51,REP,Cindi Duchow,30
Waukesha,Village Of Chenequa Ward 1,Representative To The Assembly,District 99,51,,Scattering,0
Waukesha,Village Of Dousman Wards 1-3,Representative To The Assembly,District 99,116,REP,Dave Westlake,24
Waukesha,Village Of Dousman Wards 1-3,Representative To The Assembly,District 99,116,REP,Spencer Zimmerman,11
