county,ward,office,district,total votes,party,candidate,votes
Calumet,Town Of Brothertown Ward 1-2,State Senate,20,50,REP,Tiffany Koehler,7
Calumet,Town Of Brothertown Ward 1-2,State Senate,20,50,REP,Duey Stroebel,31
Calumet,Town Of Brothertown Ward 1-2,State Senate,20,50,REP,Lee E. Schlenvogt,12
Calumet,Town Of Brothertown Ward 1-2,State Senate,20,50,REP,Scattering,0
Calumet,"Town Of New Holstein Ward 1, 2, 3",State Senate,20,49,REP,Tiffany Koehler,7
Calumet,"Town Of New Holstein Ward 1, 2, 3",State Senate,20,49,REP,Duey Stroebel,26
Calumet,"Town Of New Holstein Ward 1, 2, 3",State Senate,20,49,REP,Lee E. Schlenvogt,16
Calumet,"Town Of New Holstein Ward 1, 2, 3",State Senate,20,49,REP,Scattering,0
Calumet,City Of New Holstein Wards 1-5,State Senate,20,125,REP,Tiffany Koehler,21
Calumet,City Of New Holstein Wards 1-5,State Senate,20,125,REP,Duey Stroebel,86
Calumet,City Of New Holstein Wards 1-5,State Senate,20,125,REP,Lee E. Schlenvogt,18
Calumet,City Of New Holstein Wards 1-5,State Senate,20,125,REP,Scattering,0
Fond Du Lac,Town Of Ashford Wards 1 -3,State Senate,20,114,REP,Tiffany Koehler,14
Fond Du Lac,Town Of Ashford Wards 1 -3,State Senate,20,114,REP,Duey Stroebel,74
Fond Du Lac,Town Of Ashford Wards 1 -3,State Senate,20,114,REP,Lee E. Schlenvogt,26
Fond Du Lac,Town Of Ashford Wards 1 -3,State Senate,20,114,REP,Scattering,0
Fond Du Lac,Town Of Auburn Wards 1-3,State Senate,20,178,REP,Tiffany Koehler,21
Fond Du Lac,Town Of Auburn Wards 1-3,State Senate,20,178,REP,Duey Stroebel,107
Fond Du Lac,Town Of Auburn Wards 1-3,State Senate,20,178,REP,Lee E. Schlenvogt,50
Fond Du Lac,Town Of Auburn Wards 1-3,State Senate,20,178,REP,Scattering,0
Fond Du Lac,Town Of Calumet Ward 2,State Senate,20,117,REP,Tiffany Koehler,22
Fond Du Lac,Town Of Calumet Ward 2,State Senate,20,117,REP,Duey Stroebel,68
Fond Du Lac,Town Of Calumet Ward 2,State Senate,20,117,REP,Lee E. Schlenvogt,27
Fond Du Lac,Town Of Calumet Ward 2,State Senate,20,117,REP,Scattering,0
Fond Du Lac,Town Of Eden Wards 1-2,State Senate,20,85,REP,Tiffany Koehler,7
Fond Du Lac,Town Of Eden Wards 1-2,State Senate,20,85,REP,Duey Stroebel,48
Fond Du Lac,Town Of Eden Wards 1-2,State Senate,20,85,REP,Lee E. Schlenvogt,30
Fond Du Lac,Town Of Eden Wards 1-2,State Senate,20,85,REP,Scattering,0
Fond Du Lac,Town Of Forest Wards 1-2,State Senate,20,77,REP,Tiffany Koehler,10
Fond Du Lac,Town Of Forest Wards 1-2,State Senate,20,77,REP,Duey Stroebel,43
Fond Du Lac,Town Of Forest Wards 1-2,State Senate,20,77,REP,Lee E. Schlenvogt,24
Fond Du Lac,Town Of Forest Wards 1-2,State Senate,20,77,REP,Scattering,0
Fond Du Lac,Town Of Marshfield Wards 1-2,State Senate,20,55,REP,Tiffany Koehler,6
Fond Du Lac,Town Of Marshfield Wards 1-2,State Senate,20,55,REP,Duey Stroebel,36
Fond Du Lac,Town Of Marshfield Wards 1-2,State Senate,20,55,REP,Lee E. Schlenvogt,13
Fond Du Lac,Town Of Marshfield Wards 1-2,State Senate,20,55,REP,Scattering,0
Fond Du Lac,Town Of Osceola Wards 1-2,State Senate,20,148,REP,Tiffany Koehler,18
Fond Du Lac,Town Of Osceola Wards 1-2,State Senate,20,148,REP,Duey Stroebel,87
Fond Du Lac,Town Of Osceola Wards 1-2,State Senate,20,148,REP,Lee E. Schlenvogt,43
Fond Du Lac,Town Of Osceola Wards 1-2,State Senate,20,148,REP,Scattering,0
Fond Du Lac,Village Of Campbellsport Wards 1-4,State Senate,20,91,REP,Tiffany Koehler,10
Fond Du Lac,Village Of Campbellsport Wards 1-4,State Senate,20,91,REP,Duey Stroebel,57
Fond Du Lac,Village Of Campbellsport Wards 1-4,State Senate,20,91,REP,Lee E. Schlenvogt,24
Fond Du Lac,Village Of Campbellsport Wards 1-4,State Senate,20,91,REP,Scattering,0
Fond Du Lac,Village Of Eden Ward 1,State Senate,20,43,REP,Tiffany Koehler,9
Fond Du Lac,Village Of Eden Ward 1,State Senate,20,43,REP,Duey Stroebel,20
Fond Du Lac,Village Of Eden Ward 1,State Senate,20,43,REP,Lee E. Schlenvogt,14
Fond Du Lac,Village Of Eden Ward 1,State Senate,20,43,REP,Scattering,0
Fond Du Lac,Village Of Kewaskum Wd 6,State Senate,20,0,REP,Tiffany Koehler,0
Fond Du Lac,Village Of Kewaskum Wd 6,State Senate,20,0,REP,Duey Stroebel,0
Fond Du Lac,Village Of Kewaskum Wd 6,State Senate,20,0,REP,Lee E. Schlenvogt,0
Fond Du Lac,Village Of Kewaskum Wd 6,State Senate,20,0,REP,Scattering,0
Fond Du Lac,Village Of Mount Calvary Ward 1,State Senate,20,28,REP,Tiffany Koehler,6
Fond Du Lac,Village Of Mount Calvary Ward 1,State Senate,20,28,REP,Duey Stroebel,17
Fond Du Lac,Village Of Mount Calvary Ward 1,State Senate,20,28,REP,Lee E. Schlenvogt,5
Fond Du Lac,Village Of Mount Calvary Ward 1,State Senate,20,28,REP,Scattering,0
Fond Du Lac,Village Of St. Cloud Ward 1,State Senate,20,48,REP,Tiffany Koehler,6
Fond Du Lac,Village Of St. Cloud Ward 1,State Senate,20,48,REP,Duey Stroebel,28
Fond Du Lac,Village Of St. Cloud Ward 1,State Senate,20,48,REP,Lee E. Schlenvogt,14
Fond Du Lac,Village Of St. Cloud Ward 1,State Senate,20,48,REP,Scattering,0
Ozaukee,Town Of Belgium Wards 1-3,State Senate,20,198,REP,Tiffany Koehler,6
Ozaukee,Town Of Belgium Wards 1-3,State Senate,20,198,REP,Duey Stroebel,120
Ozaukee,Town Of Belgium Wards 1-3,State Senate,20,198,REP,Lee E. Schlenvogt,72
