county,ward,office,district,totalvotes,party,candidate,votes
Adams,Town Of Adams Wards 1-3,President,,152,REP,Newt Gingrich,12
Adams,Town Of Adams Wards 1-3,President,,152,REP,Jon Huntsman,1
Adams,Town Of Adams Wards 1-3,President,,152,REP,Mitt Romney,56
Adams,Town Of Adams Wards 1-3,President,,152,REP,Michele Bachmann,2
Adams,Town Of Adams Wards 1-3,President,,152,REP,Ron Paul,29
Adams,Town Of Adams Wards 1-3,President,,152,REP,Rick Santorum,50
Adams,Town Of Adams Wards 1-3,President,,152,REP,Uninstructed Delegation,2
Adams,Town Of Adams Wards 1-3,President,,152,,Scattering,0
Adams,Town Of Big Flats Wards 1 & 2,President,,101,REP,Newt Gingrich,11
Adams,Town Of Big Flats Wards 1 & 2,President,,101,REP,Jon Huntsman,1
Adams,Town Of Big Flats Wards 1 & 2,President,,101,REP,Mitt Romney,40
Adams,Town Of Big Flats Wards 1 & 2,President,,101,REP,Michele Bachmann,1
Adams,Town Of Big Flats Wards 1 & 2,President,,101,REP,Ron Paul,11
Adams,Town Of Big Flats Wards 1 & 2,President,,101,REP,Rick Santorum,36
Adams,Town Of Big Flats Wards 1 & 2,President,,101,REP,Uninstructed Delegation,0
Adams,Town Of Big Flats Wards 1 & 2,President,,101,,Scattering,1
Adams,Town Of Colburn Ward 1,President,,31,REP,Newt Gingrich,3
Adams,Town Of Colburn Ward 1,President,,31,REP,Jon Huntsman,1
Adams,Town Of Colburn Ward 1,President,,31,REP,Mitt Romney,7
Adams,Town Of Colburn Ward 1,President,,31,REP,Michele Bachmann,0
Adams,Town Of Colburn Ward 1,President,,31,REP,Ron Paul,5
Adams,Town Of Colburn Ward 1,President,,31,REP,Rick Santorum,15
Adams,Town Of Colburn Ward 1,President,,31,REP,Uninstructed Delegation,0
Adams,Town Of Colburn Ward 1,President,,31,,Scattering,0
Adams,Town Of Dell Prairie Wards 1-3,President,,153,REP,Newt Gingrich,8
Adams,Town Of Dell Prairie Wards 1-3,President,,153,REP,Jon Huntsman,1
Adams,Town Of Dell Prairie Wards 1-3,President,,153,REP,Mitt Romney,73
Adams,Town Of Dell Prairie Wards 1-3,President,,153,REP,Michele Bachmann,1
Adams,Town Of Dell Prairie Wards 1-3,President,,153,REP,Ron Paul,20
Adams,Town Of Dell Prairie Wards 1-3,President,,153,REP,Rick Santorum,50
Adams,Town Of Dell Prairie Wards 1-3,President,,153,REP,Uninstructed Delegation,0
Adams,Town Of Dell Prairie Wards 1-3,President,,153,,Scattering,0
Adams,Town Of Easton Wards 1 & 2,President,,111,REP,Newt Gingrich,6
Adams,Town Of Easton Wards 1 & 2,President,,111,REP,Jon Huntsman,0
Adams,Town Of Easton Wards 1 & 2,President,,111,REP,Mitt Romney,40
Adams,Town Of Easton Wards 1 & 2,President,,111,REP,Michele Bachmann,0
Adams,Town Of Easton Wards 1 & 2,President,,111,REP,Ron Paul,19
Adams,Town Of Easton Wards 1 & 2,President,,111,REP,Rick Santorum,46
Adams,Town Of Easton Wards 1 & 2,President,,111,REP,Uninstructed Delegation,0
Adams,Town Of Easton Wards 1 & 2,President,,111,,Scattering,0
Adams,Town Of Jackson Wards 1 & 2,President,,145,REP,Newt Gingrich,13
Adams,Town Of Jackson Wards 1 & 2,President,,145,REP,Jon Huntsman,0
Adams,Town Of Jackson Wards 1 & 2,President,,145,REP,Mitt Romney,51
Adams,Town Of Jackson Wards 1 & 2,President,,145,REP,Michele Bachmann,1
Adams,Town Of Jackson Wards 1 & 2,President,,145,REP,Ron Paul,25
Adams,Town Of Jackson Wards 1 & 2,President,,145,REP,Rick Santorum,55
Adams,Town Of Jackson Wards 1 & 2,President,,145,REP,Uninstructed Delegation,0
Adams,Town Of Jackson Wards 1 & 2,President,,145,,Scattering,0
Adams,Town Of Leola Ward 1,President,,48,REP,Newt Gingrich,4
Adams,Town Of Leola Ward 1,President,,48,REP,Jon Huntsman,0
Adams,Town Of Leola Ward 1,President,,48,REP,Mitt Romney,22
Adams,Town Of Leola Ward 1,President,,48,REP,Michele Bachmann,1
Adams,Town Of Leola Ward 1,President,,48,REP,Ron Paul,7
Adams,Town Of Leola Ward 1,President,,48,REP,Rick Santorum,13
Adams,Town Of Leola Ward 1,President,,48,REP,Uninstructed Delegation,0
Adams,Town Of Leola Ward 1,President,,48,,Scattering,1
Adams,Town Of Lincoln Ward 1,President,,57,REP,Newt Gingrich,5
Adams,Town Of Lincoln Ward 1,President,,57,REP,Jon Huntsman,0
Adams,Town Of Lincoln Ward 1,President,,57,REP,Mitt Romney,20
Adams,Town Of Lincoln Ward 1,President,,57,REP,Michele Bachmann,0
Adams,Town Of Lincoln Ward 1,President,,57,REP,Ron Paul,12
Adams,Town Of Lincoln Ward 1,President,,57,REP,Rick Santorum,20
Adams,Town Of Lincoln Ward 1,President,,57,REP,Uninstructed Delegation,0
Adams,Town Of Lincoln Ward 1,President,,57,,Scattering,0
Adams,Town Of Monroe Ward 1,President,,88,REP,Newt Gingrich,2
Adams,Town Of Monroe Ward 1,President,,88,REP,Jon Huntsman,0
Adams,Town Of Monroe Ward 1,President,,88,REP,Mitt Romney,37
Adams,Town Of Monroe Ward 1,President,,88,REP,Michele Bachmann,0
Adams,Town Of Monroe Ward 1,President,,88,REP,Ron Paul,13
Adams,Town Of Monroe Ward 1,President,,88,REP,Rick Santorum,35
Adams,Town Of Monroe Ward 1,President,,88,REP,Uninstructed Delegation,1
Adams,Town Of Monroe Ward 1,President,,88,,Scattering,0
Adams,Town Of New Chester Ward 1-3,President,,85,REP,Newt Gingrich,8
Adams,Town Of New Chester Ward 1-3,President,,85,REP,Jon Huntsman,1
Adams,Town Of New Chester Ward 1-3,President,,85,REP,Mitt Romney,34
Adams,Town Of New Chester Ward 1-3,President,,85,REP,Michele Bachmann,0
Adams,Town Of New Chester Ward 1-3,President,,85,REP,Ron Paul,11
Adams,Town Of New Chester Ward 1-3,President,,85,REP,Rick Santorum,29
Adams,Town Of New Chester Ward 1-3,President,,85,REP,Uninstructed Delegation,2
Adams,Town Of New Chester Ward 1-3,President,,85,,Scattering,0
Adams,Town Of New Haven Ward 1,President,,85,REP,Newt Gingrich,5
Adams,Town Of New Haven Ward 1,President,,85,REP,Jon Huntsman,1
Adams,Town Of New Haven Ward 1,President,,85,REP,Mitt Romney,30
Adams,Town Of New Haven Ward 1,President,,85,REP,Michele Bachmann,0
Adams,Town Of New Haven Ward 1,President,,85,REP,Ron Paul,16
Adams,Town Of New Haven Ward 1,President,,85,REP,Rick Santorum,31
Adams,Town Of New Haven Ward 1,President,,85,REP,Uninstructed Delegation,2
Adams,Town Of New Haven Ward 1,President,,85,,Scattering,0
Adams,Town Of Preston Wards 1 & 2,President,,179,REP,Newt Gingrich,18
Adams,Town Of Preston Wards 1 & 2,President,,179,REP,Jon Huntsman,0
Adams,Town Of Preston Wards 1 & 2,President,,179,REP,Mitt Romney,60
Adams,Town Of Preston Wards 1 & 2,President,,179,REP,Michele Bachmann,1
Adams,Town Of Preston Wards 1 & 2,President,,179,REP,Ron Paul,31
Adams,Town Of Preston Wards 1 & 2,President,,179,REP,Rick Santorum,69
Adams,Town Of Preston Wards 1 & 2,President,,179,REP,Uninstructed Delegation,0
Adams,Town Of Preston Wards 1 & 2,President,,179,,Scattering,0
Adams,Town Of Quincy Ward 1,President,,151,REP,Newt Gingrich,9
Adams,Town Of Quincy Ward 1,President,,151,REP,Jon Huntsman,2
Adams,Town Of Quincy Ward 1,President,,151,REP,Mitt Romney,66
Adams,Town Of Quincy Ward 1,President,,151,REP,Michele Bachmann,4
Adams,Town Of Quincy Ward 1,President,,151,REP,Ron Paul,27
Adams,Town Of Quincy Ward 1,President,,151,REP,Rick Santorum,43
