county,ward,office,district,total votes,party,candidate,votes
Adams,Town Of Adams Wards 1-3,Governor,,525,REP,Scott Walker,280
Adams,Town Of Adams Wards 1-3,Governor,,525,DEM,Tom Barrett,239
Adams,Town Of Adams Wards 1-3,Governor,,525,IND,Hari Trivedi,6
Adams,Town Of Adams Wards 1-3,Governor,,525,,Scattering,0
Adams,Town Of Big Flats Wards 1 & 2,Governor,,390,REP,Scott Walker,215
Adams,Town Of Big Flats Wards 1 & 2,Governor,,390,DEM,Tom Barrett,168
Adams,Town Of Big Flats Wards 1 & 2,Governor,,390,IND,Hari Trivedi,6
Adams,Town Of Big Flats Wards 1 & 2,Governor,,390,,Scattering,1
Adams,Town Of Colburn Ward 1,Governor,,107,REP,Scott Walker,60
Adams,Town Of Colburn Ward 1,Governor,,107,DEM,Tom Barrett,46
Adams,Town Of Colburn Ward 1,Governor,,107,IND,Hari Trivedi,1
Adams,Town Of Colburn Ward 1,Governor,,107,,Scattering,0
Adams,Town Of Dell Prairie Wards 1-3,Governor,,670,REP,Scott Walker,387
Adams,Town Of Dell Prairie Wards 1-3,Governor,,670,DEM,Tom Barrett,277
Adams,Town Of Dell Prairie Wards 1-3,Governor,,670,IND,Hari Trivedi,6
Adams,Town Of Dell Prairie Wards 1-3,Governor,,670,,Scattering,0
Adams,Town Of Easton Wards 1 & 2,Governor,,387,REP,Scott Walker,204
Adams,Town Of Easton Wards 1 & 2,Governor,,387,DEM,Tom Barrett,175
Adams,Town Of Easton Wards 1 & 2,Governor,,387,IND,Hari Trivedi,8
Adams,Town Of Easton Wards 1 & 2,Governor,,387,,Scattering,0
Adams,Town Of Jackson Wards 1 & 2,Governor,,470,REP,Scott Walker,263
Adams,Town Of Jackson Wards 1 & 2,Governor,,470,DEM,Tom Barrett,202
Adams,Town Of Jackson Wards 1 & 2,Governor,,470,IND,Hari Trivedi,4
Adams,Town Of Jackson Wards 1 & 2,Governor,,470,,Scattering,1
Adams,Town Of Leola Ward 1,Governor,,120,REP,Scott Walker,98
Adams,Town Of Leola Ward 1,Governor,,120,DEM,Tom Barrett,19
Adams,Town Of Leola Ward 1,Governor,,120,IND,Hari Trivedi,3
Adams,Town Of Leola Ward 1,Governor,,120,,Scattering,0
Adams,Town Of Lincoln Ward 1,Governor,,135,REP,Scott Walker,69
Adams,Town Of Lincoln Ward 1,Governor,,135,DEM,Tom Barrett,64
Adams,Town Of Lincoln Ward 1,Governor,,135,IND,Hari Trivedi,1
Adams,Town Of Lincoln Ward 1,Governor,,135,,Scattering,1
Adams,Town Of Monroe Ward 1,Governor,,233,REP,Scott Walker,132
Adams,Town Of Monroe Ward 1,Governor,,233,DEM,Tom Barrett,101
Adams,Town Of Monroe Ward 1,Governor,,233,IND,Hari Trivedi,0
Adams,Town Of Monroe Ward 1,Governor,,233,,Scattering,0
Adams,Town Of New Chester Ward 1-3,Governor,,333,REP,Scott Walker,168
Adams,Town Of New Chester Ward 1-3,Governor,,333,DEM,Tom Barrett,160
Adams,Town Of New Chester Ward 1-3,Governor,,333,IND,Hari Trivedi,4
Adams,Town Of New Chester Ward 1-3,Governor,,333,,Scattering,1
Adams,Town Of New Haven Ward 1,Governor,,314,REP,Scott Walker,154
Adams,Town Of New Haven Ward 1,Governor,,314,DEM,Tom Barrett,158
Adams,Town Of New Haven Ward 1,Governor,,314,IND,Hari Trivedi,2
Adams,Town Of New Haven Ward 1,Governor,,314,,Scattering,0
Adams,Town Of Preston Wards 1 & 2,Governor,,559,REP,Scott Walker,281
Adams,Town Of Preston Wards 1 & 2,Governor,,559,DEM,Tom Barrett,271
Adams,Town Of Preston Wards 1 & 2,Governor,,559,IND,Hari Trivedi,7
Adams,Town Of Preston Wards 1 & 2,Governor,,559,,Scattering,0
Adams,Town Of Quincy Wards 1-3,Governor,,502,REP,Scott Walker,257
Adams,Town Of Quincy Wards 1-3,Governor,,502,DEM,Tom Barrett,242
Adams,Town Of Quincy Wards 1-3,Governor,,502,IND,Hari Trivedi,3
Adams,Town Of Quincy Wards 1-3,Governor,,502,,Scattering,0
Adams,Town Of Richfield Ward 1,Governor,,80,REP,Scott Walker,53
Adams,Town Of Richfield Ward 1,Governor,,80,DEM,Tom Barrett,25
Adams,Town Of Richfield Ward 1,Governor,,80,IND,Hari Trivedi,2
Adams,Town Of Richfield Ward 1,Governor,,80,,Scattering,0
Adams,Town Of Rome Wards 1-5,Governor,,1638,REP,Scott Walker,966
Adams,Town Of Rome Wards 1-5,Governor,,1638,DEM,Tom Barrett,655
Adams,Town Of Rome Wards 1-5,Governor,,1638,IND,Hari Trivedi,15
Adams,Town Of Rome Wards 1-5,Governor,,1638,,Scattering,2
Adams,Town Of Springville Wards 1 & 2,Governor,,464,REP,Scott Walker,267
Adams,Town Of Springville Wards 1 & 2,Governor,,464,DEM,Tom Barrett,196
Adams,Town Of Springville Wards 1 & 2,Governor,,464,IND,Hari Trivedi,1
Adams,Town Of Springville Wards 1 & 2,Governor,,464,,Scattering,0
Adams,Town Of Strongs Prairie Wards 1-3,Governor,,489,REP,Scott Walker,250
Adams,Town Of Strongs Prairie Wards 1-3,Governor,,489,DEM,Tom Barrett,228
Adams,Town Of Strongs Prairie Wards 1-3,Governor,,489,IND,Hari Trivedi,11
Adams,Town Of Strongs Prairie Wards 1-3,Governor,,489,,Scattering,0
Adams,Village Of Friendship Ward 1,Governor,,226,REP,Scott Walker,106
Adams,Village Of Friendship Ward 1,Governor,,226,DEM,Tom Barrett,118
Adams,Village Of Friendship Ward 1,Governor,,226,IND,Hari Trivedi,2
Adams,Village Of Friendship Ward 1,Governor,,226,,Scattering,0
Adams,City Of Adams Wards 1-4,Governor,,604,REP,Scott Walker,279
Adams,City Of Adams Wards 1-4,Governor,,604,DEM,Tom Barrett,308
Adams,City Of Adams Wards 1-4,Governor,,604,IND,Hari Trivedi,15
Adams,City Of Adams Wards 1-4,Governor,,604,,Scattering,2
