ADAMS,TOWN OF ADAMS Wards 1-3,GOVERNOR,,525,REP,SCOTT WALKER,280.0
ADAMS,TOWN OF ADAMS Wards 1-3,GOVERNOR,,525,DEM,TOM BARRETT,239.0
ADAMS,TOWN OF ADAMS Wards 1-3,GOVERNOR,,525,IND,HARI TRIVEDI,6.0
ADAMS,TOWN OF ADAMS Wards 1-3,GOVERNOR,,525,,SCATTERING,0.0
,TOWN OF BIG FLATS WARDS 1 & 2,GOVERNOR,,390,REP,SCOTT WALKER,215.0
,TOWN OF BIG FLATS WARDS 1 & 2,GOVERNOR,,390,DEM,TOM BARRETT,168.0
,TOWN OF BIG FLATS WARDS 1 & 2,GOVERNOR,,390,IND,HARI TRIVEDI,6.0
,TOWN OF BIG FLATS WARDS 1 & 2,GOVERNOR,,390,,SCATTERING,1.0
,TOWN OF COLBURN WARD 1,GOVERNOR,,107,REP,SCOTT WALKER,60.0
,TOWN OF COLBURN WARD 1,GOVERNOR,,107,DEM,TOM BARRETT,46.0
,TOWN OF COLBURN WARD 1,GOVERNOR,,107,IND,HARI TRIVEDI,1.0
,TOWN OF COLBURN WARD 1,GOVERNOR,,107,,SCATTERING,0.0
,TOWN OF DELL PRAIRIE WARDS 1-3,GOVERNOR,,670,REP,SCOTT WALKER,387.0
,TOWN OF DELL PRAIRIE WARDS 1-3,GOVERNOR,,670,DEM,TOM BARRETT,277.0
,TOWN OF DELL PRAIRIE WARDS 1-3,GOVERNOR,,670,IND,HARI TRIVEDI,6.0
,TOWN OF DELL PRAIRIE WARDS 1-3,GOVERNOR,,670,,SCATTERING,0.0
,TOWN OF EASTON WARDS 1 & 2,GOVERNOR,,387,REP,SCOTT WALKER,204.0
,TOWN OF EASTON WARDS 1 & 2,GOVERNOR,,387,DEM,TOM BARRETT,175.0
,TOWN OF EASTON WARDS 1 & 2,GOVERNOR,,387,IND,HARI TRIVEDI,8.0
,TOWN OF EASTON WARDS 1 & 2,GOVERNOR,,387,,SCATTERING,0.0
,TOWN OF JACKSON WARDS 1 & 2,GOVERNOR,,470,REP,SCOTT WALKER,263.0
,TOWN OF JACKSON WARDS 1 & 2,GOVERNOR,,470,DEM,TOM BARRETT,202.0
,TOWN OF JACKSON WARDS 1 & 2,GOVERNOR,,470,IND,HARI TRIVEDI,4.0
,TOWN OF JACKSON WARDS 1 & 2,GOVERNOR,,470,,SCATTERING,1.0
,TOWN OF LEOLA WARD 1,GOVERNOR,,120,REP,SCOTT WALKER,98.0
,TOWN OF LEOLA WARD 1,GOVERNOR,,120,DEM,TOM BARRETT,19.0
,TOWN OF LEOLA WARD 1,GOVERNOR,,120,IND,HARI TRIVEDI,3.0
,TOWN OF LEOLA WARD 1,GOVERNOR,,120,,SCATTERING,0.0
,TOWN OF LINCOLN Ward 1,GOVERNOR,,135,REP,SCOTT WALKER,69.0
,TOWN OF LINCOLN Ward 1,GOVERNOR,,135,DEM,TOM BARRETT,64.0
,TOWN OF LINCOLN Ward 1,GOVERNOR,,135,IND,HARI TRIVEDI,1.0
,TOWN OF LINCOLN Ward 1,GOVERNOR,,135,,SCATTERING,1.0
,TOWN OF MONROE WARD 1,GOVERNOR,,233,REP,SCOTT WALKER,132.0
,TOWN OF MONROE WARD 1,GOVERNOR,,233,DEM,TOM BARRETT,101.0
,TOWN OF MONROE WARD 1,GOVERNOR,,233,IND,HARI TRIVEDI,0.0
,TOWN OF MONROE WARD 1,GOVERNOR,,233,,SCATTERING,0.0
,TOWN OF NEW CHESTER WARD 1-3,GOVERNOR,,333,REP,SCOTT WALKER,168.0
,TOWN OF NEW CHESTER WARD 1-3,GOVERNOR,,333,DEM,TOM BARRETT,160.0
,TOWN OF NEW CHESTER WARD 1-3,GOVERNOR,,333,IND,HARI TRIVEDI,4.0
,TOWN OF NEW CHESTER WARD 1-3,GOVERNOR,,333,,SCATTERING,1.0
,TOWN OF NEW HAVEN WARD 1,GOVERNOR,,314,REP,SCOTT WALKER,154.0
,TOWN OF NEW HAVEN WARD 1,GOVERNOR,,314,DEM,TOM BARRETT,158.0
,TOWN OF NEW HAVEN WARD 1,GOVERNOR,,314,IND,HARI TRIVEDI,2.0
,TOWN OF NEW HAVEN WARD 1,GOVERNOR,,314,,SCATTERING,0.0
,TOWN OF PRESTON WARDS 1 & 2,GOVERNOR,,559,REP,SCOTT WALKER,281.0
,TOWN OF PRESTON WARDS 1 & 2,GOVERNOR,,559,DEM,TOM BARRETT,271.0
,TOWN OF PRESTON WARDS 1 & 2,GOVERNOR,,559,IND,HARI TRIVEDI,7.0
,TOWN OF PRESTON WARDS 1 & 2,GOVERNOR,,559,,SCATTERING,0.0
,TOWN OF QUINCY WARDS 1-3,GOVERNOR,,502,REP,SCOTT WALKER,257.0
,TOWN OF QUINCY WARDS 1-3,GOVERNOR,,502,DEM,TOM BARRETT,242.0
,TOWN OF QUINCY WARDS 1-3,GOVERNOR,,502,IND,HARI TRIVEDI,3.0
,TOWN OF QUINCY WARDS 1-3,GOVERNOR,,502,,SCATTERING,0.0
,TOWN OF RICHFIELD WARD 1,GOVERNOR,,80,REP,SCOTT WALKER,53.0
,TOWN OF RICHFIELD WARD 1,GOVERNOR,,80,DEM,TOM BARRETT,25.0
,TOWN OF RICHFIELD WARD 1,GOVERNOR,,80,IND,HARI TRIVEDI,2.0
,TOWN OF RICHFIELD WARD 1,GOVERNOR,,80,,SCATTERING,0.0
,TOWN OF ROME Wards 1-5,GOVERNOR,,1638,REP,SCOTT WALKER,966.0
,TOWN OF ROME Wards 1-5,GOVERNOR,,1638,DEM,TOM BARRETT,655.0
,TOWN OF ROME Wards 1-5,GOVERNOR,,1638,IND,HARI TRIVEDI,15.0
,TOWN OF ROME Wards 1-5,GOVERNOR,,1638,,SCATTERING,2.0
,TOWN OF SPRINGVILLE WARDS 1 & 2,GOVERNOR,,464,REP,SCOTT WALKER,267.0
,TOWN OF SPRINGVILLE WARDS 1 & 2,GOVERNOR,,464,DEM,TOM BARRETT,196.0
,TOWN OF SPRINGVILLE WARDS 1 & 2,GOVERNOR,,464,IND,HARI TRIVEDI,1.0
,TOWN OF SPRINGVILLE WARDS 1 & 2,GOVERNOR,,464,,SCATTERING,0.0
,TOWN OF STRONGS PRAIRIE WARDS 1-3,GOVERNOR,,489,REP,SCOTT WALKER,250.0
,TOWN OF STRONGS PRAIRIE WARDS 1-3,GOVERNOR,,489,DEM,TOM BARRETT,228.0
,TOWN OF STRONGS PRAIRIE WARDS 1-3,GOVERNOR,,489,IND,HARI TRIVEDI,11.0
,TOWN OF STRONGS PRAIRIE WARDS 1-3,GOVERNOR,,489,,SCATTERING,0.0
,VILLAGE OF FRIENDSHIP WARD 1,GOVERNOR,,226,REP,SCOTT WALKER,106.0
,VILLAGE OF FRIENDSHIP WARD 1,GOVERNOR,,226,DEM,TOM BARRETT,118.0
,VILLAGE OF FRIENDSHIP WARD 1,GOVERNOR,,226,IND,HARI TRIVEDI,2.0
,VILLAGE OF FRIENDSHIP WARD 1,GOVERNOR,,226,,SCATTERING,0.0
,CITY OF ADAMS WARDS 1-4,GOVERNOR,,604,REP,SCOTT WALKER,279.0
,CITY OF ADAMS WARDS 1-4,GOVERNOR,,604,DEM,TOM BARRETT,308.0
,CITY OF ADAMS WARDS 1-4,GOVERNOR,,604,IND,HARI TRIVEDI,15.0
,CITY OF ADAMS WARDS 1-4,GOVERNOR,,604,,SCATTERING,2.0
,CITY OF WISCONSIN DELLS WARDS 5 & 9,GOVERNOR,,14,REP,SCOTT WALKER,8.0
,CITY OF WISCONSIN DELLS WARDS 5 & 9,GOVERNOR,,14,DEM,TOM BARRETT,6.0
,CITY OF WISCONSIN DELLS WARDS 5 & 9,GOVERNOR,,14,IND,HARI TRIVEDI,0.0
,CITY OF WISCONSIN DELLS WARDS 5 & 9,GOVERNOR,,14,,SCATTERING,0.0
ASHLAND,TOWN OF AGENDA Ward 1,GOVERNOR,,215,REP,SCOTT WALKER,137.0
ASHLAND,TOWN OF AGENDA Ward 1,GOVERNOR,,215,DEM,TOM BARRETT,77.0
ASHLAND,TOWN OF AGENDA Ward 1,GOVERNOR,,215,IND,HARI TRIVEDI,1.0
ASHLAND,TOWN OF AGENDA Ward 1,GOVERNOR,,215,,SCATTERING,0.0
,TOWN OF ASHLAND Ward 1,GOVERNOR,,248,REP,SCOTT WALKER,87.0
,TOWN OF ASHLAND Ward 1,GOVERNOR,,248,DEM,TOM BARRETT,160.0
,TOWN OF ASHLAND Ward 1,GOVERNOR,,248,IND,HARI TRIVEDI,1.0
,TOWN OF ASHLAND Ward 1,GOVERNOR,,248,,SCATTERING,0.0
,TOWN OF CHIPPEWA Ward 1,GOVERNOR,,174,REP,SCOTT WALKER,107.0
,TOWN OF CHIPPEWA Ward 1,GOVERNOR,,174,DEM,TOM BARRETT,65.0
,TOWN OF CHIPPEWA Ward 1,GOVERNOR,,174,IND,HARI TRIVEDI,2.0
,TOWN OF CHIPPEWA Ward 1,GOVERNOR,,174,,SCATTERING,0.0
,TOWN OF GINGLES Ward 1,GOVERNOR,,376,REP,SCOTT WALKER,138.0
,TOWN OF GINGLES Ward 1,GOVERNOR,,376,DEM,TOM BARRETT,236.0
,TOWN OF GINGLES Ward 1,GOVERNOR,,376,IND,HARI TRIVEDI,1.0
,TOWN OF GINGLES Ward 1,GOVERNOR,,376,,SCATTERING,1.0
,TOWN OF GORDON Wards 1-2,GOVERNOR,,157,REP,SCOTT WALKER,79.0
