county,ward,office,district,totalvotes,party,candidate,votes
Brown,Town Of Eaton Wards 1-2,State Assembly,1,110,REP,Garey Bies,110
Brown,Town Of Eaton Wards 1-2,State Assembly,1,110,REP,Scattering,0
Brown,Town Of Green Bay Wards 1 - 3,State Assembly,1,206,REP,Garey Bies,206
Brown,Town Of Green Bay Wards 1 - 3,State Assembly,1,206,REP,Scattering,0
Brown,Town Of Humboldt Wards 1 - 2,State Assembly,1,119,REP,Garey Bies,118
Brown,Town Of Humboldt Wards 1 - 2,State Assembly,1,119,REP,Scattering,1
Brown,Town Of Scott Wards 1-4,State Assembly,1,363,REP,Garey Bies,362
Brown,Town Of Scott Wards 1-4,State Assembly,1,363,REP,Scattering,1
Brown,City Of Green Bay Ward 1,State Assembly,1,6,REP,Garey Bies,6
Brown,City Of Green Bay Ward 1,State Assembly,1,6,REP,Scattering,0
Door,Town Of Baileys Harbor Wards 1 & 2,State Assembly,1,132,REP,Garey Bies,132
Door,Town Of Baileys Harbor Wards 1 & 2,State Assembly,1,132,REP,Scattering,0
Door,Town Of Brussels Wards 1 & 2,State Assembly,1,93,REP,Garey Bies,91
Door,Town Of Brussels Wards 1 & 2,State Assembly,1,93,REP,Scattering,2
Door,Town Of Clay Banks Ward 1,State Assembly,1,47,REP,Garey Bies,47
Door,Town Of Clay Banks Ward 1,State Assembly,1,47,REP,Scattering,0
Door,"Town Of Egg Harbor Wards 1, 2 & 3",State Assembly,1,139,REP,Garey Bies,138
Door,"Town Of Egg Harbor Wards 1, 2 & 3",State Assembly,1,139,REP,Scattering,1
Door,Town Of Forestville Wards 1 & 2,State Assembly,1,101,REP,Garey Bies,98
Door,Town Of Forestville Wards 1 & 2,State Assembly,1,101,REP,Scattering,3
Door,Town Of Gardner Wards 1 & 2,State Assembly,1,109,REP,Garey Bies,109
Door,Town Of Gardner Wards 1 & 2,State Assembly,1,109,REP,Scattering,0
Door,Town Of Gibraltar Ward 1-2,State Assembly,1,178,REP,Garey Bies,178
Door,Town Of Gibraltar Ward 1-2,State Assembly,1,178,REP,Scattering,0
Door,Town Of Jacksonport Wards 1 & 2,State Assembly,1,98,REP,Garey Bies,98
Door,Town Of Jacksonport Wards 1 & 2,State Assembly,1,98,REP,Scattering,0
Door,"Town Of Liberty Grove Wards 1, 2 & 3",State Assembly,1,287,REP,Garey Bies,286
Door,"Town Of Liberty Grove Wards 1, 2 & 3",State Assembly,1,287,REP,Scattering,1
Door,"Town Of Nasewaupee Wards 1, 2 & 3",State Assembly,1,247,REP,Garey Bies,247
Door,"Town Of Nasewaupee Wards 1, 2 & 3",State Assembly,1,247,REP,Scattering,0
Door,"Town Of Sevastopol Wards 1, 2, 3, 4 & 5",State Assembly,1,348,REP,Garey Bies,345
Door,"Town Of Sevastopol Wards 1, 2, 3, 4 & 5",State Assembly,1,348,REP,Scattering,3
Door,Town Of Sturgeon Bay Wards 1 & 2,State Assembly,1,109,REP,Garey Bies,109
Door,Town Of Sturgeon Bay Wards 1 & 2,State Assembly,1,109,REP,Scattering,0
Door,Town Of Union Ward 1,State Assembly,1,95,REP,Garey Bies,95
Door,Town Of Union Ward 1,State Assembly,1,95,REP,Scattering,0
Door,Town Of Washington Ward 1,State Assembly,1,120,REP,Garey Bies,119
Door,Town Of Washington Ward 1,State Assembly,1,120,REP,Scattering,1
Door,Village Of Egg Harbor Ward 1,State Assembly,1,47,REP,Garey Bies,47
Door,Village Of Egg Harbor Ward 1,State Assembly,1,47,REP,Scattering,0
Door,Village Of Ephraim Ward 1,State Assembly,1,68,REP,Garey Bies,68
Door,Village Of Ephraim Ward 1,State Assembly,1,68,REP,Scattering,0
Door,Village Of Forestville Ward 1,State Assembly,1,49,REP,Garey Bies,49
Door,Village Of Forestville Ward 1,State Assembly,1,49,REP,Scattering,0
Door,Village Of Sister Bay Ward 1,State Assembly,1,168,REP,Garey Bies,167
Door,Village Of Sister Bay Ward 1,State Assembly,1,168,REP,Scattering,1
Door,"City Of Sturgeon Bay Wards 1-6, 22-24",State Assembly,1,329,REP,Garey Bies,325
Door,"City Of Sturgeon Bay Wards 1-6, 22-24",State Assembly,1,329,REP,Scattering,4
Door,"City Of Sturgeon Bay Wards 7-10, 18-21, 25-27",State Assembly,1,169,REP,Garey Bies,169
Door,"City Of Sturgeon Bay Wards 7-10, 18-21, 25-27",State Assembly,1,169,REP,Scattering,0
Door,"City Of Sturgeon Bay Wards 11-17, 28",State Assembly,1,185,REP,Garey Bies,184
Door,"City Of Sturgeon Bay Wards 11-17, 28",State Assembly,1,185,REP,Scattering,1
Kewaunee,Town Of Ahnapee Ward 1,State Assembly,1,81,REP,Garey Bies,81
Kewaunee,Town Of Ahnapee Ward 1,State Assembly,1,81,REP,Scattering,0
Kewaunee,Town Of Carlton Wards 1 -2,State Assembly,1,123,REP,Garey Bies,123
Kewaunee,Town Of Carlton Wards 1 -2,State Assembly,1,123,REP,Scattering,0
Kewaunee,Town Of Casco Wards 1-3,State Assembly,1,131,REP,Garey Bies,131
Kewaunee,Town Of Casco Wards 1-3,State Assembly,1,131,REP,Scattering,0
Kewaunee,Town Of Franklin Ward 1,State Assembly,1,101,REP,Garey Bies,101
Kewaunee,Town Of Franklin Ward 1,State Assembly,1,101,REP,Scattering,0
Kewaunee,Town Of Lincoln Ward 1,State Assembly,1,59,REP,Garey Bies,59
Kewaunee,Town Of Lincoln Ward 1,State Assembly,1,59,REP,Scattering,0
Kewaunee,Town Of Luxemburg Wards 1 - 3,State Assembly,1,160,REP,Garey Bies,160
Kewaunee,Town Of Luxemburg Wards 1 - 3,State Assembly,1,160,REP,Scattering,0
Kewaunee,Town Of Montpelier Wards 1-3,State Assembly,1,183,REP,Garey Bies,181
Kewaunee,Town Of Montpelier Wards 1-3,State Assembly,1,183,REP,Scattering,2
Kewaunee,Town Of Pierce Wards 1-2,State Assembly,1,85,REP,Garey Bies,85
Kewaunee,Town Of Pierce Wards 1-2,State Assembly,1,85,REP,Scattering,0
Kewaunee,Town Of Red River Wards 1-3,State Assembly,1,120,REP,Garey Bies,119
Kewaunee,Town Of Red River Wards 1-3,State Assembly,1,120,REP,Scattering,1
Kewaunee,Town Of West Kewaunee Wards 1-2,State Assembly,1,140,REP,Garey Bies,139
Kewaunee,Town Of West Kewaunee Wards 1-2,State Assembly,1,140,REP,Scattering,1
Kewaunee,Village Of Casco Ward 1,State Assembly,1,47,REP,Garey Bies,47
Kewaunee,Village Of Casco Ward 1,State Assembly,1,47,REP,Scattering,0
Kewaunee,Village Of Luxemburg Wards 1-5,State Assembly,1,185,REP,Garey Bies,183
Kewaunee,Village Of Luxemburg Wards 1-5,State Assembly,1,185,REP,Scattering,2
Kewaunee,City Of Algoma Wards 1 -6,State Assembly,1,206,REP,Garey Bies,205
Kewaunee,City Of Algoma Wards 1 -6,State Assembly,1,206,REP,Scattering,1
Kewaunee,City Of Kewaunee Wards 1-5,State Assembly,1,223,REP,Garey Bies,222
Kewaunee,City Of Kewaunee Wards 1-5,State Assembly,1,223,REP,Scattering,1
Manitowoc,Town Of Two Creeks Ward 1,State Assembly,1,45,REP,Garey Bies,45
Manitowoc,Town Of Two Creeks Ward 1,State Assembly,1,45,REP,Scattering,0
Brown,Town Of Holland Wards 1 - 2,State Assembly,2,77,REP,Andre Jacque,76
Brown,Town Of Holland Wards 1 - 2,State Assembly,2,77,REP,Scattering,1
Brown,Town Of Lawrence Wards 1 - 6,State Assembly,2,403,REP,Andre Jacque,403
Brown,Town Of Lawrence Wards 1 - 6,State Assembly,2,403,REP,Scattering,0
Brown,Town Of Ledgeview Wards 4-7,State Assembly,2,313,REP,Andre Jacque,311
Brown,Town Of Ledgeview Wards 4-7,State Assembly,2,313,REP,Scattering,2
Brown,Town Of Morrison Wards 1-2,State Assembly,2,203,REP,Andre Jacque,202
Brown,Town Of Morrison Wards 1-2,State Assembly,2,203,REP,Scattering,1
Brown,Town Of New Denmark Wards 1 - 3,State Assembly,2,130,REP,Andre Jacque,130
Brown,Town Of New Denmark Wards 1 - 3,State Assembly,2,130,REP,Scattering,0
Brown,Town Of Rockland Wards 1 - 3,State Assembly,2,198,REP,Andre Jacque,197
Brown,Town Of Rockland Wards 1 - 3,State Assembly,2,198,REP,Scattering,1
Brown,Town Of Wrightstown Wards 1 - 3,State Assembly,2,236,REP,Andre Jacque,236
Brown,Town Of Wrightstown Wards 1 - 3,State Assembly,2,236,REP,Scattering,0
Brown,Village Of Denmark Wards 1 - 3,State Assembly,2,163,REP,Andre Jacque,163
Brown,Village Of Denmark Wards 1 - 3,State Assembly,2,163,REP,Scattering,0
Brown,Village Of Hobart Ward 9,State Assembly,2,0,REP,Andre Jacque,0
Brown,Village Of Hobart Ward 9,State Assembly,2,0,REP,Scattering,0
Brown,Village Of Wrightstown Wards 1-2-3,State Assembly,2,217,REP,Andre Jacque,217
Brown,Village Of Wrightstown Wards 1-2-3,State Assembly,2,217,REP,Scattering,0
Brown,City Of De Pere Ward 5,State Assembly,2,36,REP,Andre Jacque,35
Brown,City Of De Pere Ward 5,State Assembly,2,36,REP,Scattering,1
Brown,City Of De Pere Ward 9,State Assembly,2,72,REP,Andre Jacque,72
Brown,City Of De Pere Ward 9,State Assembly,2,72,REP,Scattering,0
Brown,City Of De Pere Wards 10-12,State Assembly,2,289,REP,Andre Jacque,289
Brown,City Of De Pere Wards 10-12,State Assembly,2,289,REP,Scattering,0
Brown,City Of De Pere Wards 13-15,State Assembly,2,429,REP,Andre Jacque,426
Brown,City Of De Pere Wards 13-15,State Assembly,2,429,REP,Scattering,3
Manitowoc,Town Of Cooperstown Ward 1 & 2,State Assembly,2,129,REP,Andre Jacque,129
Manitowoc,Town Of Cooperstown Ward 1 & 2,State Assembly,2,129,REP,Scattering,0
Manitowoc,Town Of Franklin Ward 1 - 3,State Assembly,2,135,REP,Andre Jacque,135
Manitowoc,Town Of Franklin Ward 1 - 3,State Assembly,2,135,REP,Scattering,0
Manitowoc,Town Of Gibson Ward 1 & 2,State Assembly,2,154,REP,Andre Jacque,153
Manitowoc,Town Of Gibson Ward 1 & 2,State Assembly,2,154,REP,Scattering,1
Manitowoc,Town Of Kossuth Wards 1 - 3,State Assembly,2,217,REP,Andre Jacque,217
Manitowoc,Town Of Kossuth Wards 1 - 3,State Assembly,2,217,REP,Scattering,0
Manitowoc,Town Of Mishicot Wards 1 & 2,State Assembly,2,123,REP,Andre Jacque,123
Manitowoc,Town Of Mishicot Wards 1 & 2,State Assembly,2,123,REP,Scattering,0
Manitowoc,Town Of Two Rivers Ward 1 & 2,State Assembly,2,183,REP,Andre Jacque,183
Manitowoc,Town Of Two Rivers Ward 1 & 2,State Assembly,2,183,REP,Scattering,0
Manitowoc,Village Of Francis Creek Ward 1,State Assembly,2,56,REP,Andre Jacque,55
Manitowoc,Village Of Francis Creek Ward 1,State Assembly,2,56,REP,Scattering,1
Manitowoc,Village Of Kellnersville Ward 1,State Assembly,2,35,REP,Andre Jacque,35
Manitowoc,Village Of Kellnersville Ward 1,State Assembly,2,35,REP,Scattering,0
Manitowoc,Village Of Maribel Ward 1,State Assembly,2,36,REP,Andre Jacque,36
