ADAMS,TOWN OF ADAMS Wards 1-3,US SENATOR - REPUBLICAN,,98,REP,ERIC HOVDE,29.0
ADAMS,TOWN OF ADAMS Wards 1-3,US SENATOR - REPUBLICAN,,98,REP,MARK W. NEUMANN,24.0
ADAMS,TOWN OF ADAMS Wards 1-3,US SENATOR - REPUBLICAN,,98,REP,TOMMY G. THOMPSON,36.0
ADAMS,TOWN OF ADAMS Wards 1-3,US SENATOR - REPUBLICAN,,98,REP,JEFF FITZGERALD,9.0
ADAMS,TOWN OF ADAMS Wards 1-3,US SENATOR - REPUBLICAN,,98,,SCATTERING,0.0
TOWN OF BIG FLATS WARDS 1 & 2,US SENATOR - REPUBLICAN,,82,REP,ERIC HOVDE,28.0
TOWN OF BIG FLATS WARDS 1 & 2,US SENATOR - REPUBLICAN,,82,REP,MARK W. NEUMANN,21.0
TOWN OF BIG FLATS WARDS 1 & 2,US SENATOR - REPUBLICAN,,82,REP,TOMMY G. THOMPSON,22.0
TOWN OF BIG FLATS WARDS 1 & 2,US SENATOR - REPUBLICAN,,82,REP,JEFF FITZGERALD,11.0
TOWN OF BIG FLATS WARDS 1 & 2,US SENATOR - REPUBLICAN,,82,,SCATTERING,0.0
TOWN OF COLBURN WARD 1,US SENATOR - REPUBLICAN,,26,REP,ERIC HOVDE,7.0
TOWN OF COLBURN WARD 1,US SENATOR - REPUBLICAN,,26,REP,MARK W. NEUMANN,8.0
TOWN OF COLBURN WARD 1,US SENATOR - REPUBLICAN,,26,REP,TOMMY G. THOMPSON,8.0
TOWN OF COLBURN WARD 1,US SENATOR - REPUBLICAN,,26,REP,JEFF FITZGERALD,3.0
TOWN OF COLBURN WARD 1,US SENATOR - REPUBLICAN,,26,,SCATTERING,0.0
TOWN OF DELL PRAIRIE WARDS 1-3,US SENATOR - REPUBLICAN,,150,REP,ERIC HOVDE,29.0
TOWN OF DELL PRAIRIE WARDS 1-3,US SENATOR - REPUBLICAN,,150,REP,MARK W. NEUMANN,36.0
TOWN OF DELL PRAIRIE WARDS 1-3,US SENATOR - REPUBLICAN,,150,REP,TOMMY G. THOMPSON,81.0
TOWN OF DELL PRAIRIE WARDS 1-3,US SENATOR - REPUBLICAN,,150,REP,JEFF FITZGERALD,4.0
TOWN OF DELL PRAIRIE WARDS 1-3,US SENATOR - REPUBLICAN,,150,,SCATTERING,0.0
TOWN OF EASTON WARDS 1 & 2,US SENATOR - REPUBLICAN,,85,REP,ERIC HOVDE,13.0
TOWN OF EASTON WARDS 1 & 2,US SENATOR - REPUBLICAN,,85,REP,MARK W. NEUMANN,20.0
TOWN OF EASTON WARDS 1 & 2,US SENATOR - REPUBLICAN,,85,REP,TOMMY G. THOMPSON,40.0
TOWN OF EASTON WARDS 1 & 2,US SENATOR - REPUBLICAN,,85,REP,JEFF FITZGERALD,11.0
TOWN OF EASTON WARDS 1 & 2,US SENATOR - REPUBLICAN,,85,,SCATTERING,1.0
TOWN OF JACKSON WARDS 1 & 2,US SENATOR - REPUBLICAN,,138,REP,ERIC HOVDE,45.0
TOWN OF JACKSON WARDS 1 & 2,US SENATOR - REPUBLICAN,,138,REP,MARK W. NEUMANN,28.0
TOWN OF JACKSON WARDS 1 & 2,US SENATOR - REPUBLICAN,,138,REP,TOMMY G. THOMPSON,55.0
TOWN OF JACKSON WARDS 1 & 2,US SENATOR - REPUBLICAN,,138,REP,JEFF FITZGERALD,10.0
TOWN OF JACKSON WARDS 1 & 2,US SENATOR - REPUBLICAN,,138,,SCATTERING,0.0
TOWN OF LEOLA WARD 1,US SENATOR - REPUBLICAN,,51,REP,ERIC HOVDE,13.0
TOWN OF LEOLA WARD 1,US SENATOR - REPUBLICAN,,51,REP,MARK W. NEUMANN,15.0
TOWN OF LEOLA WARD 1,US SENATOR - REPUBLICAN,,51,REP,TOMMY G. THOMPSON,19.0
TOWN OF LEOLA WARD 1,US SENATOR - REPUBLICAN,,51,REP,JEFF FITZGERALD,4.0
TOWN OF LEOLA WARD 1,US SENATOR - REPUBLICAN,,51,,SCATTERING,0.0
TOWN OF LINCOLN WARD 1,US SENATOR - REPUBLICAN,,34,REP,ERIC HOVDE,12.0
TOWN OF LINCOLN WARD 1,US SENATOR - REPUBLICAN,,34,REP,MARK W. NEUMANN,8.0
TOWN OF LINCOLN WARD 1,US SENATOR - REPUBLICAN,,34,REP,TOMMY G. THOMPSON,11.0
TOWN OF LINCOLN WARD 1,US SENATOR - REPUBLICAN,,34,REP,JEFF FITZGERALD,3.0
TOWN OF LINCOLN WARD 1,US SENATOR - REPUBLICAN,,34,,SCATTERING,0.0
TOWN OF MONROE WARD 1,US SENATOR - REPUBLICAN,,66,REP,ERIC HOVDE,15.0
TOWN OF MONROE WARD 1,US SENATOR - REPUBLICAN,,66,REP,MARK W. NEUMANN,25.0
TOWN OF MONROE WARD 1,US SENATOR - REPUBLICAN,,66,REP,TOMMY G. THOMPSON,23.0
TOWN OF MONROE WARD 1,US SENATOR - REPUBLICAN,,66,REP,JEFF FITZGERALD,3.0
TOWN OF MONROE WARD 1,US SENATOR - REPUBLICAN,,66,,SCATTERING,0.0
TOWN OF NEW CHESTER WARD 1-3,US SENATOR - REPUBLICAN,,77,REP,ERIC HOVDE,15.0
TOWN OF NEW CHESTER WARD 1-3,US SENATOR - REPUBLICAN,,77,REP,MARK W. NEUMANN,18.0
TOWN OF NEW CHESTER WARD 1-3,US SENATOR - REPUBLICAN,,77,REP,TOMMY G. THOMPSON,36.0
TOWN OF NEW CHESTER WARD 1-3,US SENATOR - REPUBLICAN,,77,REP,JEFF FITZGERALD,8.0
TOWN OF NEW CHESTER WARD 1-3,US SENATOR - REPUBLICAN,,77,,SCATTERING,0.0
TOWN OF NEW HAVEN WARD 1,US SENATOR - REPUBLICAN,,77,REP,ERIC HOVDE,13.0
TOWN OF NEW HAVEN WARD 1,US SENATOR - REPUBLICAN,,77,REP,MARK W. NEUMANN,20.0
TOWN OF NEW HAVEN WARD 1,US SENATOR - REPUBLICAN,,77,REP,TOMMY G. THOMPSON,39.0
TOWN OF NEW HAVEN WARD 1,US SENATOR - REPUBLICAN,,77,REP,JEFF FITZGERALD,5.0
TOWN OF NEW HAVEN WARD 1,US SENATOR - REPUBLICAN,,77,,SCATTERING,0.0
