county,ward,office,district,total votes,party,candidate,votes
Milwaukee,Village Of Greendale Wards 1-2,Assembly,82,40,DEM,John R. Hermes,40
Milwaukee,Village Of Greendale Wards 1-2,Assembly,82,40,,Scattering,0
Milwaukee,Village Of Greendale Wards 3-4,Assembly,82,40,DEM,John R. Hermes,37
Milwaukee,Village Of Greendale Wards 3-4,Assembly,82,40,,Scattering,3
Milwaukee,Village Of Greendale Wards 5-6,Assembly,82,51,DEM,John R. Hermes,51
Milwaukee,Village Of Greendale Wards 5-6,Assembly,82,51,,Scattering,0
Milwaukee,Village Of Greendale Wards 7-8,Assembly,82,54,DEM,John R. Hermes,50
Milwaukee,Village Of Greendale Wards 7-8,Assembly,82,54,,Scattering,4
Milwaukee,Village Of Greendale Wards 9-10,Assembly,82,71,DEM,John R. Hermes,71
Milwaukee,Village Of Greendale Wards 9-10,Assembly,82,71,,Scattering,0
Milwaukee,City Of Franklin Ward 1,Assembly,82,0,DEM,John R. Hermes,0
Milwaukee,City Of Franklin Ward 1,Assembly,82,0,,Scattering,0
Milwaukee,City Of Franklin Ward 2,Assembly,82,15,DEM,John R. Hermes,15
Milwaukee,City Of Franklin Ward 2,Assembly,82,15,,Scattering,0
Milwaukee,City Of Franklin Ward 3,Assembly,82,31,DEM,John R. Hermes,31
Milwaukee,City Of Franklin Ward 3,Assembly,82,31,,Scattering,0
Milwaukee,City Of Franklin Ward 4,Assembly,82,6,DEM,John R. Hermes,6
Milwaukee,City Of Franklin Ward 4,Assembly,82,6,,Scattering,0
Milwaukee,City Of Franklin Ward 5,Assembly,82,4,DEM,John R. Hermes,4
Milwaukee,City Of Franklin Ward 5,Assembly,82,4,,Scattering,0
Milwaukee,City Of Franklin Ward 6,Assembly,82,25,DEM,John R. Hermes,25
Milwaukee,City Of Franklin Ward 6,Assembly,82,25,,Scattering,0
Milwaukee,City Of Franklin Ward 7,Assembly,82,25,DEM,John R. Hermes,25
Milwaukee,City Of Franklin Ward 7,Assembly,82,25,,Scattering,0
Milwaukee,City Of Franklin Ward 8,Assembly,82,13,DEM,John R. Hermes,13
Milwaukee,City Of Franklin Ward 8,Assembly,82,13,,Scattering,0
Milwaukee,City Of Franklin Ward 9,Assembly,82,11,DEM,John R. Hermes,11
Milwaukee,City Of Franklin Ward 9,Assembly,82,11,,Scattering,0
Milwaukee,City Of Franklin Ward 10,Assembly,82,6,DEM,John R. Hermes,6
Milwaukee,City Of Franklin Ward 10,Assembly,82,6,,Scattering,0
Milwaukee,City Of Franklin Ward 11,Assembly,82,22,DEM,John R. Hermes,22
Milwaukee,City Of Franklin Ward 11,Assembly,82,22,,Scattering,0
Milwaukee,City Of Franklin Ward 13,Assembly,82,15,DEM,John R. Hermes,14
Milwaukee,City Of Franklin Ward 13,Assembly,82,15,,Scattering,1
Milwaukee,City Of Franklin Ward 14,Assembly,82,10,DEM,John R. Hermes,10
Milwaukee,City Of Franklin Ward 14,Assembly,82,10,,Scattering,0
Milwaukee,City Of Franklin Ward 15A,Assembly,82,6,DEM,John R. Hermes,6
Milwaukee,City Of Franklin Ward 15A,Assembly,82,6,,Scattering,0
Milwaukee,City Of Franklin Ward 16,Assembly,82,9,DEM,John R. Hermes,9
Milwaukee,City Of Franklin Ward 16,Assembly,82,9,,Scattering,0
Milwaukee,City Of Franklin Ward 17,Assembly,82,10,DEM,John R. Hermes,10
Milwaukee,City Of Franklin Ward 17,Assembly,82,10,,Scattering,0
Milwaukee,City Of Franklin Ward 18,Assembly,82,1,DEM,John R. Hermes,1
Milwaukee,City Of Franklin Ward 18,Assembly,82,1,,Scattering,0
Milwaukee,City Of Franklin Ward 19,Assembly,82,20,DEM,John R. Hermes,20
Milwaukee,City Of Franklin Ward 19,Assembly,82,20,,Scattering,0
Milwaukee,City Of Franklin Ward 20,Assembly,82,12,DEM,John R. Hermes,12
Milwaukee,City Of Franklin Ward 20,Assembly,82,12,,Scattering,0
Milwaukee,City Of Franklin Ward 21,Assembly,82,1,DEM,John R. Hermes,1
Milwaukee,City Of Franklin Ward 21,Assembly,82,1,,Scattering,0
Milwaukee,City Of Franklin Ward 22A,Assembly,82,7,DEM,John R. Hermes,7
Milwaukee,City Of Franklin Ward 22A,Assembly,82,7,,Scattering,0
Milwaukee,City Of Franklin Ward 23,Assembly,82,13,DEM,John R. Hermes,13
Milwaukee,City Of Franklin Ward 23,Assembly,82,13,,Scattering,0
Milwaukee,City Of Greenfield Ward 2,Assembly,82,11,DEM,John R. Hermes,11
Milwaukee,City Of Greenfield Ward 2,Assembly,82,11,,Scattering,0
Milwaukee,City Of Greenfield Ward 16,Assembly,82,16,DEM,John R. Hermes,16
Milwaukee,City Of Greenfield Ward 16,Assembly,82,16,,Scattering,0
Milwaukee,City Of Greenfield Ward 17,Assembly,82,41,DEM,John R. Hermes,41
Milwaukee,City Of Greenfield Ward 17,Assembly,82,41,,Scattering,0
Milwaukee,City Of Greenfield Ward 19,Assembly,82,44,DEM,John R. Hermes,44
Milwaukee,City Of Greenfield Ward 19,Assembly,82,44,,Scattering,0
Milwaukee,City Of Greenfield Ward 20,Assembly,82,25,DEM,John R. Hermes,25
Milwaukee,City Of Greenfield Ward 20,Assembly,82,25,,Scattering,0
