county,ward,office,district,total votes,party,candidate,votes
Chippewa,Town Of Anson Wards 1 - 3,Chippewa County Circuit Court,3,493,NP,Robert A. Ferg,119
Chippewa,Town Of Anson Wards 1 - 3,Chippewa County Circuit Court,3,493,NP,Julie Anderl,200
Chippewa,Town Of Anson Wards 1 - 3,Chippewa County Circuit Court,3,493,NP,Steven R. Cray,174
Chippewa,Town Of Anson Wards 1 - 3,Chippewa County Circuit Court,3,493,,Scattering,0
Chippewa,Town Of Arthur,Chippewa County Circuit Court,3,150,NP,Robert A. Ferg,38
Chippewa,Town Of Arthur,Chippewa County Circuit Court,3,150,NP,Julie Anderl,76
Chippewa,Town Of Arthur,Chippewa County Circuit Court,3,150,NP,Steven R. Cray,36
Chippewa,Town Of Arthur,Chippewa County Circuit Court,3,150,,Scattering,0
Chippewa,Town Of Auburn,Chippewa County Circuit Court,3,157,NP,Robert A. Ferg,32
Chippewa,Town Of Auburn,Chippewa County Circuit Court,3,157,NP,Julie Anderl,87
Chippewa,Town Of Auburn,Chippewa County Circuit Court,3,157,NP,Steven R. Cray,38
Chippewa,Town Of Auburn,Chippewa County Circuit Court,3,157,,Scattering,0
Chippewa,Town Of Birch Creek,Chippewa County Circuit Court,3,144,NP,Robert A. Ferg,28
Chippewa,Town Of Birch Creek,Chippewa County Circuit Court,3,144,NP,Julie Anderl,77
Chippewa,Town Of Birch Creek,Chippewa County Circuit Court,3,144,NP,Steven R. Cray,39
Chippewa,Town Of Birch Creek,Chippewa County Circuit Court,3,144,,Scattering,0
Chippewa,Town Of Bloomer,Chippewa County Circuit Court,3,220,NP,Robert A. Ferg,42
Chippewa,Town Of Bloomer,Chippewa County Circuit Court,3,220,NP,Julie Anderl,118
Chippewa,Town Of Bloomer,Chippewa County Circuit Court,3,220,NP,Steven R. Cray,60
Chippewa,Town Of Bloomer,Chippewa County Circuit Court,3,220,,Scattering,0
Chippewa,Town Of Cleveland,Chippewa County Circuit Court,3,180,NP,Robert A. Ferg,35
Chippewa,Town Of Cleveland,Chippewa County Circuit Court,3,180,NP,Julie Anderl,102
Chippewa,Town Of Cleveland,Chippewa County Circuit Court,3,180,NP,Steven R. Cray,43
Chippewa,Town Of Cleveland,Chippewa County Circuit Court,3,180,,Scattering,0
Chippewa,Town Of Colburn,Chippewa County Circuit Court,3,188,NP,Robert A. Ferg,56
Chippewa,Town Of Colburn,Chippewa County Circuit Court,3,188,NP,Julie Anderl,92
Chippewa,Town Of Colburn,Chippewa County Circuit Court,3,188,NP,Steven R. Cray,40
Chippewa,Town Of Colburn,Chippewa County Circuit Court,3,188,,Scattering,0
Chippewa,Town Of Cooks Valley,Chippewa County Circuit Court,3,138,NP,Robert A. Ferg,18
Chippewa,Town Of Cooks Valley,Chippewa County Circuit Court,3,138,NP,Julie Anderl,81
Chippewa,Town Of Cooks Valley,Chippewa County Circuit Court,3,138,NP,Steven R. Cray,39
