county,ward,office,district,totalvotes,party,candidate,votes
Chippewa,Town Of Anson Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,493,NP,Robert A. Ferg,119
Chippewa,Town Of Anson Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,493,NP,Julie Anderl,200
Chippewa,Town Of Anson Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,493,NP,Steven R. Cray,174
Chippewa,Town Of Anson Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,493,,Scattering,0
Chippewa,Town Of Arthur,"Chippewa County Circuit Court, Branch 3",,150,NP,Robert A. Ferg,38
Chippewa,Town Of Arthur,"Chippewa County Circuit Court, Branch 3",,150,NP,Julie Anderl,76
Chippewa,Town Of Arthur,"Chippewa County Circuit Court, Branch 3",,150,NP,Steven R. Cray,36
Chippewa,Town Of Arthur,"Chippewa County Circuit Court, Branch 3",,150,,Scattering,0
Chippewa,Town Of Auburn,"Chippewa County Circuit Court, Branch 3",,157,NP,Robert A. Ferg,32
Chippewa,Town Of Auburn,"Chippewa County Circuit Court, Branch 3",,157,NP,Julie Anderl,87
Chippewa,Town Of Auburn,"Chippewa County Circuit Court, Branch 3",,157,NP,Steven R. Cray,38
Chippewa,Town Of Auburn,"Chippewa County Circuit Court, Branch 3",,157,,Scattering,0
Chippewa,Town Of Birch Creek,"Chippewa County Circuit Court, Branch 3",,144,NP,Robert A. Ferg,28
Chippewa,Town Of Birch Creek,"Chippewa County Circuit Court, Branch 3",,144,NP,Julie Anderl,77
Chippewa,Town Of Birch Creek,"Chippewa County Circuit Court, Branch 3",,144,NP,Steven R. Cray,39
Chippewa,Town Of Birch Creek,"Chippewa County Circuit Court, Branch 3",,144,,Scattering,0
Chippewa,Town Of Bloomer,"Chippewa County Circuit Court, Branch 3",,220,NP,Robert A. Ferg,42
Chippewa,Town Of Bloomer,"Chippewa County Circuit Court, Branch 3",,220,NP,Julie Anderl,118
Chippewa,Town Of Bloomer,"Chippewa County Circuit Court, Branch 3",,220,NP,Steven R. Cray,60
Chippewa,Town Of Bloomer,"Chippewa County Circuit Court, Branch 3",,220,,Scattering,0
Chippewa,Town Of Cleveland,"Chippewa County Circuit Court, Branch 3",,180,NP,Robert A. Ferg,35
Chippewa,Town Of Cleveland,"Chippewa County Circuit Court, Branch 3",,180,NP,Julie Anderl,102
Chippewa,Town Of Cleveland,"Chippewa County Circuit Court, Branch 3",,180,NP,Steven R. Cray,43
Chippewa,Town Of Cleveland,"Chippewa County Circuit Court, Branch 3",,180,,Scattering,0
Chippewa,Town Of Colburn,"Chippewa County Circuit Court, Branch 3",,188,NP,Robert A. Ferg,56
Chippewa,Town Of Colburn,"Chippewa County Circuit Court, Branch 3",,188,NP,Julie Anderl,92
Chippewa,Town Of Colburn,"Chippewa County Circuit Court, Branch 3",,188,NP,Steven R. Cray,40
Chippewa,Town Of Colburn,"Chippewa County Circuit Court, Branch 3",,188,,Scattering,0
Chippewa,Town Of Cooks Valley,"Chippewa County Circuit Court, Branch 3",,138,NP,Robert A. Ferg,18
Chippewa,Town Of Cooks Valley,"Chippewa County Circuit Court, Branch 3",,138,NP,Julie Anderl,81
Chippewa,Town Of Cooks Valley,"Chippewa County Circuit Court, Branch 3",,138,NP,Steven R. Cray,39
Chippewa,Town Of Cooks Valley,"Chippewa County Circuit Court, Branch 3",,138,,Scattering,0
Chippewa,Town Of Delmar,"Chippewa County Circuit Court, Branch 3",,212,NP,Robert A. Ferg,45
Chippewa,Town Of Delmar,"Chippewa County Circuit Court, Branch 3",,212,NP,Julie Anderl,112
Chippewa,Town Of Delmar,"Chippewa County Circuit Court, Branch 3",,212,NP,Steven R. Cray,55
Chippewa,Town Of Delmar,"Chippewa County Circuit Court, Branch 3",,212,,Scattering,0
Chippewa,Town Of Eagle Point Wards 1 - 4,"Chippewa County Circuit Court, Branch 3",,851,NP,Robert A. Ferg,178
Chippewa,Town Of Eagle Point Wards 1 - 4,"Chippewa County Circuit Court, Branch 3",,851,NP,Julie Anderl,351
Chippewa,Town Of Eagle Point Wards 1 - 4,"Chippewa County Circuit Court, Branch 3",,851,NP,Steven R. Cray,321
Chippewa,Town Of Eagle Point Wards 1 - 4,"Chippewa County Circuit Court, Branch 3",,851,,Scattering,1
Chippewa,Town Of Edson,"Chippewa County Circuit Court, Branch 3",,191,NP,Robert A. Ferg,40
Chippewa,Town Of Edson,"Chippewa County Circuit Court, Branch 3",,191,NP,Julie Anderl,110
Chippewa,Town Of Edson,"Chippewa County Circuit Court, Branch 3",,191,NP,Steven R. Cray,41
Chippewa,Town Of Edson,"Chippewa County Circuit Court, Branch 3",,191,,Scattering,0
Chippewa,Town Of Estella,"Chippewa County Circuit Court, Branch 3",,117,NP,Robert A. Ferg,26
Chippewa,Town Of Estella,"Chippewa County Circuit Court, Branch 3",,117,NP,Julie Anderl,69
Chippewa,Town Of Estella,"Chippewa County Circuit Court, Branch 3",,117,NP,Steven R. Cray,22
Chippewa,Town Of Estella,"Chippewa County Circuit Court, Branch 3",,117,,Scattering,0
Chippewa,Town Of Goetz Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,177,NP,Robert A. Ferg,36
Chippewa,Town Of Goetz Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,177,NP,Julie Anderl,94
Chippewa,Town Of Goetz Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,177,NP,Steven R. Cray,47
Chippewa,Town Of Goetz Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,177,,Scattering,0
Chippewa,Town Of Hallie Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,65,NP,Robert A. Ferg,15
Chippewa,Town Of Hallie Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,65,NP,Julie Anderl,32
Chippewa,Town Of Hallie Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,65,NP,Steven R. Cray,18
Chippewa,Town Of Hallie Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,65,,Scattering,0
Chippewa,Town Of Howard,"Chippewa County Circuit Court, Branch 3",,152,NP,Robert A. Ferg,17
Chippewa,Town Of Howard,"Chippewa County Circuit Court, Branch 3",,152,NP,Julie Anderl,85
Chippewa,Town Of Howard,"Chippewa County Circuit Court, Branch 3",,152,NP,Steven R. Cray,50
Chippewa,Town Of Howard,"Chippewa County Circuit Court, Branch 3",,152,,Scattering,0
Chippewa,Town Of Lafayette Wards 1 - 7,"Chippewa County Circuit Court, Branch 3",,1525,NP,Robert A. Ferg,275
Chippewa,Town Of Lafayette Wards 1 - 7,"Chippewa County Circuit Court, Branch 3",,1525,NP,Julie Anderl,626
Chippewa,Town Of Lafayette Wards 1 - 7,"Chippewa County Circuit Court, Branch 3",,1525,NP,Steven R. Cray,624
Chippewa,Town Of Lafayette Wards 1 - 7,"Chippewa County Circuit Court, Branch 3",,1525,,Scattering,0
Chippewa,Town Of Lake Holcombe Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,263,NP,Robert A. Ferg,36
Chippewa,Town Of Lake Holcombe Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,263,NP,Julie Anderl,154
Chippewa,Town Of Lake Holcombe Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,263,NP,Steven R. Cray,73
Chippewa,Town Of Lake Holcombe Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,263,,Scattering,0
Chippewa,Town Of Ruby,"Chippewa County Circuit Court, Branch 3",,79,NP,Robert A. Ferg,23
Chippewa,Town Of Ruby,"Chippewa County Circuit Court, Branch 3",,79,NP,Julie Anderl,44
Chippewa,Town Of Ruby,"Chippewa County Circuit Court, Branch 3",,79,NP,Steven R. Cray,12
Chippewa,Town Of Ruby,"Chippewa County Circuit Court, Branch 3",,79,,Scattering,0
Chippewa,Town Of Sampson,"Chippewa County Circuit Court, Branch 3",,217,NP,Robert A. Ferg,39
Chippewa,Town Of Sampson,"Chippewa County Circuit Court, Branch 3",,217,NP,Julie Anderl,114
Chippewa,Town Of Sampson,"Chippewa County Circuit Court, Branch 3",,217,NP,Steven R. Cray,64
Chippewa,Town Of Sampson,"Chippewa County Circuit Court, Branch 3",,217,,Scattering,0
Chippewa,Town Of Sigel Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,208,NP,Robert A. Ferg,31
Chippewa,Town Of Sigel Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,208,NP,Julie Anderl,101
Chippewa,Town Of Sigel Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,208,NP,Steven R. Cray,74
Chippewa,Town Of Sigel Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,208,,Scattering,2
Chippewa,Town Of Tilden Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,377,NP,Robert A. Ferg,76
Chippewa,Town Of Tilden Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,377,NP,Julie Anderl,187
Chippewa,Town Of Tilden Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,377,NP,Steven R. Cray,114
Chippewa,Town Of Tilden Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,377,,Scattering,0
Chippewa,Town Of Wheaton Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,612,NP,Robert A. Ferg,121
Chippewa,Town Of Wheaton Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,612,NP,Julie Anderl,291
Chippewa,Town Of Wheaton Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,612,NP,Steven R. Cray,199
Chippewa,Town Of Wheaton Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,612,,Scattering,1
Chippewa,Town Of Woodmohr Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,233,NP,Robert A. Ferg,38
Chippewa,Town Of Woodmohr Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,233,NP,Julie Anderl,136
Chippewa,Town Of Woodmohr Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,233,NP,Steven R. Cray,59
Chippewa,Town Of Woodmohr Wards 1 - 3,"Chippewa County Circuit Court, Branch 3",,233,,Scattering,0
Chippewa,Village Of Boyd,"Chippewa County Circuit Court, Branch 3",,163,NP,Robert A. Ferg,30
Chippewa,Village Of Boyd,"Chippewa County Circuit Court, Branch 3",,163,NP,Julie Anderl,98
Chippewa,Village Of Boyd,"Chippewa County Circuit Court, Branch 3",,163,NP,Steven R. Cray,35
Chippewa,Village Of Boyd,"Chippewa County Circuit Court, Branch 3",,163,,Scattering,0
Chippewa,Village Of Cadott Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,281,NP,Robert A. Ferg,63
Chippewa,Village Of Cadott Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,281,NP,Julie Anderl,140
Chippewa,Village Of Cadott Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,281,NP,Steven R. Cray,77
Chippewa,Village Of Cadott Wards 1 & 2,"Chippewa County Circuit Court, Branch 3",,281,,Scattering,1
