county,ward,office,district,total votes,party,candidate,votes
Winnebago,Town Of Algoma Wards 1 - 12,"Winnebago County Circuit Court, Branch 4",,469,NP,Len Kachinsky,46
Winnebago,Town Of Algoma Wards 1 - 12,"Winnebago County Circuit Court, Branch 4",,469,NP,William M. Lennon,111
Winnebago,Town Of Algoma Wards 1 - 12,"Winnebago County Circuit Court, Branch 4",,469,NP,Karen L. Seifert,311
Winnebago,Town Of Algoma Wards 1 - 12,"Winnebago County Circuit Court, Branch 4",,469,,Scattering,1
Winnebago,Town Of Black Wolf Wards 1 - 3,"Winnebago County Circuit Court, Branch 4",,200,NP,Len Kachinsky,29
Winnebago,Town Of Black Wolf Wards 1 - 3,"Winnebago County Circuit Court, Branch 4",,200,NP,William M. Lennon,44
Winnebago,Town Of Black Wolf Wards 1 - 3,"Winnebago County Circuit Court, Branch 4",,200,NP,Karen L. Seifert,127
Winnebago,Town Of Black Wolf Wards 1 - 3,"Winnebago County Circuit Court, Branch 4",,200,,Scattering,0
Winnebago,Town Of Clayton Wards 1 - 4,"Winnebago County Circuit Court, Branch 4",,182,NP,Len Kachinsky,31
Winnebago,Town Of Clayton Wards 1 - 4,"Winnebago County Circuit Court, Branch 4",,182,NP,William M. Lennon,17
Winnebago,Town Of Clayton Wards 1 - 4,"Winnebago County Circuit Court, Branch 4",,182,NP,Karen L. Seifert,134
Winnebago,Town Of Clayton Wards 1 - 4,"Winnebago County Circuit Court, Branch 4",,182,,Scattering,0
Winnebago,"Town Of Menasha Wards 1, 5 & 6","Winnebago County Circuit Court, Branch 4",,244,NP,Len Kachinsky,109
Winnebago,"Town Of Menasha Wards 1, 5 & 6","Winnebago County Circuit Court, Branch 4",,244,NP,William M. Lennon,27
Winnebago,"Town Of Menasha Wards 1, 5 & 6","Winnebago County Circuit Court, Branch 4",,244,NP,Karen L. Seifert,107
Winnebago,"Town Of Menasha Wards 1, 5 & 6","Winnebago County Circuit Court, Branch 4",,244,,Scattering,1
