county,ward,office,district,total votes,party,candidate,votes
Adams,Town Of Adams Wards 1 & 2,Supreme Court,,67,NP,Patrick Crooks,67
Adams,Town Of Adams Wards 1 & 2,Supreme Court,,67,,Scattering,0
Adams,Town Of Big Flats,Supreme Court,,58,NP,Patrick Crooks,58
Adams,Town Of Big Flats,Supreme Court,,58,,Scattering,0
Adams,Town Of Colburn,Supreme Court,,24,NP,Patrick Crooks,24
Adams,Town Of Colburn,Supreme Court,,24,,Scattering,0
Adams,Town Of Dell Prairie Wards 1 & 2,Supreme Court,,58,NP,Patrick Crooks,58
Adams,Town Of Dell Prairie Wards 1 & 2,Supreme Court,,58,,Scattering,0
Adams,Town Of Easton Wards 1 & 2,Supreme Court,,59,NP,Patrick Crooks,59
Adams,Town Of Easton Wards 1 & 2,Supreme Court,,59,,Scattering,0
Adams,Town Of Jackson,Supreme Court,,38,NP,Patrick Crooks,38
Adams,Town Of Jackson,Supreme Court,,38,,Scattering,0
Adams,Town Of Leola,Supreme Court,,53,NP,Patrick Crooks,53
Adams,Town Of Leola,Supreme Court,,53,,Scattering,0
Adams,Town Of Lincoln,Supreme Court,,29,NP,Patrick Crooks,29
Adams,Town Of Lincoln,Supreme Court,,29,,Scattering,0
Adams,Town Of Monroe,Supreme Court,,33,NP,Patrick Crooks,33
Adams,Town Of Monroe,Supreme Court,,33,,Scattering,0
Adams,Town Of New Chester Wards 1 & 2,Supreme Court,,38,NP,Patrick Crooks,38
Adams,Town Of New Chester Wards 1 & 2,Supreme Court,,38,,Scattering,0
Adams,Town Of New Haven,Supreme Court,,55,NP,Patrick Crooks,55
Adams,Town Of New Haven,Supreme Court,,55,,Scattering,0
Adams,Town Of Preston Wards 1 - 3,Supreme Court,,106,NP,Patrick Crooks,106
Adams,Town Of Preston Wards 1 - 3,Supreme Court,,106,,Scattering,0
Adams,Town Of Quincy Wards 1 & 2,Supreme Court,,61,NP,Patrick Crooks,60
Adams,Town Of Quincy Wards 1 & 2,Supreme Court,,61,,Scattering,1
Adams,Town Of Richfield,Supreme Court,,11,NP,Patrick Crooks,11
Adams,Town Of Richfield,Supreme Court,,11,,Scattering,0
