county,ward,office,district,total votes,party,candidate,votes
Waukesha,"Town Of Delafield Wards 1, 2, 5 & 6",State Assembly,33,229,DEM,Patrick Byrne,68
Waukesha,"Town Of Delafield Wards 1, 2, 5 & 6",State Assembly,33,229,REP,Scott Newcomer,159
Waukesha,"Town Of Delafield Wards 1, 2, 5 & 6",State Assembly,33,229,,Scattering,2
Waukesha,Town Of Delafield Wards 3 & 4,State Assembly,33,121,DEM,Patrick Byrne,37
Waukesha,Town Of Delafield Wards 3 & 4,State Assembly,33,121,REP,Scott Newcomer,84
Waukesha,Town Of Delafield Wards 3 & 4,State Assembly,33,121,,Scattering,0
Waukesha,Town Of Delafield Wards 7 & 8,State Assembly,33,120,DEM,Patrick Byrne,34
Waukesha,Town Of Delafield Wards 7 & 8,State Assembly,33,120,REP,Scott Newcomer,84
Waukesha,Town Of Delafield Wards 7 & 8,State Assembly,33,120,,Scattering,2
Waukesha,Town Of Delafield Wards 9 - 11,State Assembly,33,184,DEM,Patrick Byrne,57
Waukesha,Town Of Delafield Wards 9 - 11,State Assembly,33,184,REP,Scott Newcomer,127
Waukesha,Town Of Delafield Wards 9 - 11,State Assembly,33,184,,Scattering,0
Waukesha,Town Of Genesee Wards 1 - 5,State Assembly,33,209,DEM,Patrick Byrne,75
Waukesha,Town Of Genesee Wards 1 - 5,State Assembly,33,209,REP,Scott Newcomer,134
Waukesha,Town Of Genesee Wards 1 - 5,State Assembly,33,209,,Scattering,0
Waukesha,Town Of Genesee Wards 6 - 10,State Assembly,33,225,DEM,Patrick Byrne,80
Waukesha,Town Of Genesee Wards 6 - 10,State Assembly,33,225,REP,Scott Newcomer,144
Waukesha,Town Of Genesee Wards 6 - 10,State Assembly,33,225,,Scattering,1
Waukesha,"Town Of Mukwonago Wards 1, 2, 4 - 10",State Assembly,33,305,DEM,Patrick Byrne,83
Waukesha,"Town Of Mukwonago Wards 1, 2, 4 - 10",State Assembly,33,305,REP,Scott Newcomer,222
Waukesha,"Town Of Mukwonago Wards 1, 2, 4 - 10",State Assembly,33,305,,Scattering,0
Waukesha,"Town Of Waukesha Wards 3, 7 & 8",State Assembly,33,130,DEM,Patrick Byrne,31
Waukesha,"Town Of Waukesha Wards 3, 7 & 8",State Assembly,33,130,REP,Scott Newcomer,99
Waukesha,"Town Of Waukesha Wards 3, 7 & 8",State Assembly,33,130,,Scattering,0
Waukesha,Village Of Chenequa,State Assembly,33,80,DEM,Patrick Byrne,11
Waukesha,Village Of Chenequa,State Assembly,33,80,REP,Scott Newcomer,69
Waukesha,Village Of Chenequa,State Assembly,33,80,,Scattering,0
Waukesha,Village Of Hartland Wards 1 - 7,State Assembly,33,342,DEM,Patrick Byrne,160
Waukesha,Village Of Hartland Wards 1 - 7,State Assembly,33,342,REP,Scott Newcomer,181
Waukesha,Village Of Hartland Wards 1 - 7,State Assembly,33,342,,Scattering,1
Waukesha,Village Of Hartland Wards 8 - 13,State Assembly,33,210,DEM,Patrick Byrne,97
Waukesha,Village Of Hartland Wards 8 - 13,State Assembly,33,210,REP,Scott Newcomer,112
Waukesha,Village Of Hartland Wards 8 - 13,State Assembly,33,210,,Scattering,1
Waukesha,Village Of Mukwonago Ward 10,State Assembly,33,0,DEM,Patrick Byrne,0
Waukesha,Village Of Mukwonago Ward 10,State Assembly,33,0,REP,Scott Newcomer,0
Waukesha,Village Of Mukwonago Ward 10,State Assembly,33,0,,Scattering,0
Waukesha,Village Of Nashotah Wards 1 & 2,State Assembly,33,106,DEM,Patrick Byrne,31
Waukesha,Village Of Nashotah Wards 1 & 2,State Assembly,33,106,REP,Scott Newcomer,75
Waukesha,Village Of Nashotah Wards 1 & 2,State Assembly,33,106,,Scattering,0
Waukesha,Village Of North Prairie Wards 1 - 3,State Assembly,33,115,DEM,Patrick Byrne,38
Waukesha,Village Of North Prairie Wards 1 - 3,State Assembly,33,115,REP,Scott Newcomer,77
Waukesha,Village Of North Prairie Wards 1 - 3,State Assembly,33,115,,Scattering,0
Waukesha,Village Of Wales Wards 1 - 3,State Assembly,33,244,DEM,Patrick Byrne,99
Waukesha,Village Of Wales Wards 1 - 3,State Assembly,33,244,REP,Scott Newcomer,145
Waukesha,Village Of Wales Wards 1 - 3,State Assembly,33,244,,Scattering,0
