county,ward,office,district,total votes,party,candidate,votes
Adams,Town Of Adams Wards 1 & 2,State Superintendent Of Public Instruction,,92,NP,Gregg Underheim,32
Adams,Town Of Adams Wards 1 & 2,State Superintendent Of Public Instruction,,92,NP,Elizabeth Burmaster,60
Adams,Town Of Adams Wards 1 & 2,State Superintendent Of Public Instruction,,92,,Scattering,0
Adams,Town Of Big Flats,State Superintendent Of Public Instruction,,216,NP,Gregg Underheim,86
Adams,Town Of Big Flats,State Superintendent Of Public Instruction,,216,NP,Elizabeth Burmaster,130
Adams,Town Of Big Flats,State Superintendent Of Public Instruction,,216,,Scattering,0
Adams,Town Of Colburn,State Superintendent Of Public Instruction,,26,NP,Gregg Underheim,6
Adams,Town Of Colburn,State Superintendent Of Public Instruction,,26,NP,Elizabeth Burmaster,20
Adams,Town Of Colburn,State Superintendent Of Public Instruction,,26,,Scattering,0
Adams,Town Of Dell Prairie Wards 1 & 2,State Superintendent Of Public Instruction,,211,NP,Gregg Underheim,93
Adams,Town Of Dell Prairie Wards 1 & 2,State Superintendent Of Public Instruction,,211,NP,Elizabeth Burmaster,118
Adams,Town Of Dell Prairie Wards 1 & 2,State Superintendent Of Public Instruction,,211,,Scattering,0
Adams,Town Of Easton Wards 1 & 2,State Superintendent Of Public Instruction,,97,NP,Gregg Underheim,38
Adams,Town Of Easton Wards 1 & 2,State Superintendent Of Public Instruction,,97,NP,Elizabeth Burmaster,59
Adams,Town Of Easton Wards 1 & 2,State Superintendent Of Public Instruction,,97,,Scattering,0
Adams,Town Of Jackson,State Superintendent Of Public Instruction,,171,NP,Gregg Underheim,82
Adams,Town Of Jackson,State Superintendent Of Public Instruction,,171,NP,Elizabeth Burmaster,89
Adams,Town Of Jackson,State Superintendent Of Public Instruction,,171,,Scattering,0
Adams,Town Of Leola,State Superintendent Of Public Instruction,,79,NP,Gregg Underheim,31
Adams,Town Of Leola,State Superintendent Of Public Instruction,,79,NP,Elizabeth Burmaster,48
Adams,Town Of Leola,State Superintendent Of Public Instruction,,79,,Scattering,0
Adams,Town Of Lincoln,State Superintendent Of Public Instruction,,36,NP,Gregg Underheim,21
Adams,Town Of Lincoln,State Superintendent Of Public Instruction,,36,NP,Elizabeth Burmaster,15
Adams,Town Of Lincoln,State Superintendent Of Public Instruction,,36,,Scattering,0
Adams,Town Of Monroe,State Superintendent Of Public Instruction,,92,NP,Gregg Underheim,35
Adams,Town Of Monroe,State Superintendent Of Public Instruction,,92,NP,Elizabeth Burmaster,57
Adams,Town Of Monroe,State Superintendent Of Public Instruction,,92,,Scattering,0
Adams,Town Of New Chester Wards 1 & 2,State Superintendent Of Public Instruction,,132,NP,Gregg Underheim,43
Adams,Town Of New Chester Wards 1 & 2,State Superintendent Of Public Instruction,,132,NP,Elizabeth Burmaster,89
Adams,Town Of New Chester Wards 1 & 2,State Superintendent Of Public Instruction,,132,,Scattering,0
