county,ward,office,district,total votes,party,candidate,votes
Adams,Town Of Adams Ward 1-3,State Superintendent Of Public Instruction,,64,NP,Tony Evers,40
Adams,Town Of Adams Ward 1-3,State Superintendent Of Public Instruction,,64,NP,Lowell E. Holtz,15
Adams,Town Of Adams Ward 1-3,State Superintendent Of Public Instruction,,64,NP,John Humphries,9
Adams,Town Of Adams Ward 1-3,State Superintendent Of Public Instruction,,64,NP,Rick Melcher (Write-In),0
Adams,Town Of Adams Ward 1-3,State Superintendent Of Public Instruction,,64,,Scattering,0
Adams,Town Of Big Flats Ward 1-2,State Superintendent Of Public Instruction,,35,NP,Tony Evers,23
Adams,Town Of Big Flats Ward 1-2,State Superintendent Of Public Instruction,,35,NP,Lowell E. Holtz,5
Adams,Town Of Big Flats Ward 1-2,State Superintendent Of Public Instruction,,35,NP,John Humphries,7
Adams,Town Of Big Flats Ward 1-2,State Superintendent Of Public Instruction,,35,NP,Rick Melcher (Write-In),0
Adams,Town Of Big Flats Ward 1-2,State Superintendent Of Public Instruction,,35,,Scattering,0
Adams,Town Of Colburn Ward 1,State Superintendent Of Public Instruction,,11,NP,Tony Evers,5
Adams,Town Of Colburn Ward 1,State Superintendent Of Public Instruction,,11,NP,Lowell E. Holtz,3
Adams,Town Of Colburn Ward 1,State Superintendent Of Public Instruction,,11,NP,John Humphries,1
Adams,Town Of Colburn Ward 1,State Superintendent Of Public Instruction,,11,NP,Rick Melcher (Write-In),2
Adams,Town Of Colburn Ward 1,State Superintendent Of Public Instruction,,11,,Scattering,0
Adams,Town Of Dell Prairie Ward 1-3,State Superintendent Of Public Instruction,,62,NP,Tony Evers,37
Adams,Town Of Dell Prairie Ward 1-3,State Superintendent Of Public Instruction,,62,NP,Lowell E. Holtz,21
Adams,Town Of Dell Prairie Ward 1-3,State Superintendent Of Public Instruction,,62,NP,John Humphries,4
Adams,Town Of Dell Prairie Ward 1-3,State Superintendent Of Public Instruction,,62,NP,Rick Melcher (Write-In),0
Adams,Town Of Dell Prairie Ward 1-3,State Superintendent Of Public Instruction,,62,,Scattering,0
Adams,Town Of Easton Ward 1-2,State Superintendent Of Public Instruction,,45,NP,Tony Evers,29
Adams,Town Of Easton Ward 1-2,State Superintendent Of Public Instruction,,45,NP,Lowell E. Holtz,12
Adams,Town Of Easton Ward 1-2,State Superintendent Of Public Instruction,,45,NP,John Humphries,4
Adams,Town Of Easton Ward 1-2,State Superintendent Of Public Instruction,,45,NP,Rick Melcher (Write-In),0
Adams,Town Of Easton Ward 1-2,State Superintendent Of Public Instruction,,45,,Scattering,0
Adams,Town Of Jackson Ward 1-2,State Superintendent Of Public Instruction,,70,NP,Tony Evers,37
Adams,Town Of Jackson Ward 1-2,State Superintendent Of Public Instruction,,70,NP,Lowell E. Holtz,28
Adams,Town Of Jackson Ward 1-2,State Superintendent Of Public Instruction,,70,NP,John Humphries,5
Adams,Town Of Jackson Ward 1-2,State Superintendent Of Public Instruction,,70,NP,Rick Melcher (Write-In),0
Adams,Town Of Jackson Ward 1-2,State Superintendent Of Public Instruction,,70,,Scattering,0
Adams,Town Of Leola Ward 1,State Superintendent Of Public Instruction,,19,NP,Tony Evers,4
Adams,Town Of Leola Ward 1,State Superintendent Of Public Instruction,,19,NP,Lowell E. Holtz,13
Adams,Town Of Leola Ward 1,State Superintendent Of Public Instruction,,19,NP,John Humphries,2
Adams,Town Of Leola Ward 1,State Superintendent Of Public Instruction,,19,NP,Rick Melcher (Write-In),0
Adams,Town Of Leola Ward 1,State Superintendent Of Public Instruction,,19,,Scattering,0
Adams,Town Of Lincoln Ward 1,State Superintendent Of Public Instruction,,35,NP,Tony Evers,18
Adams,Town Of Lincoln Ward 1,State Superintendent Of Public Instruction,,35,NP,Lowell E. Holtz,13
Adams,Town Of Lincoln Ward 1,State Superintendent Of Public Instruction,,35,NP,John Humphries,4
Adams,Town Of Lincoln Ward 1,State Superintendent Of Public Instruction,,35,NP,Rick Melcher (Write-In),0
Adams,Town Of Lincoln Ward 1,State Superintendent Of Public Instruction,,35,,Scattering,0
Adams,Town Of Monroe Ward 1,State Superintendent Of Public Instruction,,16,NP,Tony Evers,5
Adams,Town Of Monroe Ward 1,State Superintendent Of Public Instruction,,16,NP,Lowell E. Holtz,9
Adams,Town Of Monroe Ward 1,State Superintendent Of Public Instruction,,16,NP,John Humphries,2
Adams,Town Of Monroe Ward 1,State Superintendent Of Public Instruction,,16,NP,Rick Melcher (Write-In),0
Adams,Town Of Monroe Ward 1,State Superintendent Of Public Instruction,,16,,Scattering,0
Adams,Town Of New Chester Ward 1-3,State Superintendent Of Public Instruction,,31,NP,Tony Evers,23
Adams,Town Of New Chester Ward 1-3,State Superintendent Of Public Instruction,,31,NP,Lowell E. Holtz,7
Adams,Town Of New Chester Ward 1-3,State Superintendent Of Public Instruction,,31,NP,John Humphries,1
Adams,Town Of New Chester Ward 1-3,State Superintendent Of Public Instruction,,31,NP,Rick Melcher (Write-In),0
Adams,Town Of New Chester Ward 1-3,State Superintendent Of Public Instruction,,31,,Scattering,0
Adams,Town Of New Haven Ward 1,State Superintendent Of Public Instruction,,53,NP,Tony Evers,36
Adams,Town Of New Haven Ward 1,State Superintendent Of Public Instruction,,53,NP,Lowell E. Holtz,14
Adams,Town Of New Haven Ward 1,State Superintendent Of Public Instruction,,53,NP,John Humphries,3
Adams,Town Of New Haven Ward 1,State Superintendent Of Public Instruction,,53,NP,Rick Melcher (Write-In),0
Adams,Town Of New Haven Ward 1,State Superintendent Of Public Instruction,,53,,Scattering,0
Adams,Town Of Preston Ward 1-2,State Superintendent Of Public Instruction,,71,NP,Tony Evers,50
Adams,Town Of Preston Ward 1-2,State Superintendent Of Public Instruction,,71,NP,Lowell E. Holtz,16
Adams,Town Of Preston Ward 1-2,State Superintendent Of Public Instruction,,71,NP,John Humphries,4
Adams,Town Of Preston Ward 1-2,State Superintendent Of Public Instruction,,71,NP,Rick Melcher (Write-In),1
Adams,Town Of Preston Ward 1-2,State Superintendent Of Public Instruction,,71,,Scattering,0
Adams,Town Of Quincy Ward 1-3,State Superintendent Of Public Instruction,,42,NP,Tony Evers,28
Adams,Town Of Quincy Ward 1-3,State Superintendent Of Public Instruction,,42,NP,Lowell E. Holtz,10
Adams,Town Of Quincy Ward 1-3,State Superintendent Of Public Instruction,,42,NP,John Humphries,4
Adams,Town Of Quincy Ward 1-3,State Superintendent Of Public Instruction,,42,NP,Rick Melcher (Write-In),0
Adams,Town Of Quincy Ward 1-3,State Superintendent Of Public Instruction,,42,,Scattering,0
Adams,Town Of Richfield Ward 1,State Superintendent Of Public Instruction,,5,NP,Tony Evers,3
Adams,Town Of Richfield Ward 1,State Superintendent Of Public Instruction,,5,NP,Lowell E. Holtz,2
Adams,Town Of Richfield Ward 1,State Superintendent Of Public Instruction,,5,NP,John Humphries,0
Adams,Town Of Richfield Ward 1,State Superintendent Of Public Instruction,,5,NP,Rick Melcher (Write-In),0
Adams,Town Of Richfield Ward 1,State Superintendent Of Public Instruction,,5,,Scattering,0
Adams,Town Of Rome Ward 1-5,State Superintendent Of Public Instruction,,114,NP,Tony Evers,74
Adams,Town Of Rome Ward 1-5,State Superintendent Of Public Instruction,,114,NP,Lowell E. Holtz,23
Adams,Town Of Rome Ward 1-5,State Superintendent Of Public Instruction,,114,NP,John Humphries,17
Adams,Town Of Rome Ward 1-5,State Superintendent Of Public Instruction,,114,NP,Rick Melcher (Write-In),0
Adams,Town Of Rome Ward 1-5,State Superintendent Of Public Instruction,,114,,Scattering,0
Adams,Town Of Springville Ward 1-2,State Superintendent Of Public Instruction,,47,NP,Tony Evers,19
Adams,Town Of Springville Ward 1-2,State Superintendent Of Public Instruction,,47,NP,Lowell E. Holtz,18
Adams,Town Of Springville Ward 1-2,State Superintendent Of Public Instruction,,47,NP,John Humphries,10
Adams,Town Of Springville Ward 1-2,State Superintendent Of Public Instruction,,47,NP,Rick Melcher (Write-In),0
Adams,Town Of Springville Ward 1-2,State Superintendent Of Public Instruction,,47,,Scattering,0
Adams,Town Of Strongs Prairie Wards 1-3,State Superintendent Of Public Instruction,,55,NP,Tony Evers,32
Adams,Town Of Strongs Prairie Wards 1-3,State Superintendent Of Public Instruction,,55,NP,Lowell E. Holtz,19
Adams,Town Of Strongs Prairie Wards 1-3,State Superintendent Of Public Instruction,,55,NP,John Humphries,3
