. ,"","","","","","","","","","","","",""
"","","",y ,saks,"","","","","","","","",""
a lte W  r,tern ,"",thn n o ,isauli,"",e. tJr ob,"","","",b is o am,"","",tactrngie
Brighton Town Wards 1 - 3 , 6 , 12 , 18 , 0
Bristol Town Wards 1 - 4 & 8 , 16 , 32 , 40 , 0
Bristol Town Wards 5 - 7 , 13 , 16 , 19 , 0
Paris Town Wards 1 & 2 , 12 , 35 , 18 , 0
Randall Town Wards 1 - 5 , 8 , 30 , 26 , 0
Salem Town Wards 1 - 15 , 86 , 99 , 191 , 3
Somers Town Wards 1 - 4 , 26 , 77 , 36 , 0
Somers Town Wards 5 - 8 & 12 , 38 , 77 , 51 , 0
Somers Town Wards 9 - 11 , 25 , 58 , 27 , 0
Wheatland Town Wards 1 - 5 , 13 , 23 , 29 , 0
Genoa City Village Ward 4 , 0 , 0 , 0 , 0
Paddock Lake Village Wards 1 - 5 , 12 , 34 , 34 , 0
Pleasant Prairie Village Wards 1 - 3 , 24 , 56 , 43 , 0
Pleasant Prairie Village Wards 4 & 5 , 20 , 23 , 25 , 0
Pleasant Prairie Village Wards 6 & 7 , 28 , 68 , 80 , 0
Pleasant Prairie Village Wards 8 - 11 , 21 , 79 , 73 , 0
Pleasant Prairie Village Wards 12 & 13 , 26 , 65 , 76 , 2
Silver Lake Village Wards 1 - 3 , 10 , 17 , 33 , 0
Twin Lakes Village Wards 1 - 7 , 24 , 26 , 50 , 0
Kenosha City Ward 1 , 10 , 30 , 36 , 0
Kenosha City Ward 2 , 10 , 43 , 31 , 0
Kenosha City Ward 3 , 9 , 45 , 27 , 0
Kenosha City Ward 4 , 21 , 63 , 75 , 0
Kenosha City Ward 5 , 34 , 116 , 79 , 0
Kenosha City Ward 6 , 21 , 45 , 49 , 0
Kenosha City Ward 7 , 12 , 71 , 70 , 0
Kenosha City Ward 8 , 29 , 59 , 54 , 0
Kenosha City Ward 9 , 25 , 111 , 68 , 0
. ,"","","","","","",k sa,"",.,"","","",g
a ltW re ,t nre ,"","",n thon y,"","",i a u s ils,"",ob e r t J ,o is b am ,"","",actteirn
Kenosha City Ward 10 , 14 , 51 , 30 , 0
Kenosha City Ward 11 , 21 , 67 , 54 , 0
Kenosha City Ward 12 , 19 , 38 , 45 , 0
Kenosha City Ward 13 , 12 , 24 , 24 , 0
Kenosha City Ward 14 , 5 , 18 , 7 , 0
Kenosha City Ward 15 , 8 , 10 , 17 , 0
Kenosha City Ward 16 , 6 , 15 , 17 , 0
Kenosha City Ward 17 , 18 , 53 , 58 , 0
Kenosha City Ward 18 , 16 , 25 , 30 , 0
Kenosha City Ward 19 , 12 , 20 , 11 , 0
Kenosha City Ward 20 , 8 , 18 , 10 , 0
Kenosha City Ward 21 , 19 , 40 , 35 , 0
Kenosha City Ward 22 , 5 , 22 , 19 , 0
Kenosha City Ward 23 , 14 , 21 , 20 , 0
Kenosha City Ward 24 , 19 , 38 , 31 , 0
Kenosha City Ward 25 , 31 , 73 , 74 , 0
Kenosha City Ward 26 , 23 , 64 , 57 , 0
Kenosha City Ward 27 , 27 , 77 , 72 , 0
Kenosha City Ward 28 , 18 , 68 , 50 , 0
Kenosha City Ward 29 , 24 , 102 , 77 , 0
Kenosha City Ward 30 , 9 , 52 , 36 , 0
Kenosha City Ward 31 , 13 , 42 , 44 , 0
Kenosha City Ward 32 , 8 , 29 , 31 , 0
Kenosha City Ward 33 , 14 , 29 , 31 , 0
Kenosha City Ward 34 , 9 , 21 , 15 , 0
Kenosha City Ward 35 , 0 , 0 , 0 , 0
Kenosha City Ward 36 , 2 , 1 , 0 , 0
Kenosha City Ward 37 , 0 , 0 , 0 , 0
. ,"","","","","","","","","","","","","","","","","","",""
"","","","","","",y ,"",sk ,"","","","","","","","","","",""
a W  rlte ,"","",t re n,"","",n thn o ,"",l iiasasu.J,"","",obt e r ,"","","",b iosam ,"","","",cattringe
Kenosha City Ward 38 , 0 , 0 , 0 , 0
Kenosha City Ward 39 , 4 , 1 , 1 , 0
Kenosha City Ward 40 , 0 , 0 , 2 , 0
Kenosha City Ward 41 , 0 , 0 , 0 , 0
Kenosha City Ward 42 , 0 , 0 , 0 , 0
Kenosha City Ward 43 , 0 , 0 , 0 , 0
Kenosha City Ward 44 , 0 , 0 , 0 , 0
Kenosha City Ward 45 , 0 , 0 , 0 , 0
Kenosha City Ward 46 , 0 , 0 , 0 , 0
Kenosha City Ward 47 , 0 , 0 , 0 , 0
Kenosha City Ward 48 , 0 , 0 , 0 , 0
Kenosha City Ward 49 , 0 , 0 , 0 , 0
Kenosha City Ward 50 , 0 , 0 , 0 , 0
Kenosha City Ward 51 , 0 , 0 , 0 , 0
