 rka.D ,"","",h iobau ed,"",acttngire
Adams Town Wards 1 & 2 , 488 , 4
Big Flats Town , 379 , 2
Colburn Town , 83 , 1
Dell Prairie Town Wards 1 & 2 , 528 , 2
Easton Town Wards 1 & 2 , 368 , 0
Jackson Town , 352 , 0
Leola Town , 99 , 0
Lincoln Town , 134 , 0
Monroe Town , 212 , 0
New Chester Town Wards 1 & 2 , 324 , 0
New Haven Town , 233 , 0
Preston Town Wards 1 - 3 , 541 , 2
Quincy Town Wards 1 & 2 , 535 , 3
Richfield Town , 56 , 2
Rome Town Wards 1 - 5 ," 1,326 ", 10
Springville Town Wards 1 & 2 , 411 , 0
Strongs Prairie Town Wards 1 & 2 , 449 , 3
Friendship Village , 224 , 0
Adams City Wards 1 - 5 , 622 , 8
Wisconsin Dells City Ward 5 , 5 , 0
e a .P n,"","",u ffy ,"",actengirt
Agenda Town , 157 , 0
Ashland Town , 117 , 0
Chippewa Town , 115 , 0
Gingles Town Wards 1 & 2 , 172 , 0
Gordon Town , 106 , 0
Jacobs Town , 216 , 0
La Pointe Town , 78 , 8
Marengo Town Wards 1 & 2 , 90 , 0
Morse Town Wards 1 & 2 , 155 , 1
Peeksville Town , 60 , 0
Sanborn Town Wards 1 & 2 , 108 , 1
Shanagolden Town , 43 , 0
White River Town Wards 1 - 3 , 268 , 0
Butternut Village Wards 1 & 2 , 91 , 0
Ashland City Ward 1 , 268 , 0
Ashland City Ward 2 , 122 , 0
Ashland City Ward 3 , 177 , 0
Ashland City Ward 4 , 251 , 0
Ashland City Ward 5 , 196 , 0
Ashland City Ward 6 , 159 , 0
Ashland City Ward 7 , 142 , 0
Ashland City Ward 8 , 175 , 0
Ashland City Ward 9 , 135 , 1
Ashland City Ward 10 , 160 , 0
Ashland City Ward 11 , 159 , 0
Mellen City Wards 1 - 3 , 175 , 0
"","","","",g
eante.P ,"",uffy ,"",acnrit
. Lla,"","",m rots,"",irngte
e ng,"","",m lo,"",act
Almena Town Wards 1 - 3 , 301 , 1
Arland Town , 193 , 0
Barron Town Wards 1 & 2 , 226 , 5
Bear Lake Town , 209 , 0
Cedar Lake Town , 325 , 1
Chetek Town Wards 1 - 3 , 605 , 7
Clinton Town Wards 1 & 2 , 208 , 5
Crystal Lake Town , 269 , 0
Cumberland Town , 323 , 1
Dallas Town Wards 1 & 2 , 173 , 2
Dovre Town , 206 , 7
Doyle Town , 159 , 1
Lakeland Town Wards 1 & 2 , 323 , 4
Maple Grove Town Wards 1 - 3 , 261 , 3
Maple Plain Town , 285 , 0
Oak Grove Town Wards 1 & 2 , 300 , 0
Prairie Farm Town Wards 1 & 2 , 189 , 0
Prairie Lake Town Wards 1 & 2 , 454 , 3
Rice Lake Town Wards 1 - 4 , 968 , 6
Sioux Creek Town , 186 , 3
Stanfold Town , 216 , 3
Stanley Town Wards 1 - 3 , 689 , 12
Sumner Town Wards 1 & 2 , 212 , 2
Turtle Lake Town , 202 , 0
