"",nan,"",.D,"","",gin
om,rem ,"",a yre ,ies ,"",acttre
Green Bay Town Wards 1 & 2 , 363 , 647 , 1
Humboldt Town Wards 1 & 2 , 283 , 388 , 1
Scott Town Wards 1 - 4 , 832 ," 1,102 ", 1
Green Bay City Ward 50 , 8 , 11 , 0
Baileys Harbor Town Wards 1 & 2 , 320 , 439 , 6
Brussels Town Wards 1 & 2 , 155 , 405 , 0
Claybanks Town , 96 , 160 , 0
Egg Harbor Town Ward 1 , 226 , 290 , 1
Egg Harbor Town Wards 2 & 3 , 111 , 180 , 0
Forestville Town Wards 1 & 2 , 204 , 390 , 1
Gardner Town , 254 , 423 , 0
Gibraltar Town Wards 1 & 2 , 319 , 431 , 5
Jacksonport Town , 202 , 284 , 0
Liberty Grove Town Wards 1 - 3 , 521 , 893 , 3
Nasewaupee Town Wards 1 - 3 , 435 , 795 , 0
Sevastopol Town Wards 1 - 3 , 618 ," 1,087 ", 2
Sturgeon Bay Town Wards 1 & 2 , 197 , 338 , 0
Union Town , 199 , 326 , 1
Washington Town , 146 , 374 , 0
Egg Harbor Village , 80 , 131 , 0
Ephraim Village , 92 , 165 , 0
Forestville Village , 96 , 162 , 1
"","","","","","","","","","",g
omttan n m re,"","",ra y.De ,"","","","",ies ,"",inreac
Sister Bay Village , 196 , 426 , 0
Sturgeon Bay City Wards 1 & 2 , 260 , 336 , 1
Sturgeon Bay City Wards 3 & 4 , 279 , 361 , 0
Sturgeon Bay City Wards 5 & 6 , 289 , 507 , 0
Sturgeon Bay City Wards 7 & 8 , 240 , 404 , 1
Sturgeon Bay City Wards 9 & 10 , 250 , 483 , 0
Sturgeon Bay City Wards 11 & 12 , 249 , 376 , 0
Sturgeon Bay City Wards 13 & 14 , 214 , 411 , 0
Sturgeon Bay City Wards 15 - 17 , 14 , 31 , 0
"Sturgeon Bay City Wards 18, 19 & 25 ", 13 , 25 , 0
"Sturgeon Bay City Wards 20, 21 & 24 ", 19 , 31 , 0
Sturgeon Bay City Wards 22 & 23 , 0 , 0 , 0
Ahnapee Town , 218 , 324 , 0
Carlton Town Wards 1 & 2 , 234 , 363 , 0
Casco Town Wards 1 & 2 , 223 , 400 , 0
Lincoln Town , 184 , 310 , 0
Luxemburg Town Wards 1 & 2 , 264 , 540 , 0
Montpelier Town Wards 1 - 3 , 302 , 453 , 1
Pierce Town Wards 1 & 2 , 222 , 242 , 0
Red River Town Wards 1 - 3 , 311 , 496 , 0
West Kewaunee Town Wards 1 - 3 , 248 , 419 , 0
Casco Village , 109 , 189 , 0
"",ann ,D.,"","",ing
o m rm,e ,ra ye ,"",ie s ,acrett
Luxemburg Village Wards 1 & 2 , 383 , 717 , 0
Algoma City Wards 1 - 7 , 688 , 922 , 0
