"","","","","","","","","","",r,""
o eb  trL. ,"","","",o l sew ,"","","",o y ,"",e en cekedy,actteirng
Lawrence Town Wards 1 - 3 ," 1,188 ", 96 , 2
Allouez Village Wards 1 & 2 ," 1,145 ", 188 , 2
Allouez Village Wards 3 & 4 ," 1,609 ", 205 , 6
Allouez Village Wards 5 & 6 ," 1,896 ", 180 , 4
Allouez Village Wards 7 - 9 ," 1,437 ", 174 , 0
Ashwaubenon Village Wards 1 & 2 , 830 , 154 , 2
Ashwaubenon Village Wards 3 & 4 ," 1,004 ", 169 , 3
Ashwaubenon Village Wards 5 & 6 ," 1,172 ", 156 , 1
Ashwaubenon Village Wards 7 & 8 ," 1,231 ", 136 , 5
Ashwaubenon Village Ward 9 , 449 , 59 , 0
Ashwaubenon Village Ward 10 , 849 , 113 , 1
Ashwaubenon Village Wards 11 & 12 ," 1,190 ", 163 , 7
Hobart Village Wards 1 - 7 ," 2,379 ", 233 , 4
De Pere City Wards 1 - 3 ," 2,349 ", 237 , 4
De Pere City Wards 4 - 7 ," 2,039 ", 303 , 4
De Pere City Wards 8 - 10 ," 1,656 ", 350 , 9
De Pere City Wards 11 - 14 ," 2,229 ", 281 , 7
Green Bay City Ward 46 , 964 , 111 , 1
Green Bay City Ward 47 , 513 , 85 , 4
Green Bay City Ward 48 ," 1,098 ", 109 , 0
Green Bay City Ward 49 , 852 , 72 , 0
Abrams Town Wards 1 - 4 , 639 , 98 , 0
 tL. ,"",s,"",edreck ,"","",ngir
rebo ,"",le ow ,yo,eye n ,"","",actte
Bagley Town , 128 , 6 , 0
Brazeau Town Wards 1 - 3 , 540 , 59 , 2
Breed Town , 256 , 1 , 0
Gillett Town Wards 1 & 2 , 466 , 22 , 0
How Town Wards 1 - 3 , 237 , 25 , 0
Maple Valley Town Wards 1 & 2 , 279 , 11 , 0
Morgan Town , 389 , 40 , 0
Oconto Falls Town Wards 1 & 2 , 472 , 43 , 0
Spruce Town Wards 1 & 2 , 303 , 34 , 0
Underhill Town , 297 , 13 , 0
Suring Village , 193 , 20 , 1
Gillett City Wards 1 - 4 , 452 , 40 , 0
Oconto Falls City Wards 1 - 5 , 885 , 105 , 0
Black Creek Town Wards 1 & 2 , 426 , 61 , 0
Bovina Town Wards 1 & 2 , 364 , 53 , 0
Cicero Town Wards 1 & 2 , 409 , 57 , 0
Deer Creek Town Wards 1 & 2 , 198 , 19 , 1
Ellington Town Wards 1 - 4 , 929 , 67 , 0
Freedom Town Wards 1 - 7 ," 1,692 ", 181 , 1
Kaukauna Town Wards 1 & 2 , 413 , 57 , 0
Liberty Town , 296 , 115 , 0
Maine Town , 282 , 32 , 0
"","","","","","","","","","",r,""
o eb  trL. ,"","","",o l sew ,"","","",o y ,"",e en cekedy,actteirng
Maple Creek Town , 231 , 43 , 0
Oneida Town Wards 1 - 5 ," 1,121 ", 274 , 0
Osborn Town Wards 1 & 2 , 436 , 56 , 0
Seymour Town Wards 1 & 2 , 466 , 37 , 0
Vandenbroek Town Wards 1 & 2 , 505 , 88 , 0
Bear Creek Village , 102 , 26 , 0
Black Creek Village Wards 1 & 2 , 444 , 63 , 0
Howard Village Ward 17 , 0 , 0 , 0
"Little Chute Village Wards 1, 4, 9 & 10 "," 1,237 ", 185 , 1
"Little Chute Village Wards 2, 8, 12 & 13 ", 292 , 50 , 1
Nichols Village , 78 , 17 , 0
Shiocton Village , 255 , 49 , 0
